PROF_DATE_TIME_LOCAL,TA in (mmol/kgSW),MWRA_UTC,Match_Cal_TA,Match_Cal_TA_Datetime
5/15/2019 12:05,1979.785791,2019-05-15 16:05:00,1992.946,2019-05-15 17:00:00
5/15/2019 12:05,1983.526086,2019-05-15 16:05:00,1992.946,2019-05-15 17:00:00
7/2/2019 0:00,2026.331515,2019-07-02 04:00:00,2045.908,2019-07-02 05:00:00
7/2/2019 0:00,2018.906522,2019-07-02 04:00:00,2045.908,2019-07-02 05:00:00
8/15/2019 0:00,2114.549642,2019-08-15 04:00:00,2117.98,2019-08-15 04:00:00
8/15/2019 0:00,2113.657842,2019-08-15 04:00:00,2117.98,2019-08-15 04:00:00
10/10/2019 0:00,2129.452388,2019-10-10 04:00:00,2117.98,2019-10-10 04:15:00
11/11/2019 0:00,2155.100957,2019-11-11 05:00:00,2161.66,2019-11-11 05:30:00
