StationCode,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_Pct,F_DO_Pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,Level,F_Level,cLevel,F_cLevel,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor,Unnamed: 30,Datetime_Adjusted_UTC+1
wqbmpwq   ,P,3/29/2023 21:00,0,1,,9.2,<0> ,47.29,<0> ,30.5,<0> ,111.1,<0> ,10.5,<0> ,1.79,<0> ,1.74,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.9,<0> ,,3/30/2023 3:00
wqbmpwq   ,P,3/29/2023 21:15,0,1,,9.1,<0> ,47.3,<0> ,30.5,<0> ,110.6,<0> ,10.5,<0> ,1.79,<0> ,1.74,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.7,<0> ,,3/30/2023 3:15
wqbmpwq   ,P,3/29/2023 21:30,0,1,,9.1,<0> ,47.13,<0> ,30.4,<0> ,108.7,<0> ,10.3,<0> ,1.78,<0> ,1.73,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.5,<0> ,,3/30/2023 3:30
wqbmpwq   ,P,3/29/2023 21:45,0,1,,9,<0> ,47.21,<0> ,30.5,<0> ,110.6,<0> ,10.5,<0> ,1.77,<0> ,1.73,<1> [GCS],,<-1> ,,,8,<0> ,1,<0> ,2.5,<0> ,,3/30/2023 3:45
wqbmpwq   ,P,3/29/2023 22:00,0,1,,9,<0> ,47.15,<0> ,30.4,<0> ,110.6,<0> ,10.5,<0> ,1.76,<0> ,1.72,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2,<0> ,,3/30/2023 4:00
wqbmpwq   ,P,3/29/2023 22:15,0,1,,8.9,<0> ,47.08,<0> ,30.4,<0> ,111.2,<0> ,10.6,<0> ,1.75,<0> ,1.71,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.2,<0> ,,3/30/2023 4:15
wqbmpwq   ,P,3/29/2023 22:30,0,1,,8.9,<0> ,47.13,<0> ,30.4,<0> ,110.3,<0> ,10.5,<0> ,1.73,<0> ,1.69,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2,<0> ,,3/30/2023 4:30
wqbmpwq   ,P,3/29/2023 22:45,0,1,,8.9,<0> ,47.03,<0> ,30.3,<0> ,111.5,<0> ,10.6,<0> ,1.71,<0> ,1.67,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.2,<0> ,,3/30/2023 4:45
wqbmpwq   ,P,3/29/2023 23:00,0,1,,8.8,<0> ,46.99,<0> ,30.3,<0> ,111.6,<0> ,10.7,<0> ,1.7,<0> ,1.66,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.6,<0> ,,3/30/2023 5:00
wqbmpwq   ,P,3/29/2023 23:15,0,1,,8.8,<0> ,46.98,<0> ,30.3,<0> ,110.8,<0> ,10.6,<0> ,1.68,<0> ,1.64,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.1,<0> ,,3/30/2023 5:15
wqbmpwq   ,P,3/29/2023 23:30,0,1,,8.8,<0> ,47,<0> ,30.3,<0> ,110.2,<0> ,10.5,<0> ,1.66,<0> ,1.63,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.8,<0> ,,3/30/2023 5:30
wqbmpwq   ,P,3/29/2023 23:45,0,1,,8.7,<0> ,47.01,<0> ,30.3,<0> ,110,<0> ,10.5,<0> ,1.64,<0> ,1.61,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.2,<0> ,,3/30/2023 5:45
wqbmpwq   ,P,3/30/2023 0:00,0,1,,8.7,<0> ,47.04,<0> ,30.3,<0> ,110.3,<0> ,10.6,<0> ,1.62,<0> ,1.59,<1> [GCS],,<-1> ,,,8.1,<0> ,1,<0> ,2.2,<0> ,,3/30/2023 6:00
