Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated)
169.6459,21.61,807.4,12.0,2021-06-18 15:30:05,11.65237,2021-06-18 15:16:34,28.03,1939.438
169.6668,21.71,601.7,11.99,2021-06-18 16:00:11,11.65237,2021-06-18 15:46:34,27.97,1936.162
169.6876,22.06,617.2,11.99,2021-06-18 16:30:08,11.65237,2021-06-18 16:16:34,27.661,1919.2906
169.7084,21.91,628.6,11.99,2021-06-18 17:00:05,11.65237,2021-06-18 16:46:34,26.799,1872.2254
169.7293,22.28,652.2,11.99,2021-06-18 17:30:11,11.65237,2021-06-18 17:16:34,26.219,1840.5574
169.7501,22.21,591.9,11.99,2021-06-18 18:00:08,11.65237,2021-06-18 17:46:34,25.983,1827.6718
169.7709,22.48,458.0,11.99,2021-06-18 18:30:05,11.65237,2021-06-18 18:16:34,25.038,1776.0748
169.7918,22.48,456.4,11.99,2021-06-18 19:00:11,11.65237,2021-06-18 18:46:34,24.277,1734.5242
169.8126,22.53,446.8,12.0,2021-06-18 19:30:08,11.65237,2021-06-18 18:46:34,24.277,1734.5242
169.8543,22.46,377.4,12.0,2021-06-18 20:30:11,11.65237,2021-06-18 21:16:34,28.353,1957.0738
169.8751,22.26,345.9,11.99,2021-06-18 21:00:08,11.65237,2021-06-18 21:16:34,28.353,1957.0738
169.8959,22.21,334.5,11.99,2021-06-18 21:30:05,11.65237,2021-06-18 21:16:34,28.353,1957.0738
169.9168,22.21,348.3,11.99,2021-06-18 22:00:11,11.65237,2021-06-18 21:46:34,27.89,1931.794
169.9376,22.03,346.2,11.99,2021-06-18 22:30:08,11.65237,2021-06-18 22:16:34,27.051,1885.9846
169.9584,21.83,353.8,11.99,2021-06-18 23:00:05,11.65237,2021-06-18 22:46:34,25.845,1820.137
169.9793,21.71,333.6,11.99,2021-06-18 23:30:11,11.65237,2021-06-18 23:16:34,24.56,1749.976
170.0001,21.58,342.6,11.99,2021-06-19 00:00:08,11.65237,2021-06-19 00:16:34,28.373,1958.1658
170.0209,21.44,397.1,11.99,2021-06-19 00:30:05,11.65237,2021-06-19 00:16:34,28.373,1958.1658
170.0418,21.53,439.0,11.99,2021-06-19 01:00:11,11.65237,2021-06-19 00:46:34,27.033,1885.0018
170.0626,21.31,463.6,11.99,2021-06-19 01:30:08,11.65237,2021-06-19 01:16:34,26.44,1852.624
170.0834,21.04,492.9,11.99,2021-06-19 02:00:05,11.65237,2021-06-19 01:46:34,26.094,1833.7324
170.1043,20.92,622.8,11.99,2021-06-19 02:30:11,11.65237,2021-06-19 02:16:34,25.387,1795.1302
170.1251,20.87,682.6,11.98,2021-06-19 03:00:08,11.65237,2021-06-19 02:46:34,24.795,1762.807
170.1459,20.77,717.6,11.98,2021-06-19 03:30:05,11.65237,2021-06-19 03:16:34,24.578,1750.9588
170.1668,20.77,788.2,11.98,2021-06-19 04:00:11,11.65237,2021-06-19 03:46:34,27.502,1910.6092
170.1876,21.06,762.9,11.98,2021-06-19 04:30:08,11.65237,2021-06-19 04:16:34,27.373,1903.5658
170.2084,20.72,769.2,11.98,2021-06-19 05:00:05,11.65237,2021-06-19 04:46:34,27.259,1897.3414
170.2293,20.77,759.8,11.98,2021-06-19 05:30:11,11.65237,2021-06-19 05:16:34,27.28,1898.488
170.2501,20.67,766.4,11.98,2021-06-19 06:00:08,11.65237,2021-06-19 05:46:34,27.205,1894.393
170.2709,20.79,815.4,11.98,2021-06-19 06:30:05,11.65237,2021-06-19 06:16:34,28.724,1977.3304
170.2918,20.74,825.1,11.98,2021-06-19 07:00:11,11.65237,2021-06-19 06:46:34,28.809,1981.9714
170.3126,20.72,833.6,11.98,2021-06-19 07:30:08,11.65237,2021-06-19 07:16:34,28.859,1984.7014
170.3334,20.82,854.0,11.98,2021-06-19 08:00:05,11.65237,2021-06-19 07:46:34,28.891,1986.4486
170.3543,20.89,813.1,11.98,2021-06-19 08:30:11,11.65237,2021-06-19 08:16:34,28.979,1991.2534
170.3751,21.06,780.5,11.98,2021-06-19 09:00:08,11.65237,2021-06-19 08:46:34,29.092,1997.4232
170.3959,21.04,735.9,11.98,2021-06-19 09:30:05,11.65237,2021-06-19 09:16:34,29.12,1998.952
170.4168,20.99,744.3,11.98,2021-06-19 10:00:11,11.65237,2021-06-19 09:16:34,29.12,1998.952
170.4584,20.97,757.7,11.98,2021-06-19 11:00:05,11.65237,2021-06-19 11:46:34,29.222,2004.5212
170.4793,20.99,765.3,11.98,2021-06-19 11:30:11,11.65237,2021-06-19 11:46:34,29.222,2004.5212
170.5001,20.89,798.7,11.98,2021-06-19 12:00:08,11.65237,2021-06-19 11:46:34,29.222,2004.5212
170.5209,20.79,842.5,11.98,2021-06-19 12:30:05,11.65237,2021-06-19 12:16:34,29.082,1996.8772
170.5418,20.97,896.5,11.98,2021-06-19 13:00:11,11.65237,2021-06-19 12:46:34,28.983,1991.4718
170.5626,21.21,885.1,11.98,2021-06-19 13:30:08,11.65237,2021-06-19 13:16:34,28.941,1989.1786
170.5834,21.41,872.8,11.98,2021-06-19 14:00:05,11.65237,2021-06-19 13:46:34,28.894,1986.6124
170.6043,21.46,848.9,11.98,2021-06-19 14:30:11,11.65237,2021-06-19 14:16:34,28.783,1980.5518
170.6251,21.61,801.4,11.99,2021-06-19 15:00:08,11.65237,2021-06-19 14:46:34,28.69,1975.474
170.6459,21.81,736.4,11.99,2021-06-19 15:30:05,11.65237,2021-06-19 15:16:34,28.713,1976.7298
170.6668,22.03,698.3,11.99,2021-06-19 16:00:11,11.65237,2021-06-19 15:46:34,28.633,1972.3618
170.6876,22.23,674.3,11.99,2021-06-19 16:30:08,11.65237,2021-06-19 15:46:34,28.633,1972.3618
170.8126,22.84,382.3,11.99,2021-06-19 19:30:08,11.65237,2021-06-19 20:16:34,28.132,1945.0072
170.8334,22.79,418.3,11.99,2021-06-19 20:00:05,11.65237,2021-06-19 20:16:34,28.132,1945.0072
170.8543,22.69,439.4,11.99,2021-06-19 20:30:11,11.65237,2021-06-19 20:16:34,28.132,1945.0072
170.8751,22.48,419.9,11.99,2021-06-19 21:00:08,11.65237,2021-06-19 20:46:34,27.931,1934.0326
170.8959,22.36,374.9,11.99,2021-06-19 21:30:05,11.65237,2021-06-19 21:16:34,27.697,1921.2562
170.9168,22.31,402.5,11.99,2021-06-19 22:00:11,11.65237,2021-06-19 21:16:34,27.697,1921.2562
