Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated)
143.6597,16.65,35.0,8.07,11.53,2023-05-23,15:50:00,2023-05-23 15:49:58,11.65237,5/23/2023 15:45,30.6,2079.76
143.7014,17.05,35.0,8.1393,11.56,2023-05-23,16:50:00,2023-05-23 16:50:00,11.65237,5/23/2023 16:45,30.6,2079.76
143.7431,17.31,35.0,8.1252,11.58,2023-05-23,17:50:00,2023-05-23 17:50:03,11.65237,5/23/2023 17:45,30.7,2085.22
143.7847,17.38,35.0,8.1175,11.59,2023-05-23,18:50:00,2023-05-23 18:49:58,11.65237,5/23/2023 18:45,30.7,2085.22
143.8264,17.4,35.0,8.1621,11.59,2023-05-23,19:50:00,2023-05-23 19:50:00,11.65237,5/23/2023 19:45,30.7,2085.22
143.8681,17.5,35.0,8.1968,11.6,2023-05-23,20:50:00,2023-05-23 20:50:03,11.65237,5/23/2023 20:45,30.6,2079.76
143.9097,17.57,35.0,8.0846,11.6,2023-05-23,21:50:00,2023-05-23 21:49:58,11.65237,5/23/2023 21:45,30.5,2074.3
143.9514,17.54,35.0,8.0717,11.61,2023-05-23,22:50:00,2023-05-23 22:50:00,11.65237,5/23/2023 22:45,30.4,2068.84
143.9931,17.54,35.0,8.0459,11.61,2023-05-23,23:50:00,2023-05-23 23:50:03,11.65237,5/23/2023 23:45,30.3,2063.38
144.0347,17.64,35.0,7.9534,11.61,2023-05-24,00:50:00,2023-05-24 00:49:58,11.65237,5/24/2023 0:45,30.3,2063.38
144.0764,17.59,35.0,7.9712,11.6,2023-05-24,01:50:00,2023-05-24 01:50:00,11.65237,5/24/2023 1:45,30.4,2068.84
144.1181,16.56,35.0,8.1148,11.6,2023-05-24,02:50:00,2023-05-24 02:50:03,11.65237,5/24/2023 2:45,30.3,2063.38
144.1597,16.23,35.0,8.1244,11.59,2023-05-24,03:50:00,2023-05-24 03:49:58,11.65237,5/24/2023 3:45,30.3,2063.38
144.2014,16.18,35.0,8.1014,11.58,2023-05-24,04:50:00,2023-05-24 04:50:00,11.65237,5/24/2023 4:45,30.3,2063.38
144.2431,15.79,35.0,8.08,11.58,2023-05-24,05:50:00,2023-05-24 05:50:03,11.65237,5/24/2023 5:45,30.3,2063.38
