Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated)
137.6701,16.23,35.0,7.9753,11.5,2022-05-17,16:05:00,2022-05-17 16:04:56,11.65237,5/17/2022 16:00,29.2,2003.32
137.7118,16.44,35.0,7.9954,11.61,2022-05-17,17:04:59,2022-05-17 17:04:59,11.65237,5/17/2022 17:00,29.0,1992.4
137.7535,16.56,35.0,7.999,11.66,2022-05-17,18:04:59,2022-05-17 18:05:02,11.65237,5/17/2022 18:00,29.3,2008.78
137.7951,16.37,35.0,8.0095,11.69,2022-05-17,19:04:59,2022-05-17 19:04:56,11.65237,5/17/2022 19:00,30.2,2057.92
137.9201,18.14,35.0,7.9473,11.74,2022-05-17,22:04:59,2022-05-17 22:04:56,11.65237,5/17/2022 22:00,30.5,2074.3
137.9618,18.85,35.0,7.8194,11.76,2022-05-17,23:04:59,2022-05-17 23:04:59,11.65237,5/17/2022 23:00,30.8,2090.68
138.0035,19.07,35.0,7.6552,11.77,2022-05-18,00:04:59,2022-05-18 00:05:02,11.65237,5/18/2022 0:00,31.0,2101.6
138.0451,17.99,35.0,7.8584,11.78,2022-05-18,01:04:59,2022-05-18 01:04:56,11.65237,5/18/2022 1:00,31.1,2107.06
138.0868,16.7,35.0,7.9779,11.77,2022-05-18,02:04:59,2022-05-18 02:04:59,11.65237,5/18/2022 2:00,31.0,2101.6
138.1285,16.39,35.0,7.9926,11.76,2022-05-18,03:04:59,2022-05-18 03:05:02,11.65237,5/18/2022 3:00,30.9,2096.14
138.1701,16.23,35.0,7.9815,11.76,2022-05-18,04:04:59,2022-05-18 04:04:56,11.65237,5/18/2022 4:00,30.7,2085.22
138.2118,15.72,35.0,7.9783,11.76,2022-05-18,05:04:59,2022-05-18 05:04:59,11.65237,5/18/2022 5:00,30.5,2074.3
138.2535,14.96,35.0,7.9825,11.75,2022-05-18,06:04:59,2022-05-18 06:05:02,11.65237,5/18/2022 6:00,30.0,2047.0
138.2951,14.41,35.0,7.9788,11.74,2022-05-18,07:04:59,2022-05-18 07:04:56,11.65237,5/18/2022 7:00,30.1,2052.46
138.3368,14.43,35.0,7.9727,11.74,2022-05-18,08:04:59,2022-05-18 08:04:59,11.65237,5/18/2022 8:00,30.1,2052.46
138.3785,14.93,35.0,7.9452,11.74,2022-05-18,09:04:59,2022-05-18 09:05:02,11.65237,5/18/2022 9:00,30.0,2047.0
138.4201,15.28,35.0,7.8813,11.74,2022-05-18,10:04:59,2022-05-18 10:04:56,11.65237,5/18/2022 10:00,30.2,2057.92
138.4618,15.35,35.0,7.7523,11.74,2022-05-18,11:04:59,2022-05-18 11:04:59,11.65237,5/18/2022 11:00,30.6,2079.76
138.5035,15.77,35.0,7.5708,11.74,2022-05-18,12:04:59,2022-05-18 12:05:02,11.65237,5/18/2022 12:00,30.8,2090.68
138.6285,14.24,35.0,7.9836,11.75,2022-05-18,15:04:59,2022-05-18 15:05:02,11.65237,5/18/2022 15:00,29.6,2025.16
138.6701,14.41,35.0,8.0097,11.74,2022-05-18,16:04:59,2022-05-18 16:04:56,11.65237,5/18/2022 16:00,29.2,2003.32
138.7118,14.5,35.0,8.0219,11.73,2022-05-18,17:04:59,2022-05-18 17:04:59,11.65237,5/18/2022 17:00,30.7,2085.22
138.7535,15.19,35.0,8.0666,11.73,2022-05-18,18:04:59,2022-05-18 18:05:02,11.65237,5/18/2022 18:00,30.0,2047.0
138.7951,15.05,35.0,8.0523,11.73,2022-05-18,19:04:59,2022-05-18 19:04:56,11.65237,5/18/2022 19:00,30.0,2047.0
138.8368,15.09,35.0,8.0536,11.73,2022-05-18,20:04:59,2022-05-18 20:04:59,11.65237,5/18/2022 20:00,29.9,2041.54
138.8785,15.49,35.0,8.0521,11.73,2022-05-18,21:04:59,2022-05-18 21:05:02,11.65237,5/18/2022 21:00,29.8,2036.08
138.9201,15.81,35.0,8.0404,11.73,2022-05-18,22:04:59,2022-05-18 22:04:56,11.65237,5/18/2022 22:00,29.8,2036.08
138.9618,16.49,35.0,7.9516,11.74,2022-05-18,23:04:59,2022-05-18 23:04:59,11.65237,5/18/2022 23:00,29.7,2030.62
139.0035,17.59,35.0,7.734,11.74,2022-05-19,00:04:59,2022-05-19 00:05:02,11.65237,5/19/2022 0:00,29.2,2003.32
139.0451,17.97,35.0,7.5989,11.75,2022-05-19,01:04:59,2022-05-19 01:04:56,11.65237,5/19/2022 1:00,29.2,2003.32
139.0868,15.05,35.0,7.9856,11.74,2022-05-19,02:04:59,2022-05-19 02:04:59,11.65237,5/19/2022 2:00,29.7,2030.62
139.1285,14.61,35.0,8.0045,11.72,2022-05-19,03:04:59,2022-05-19 03:05:02,11.65237,5/19/2022 3:00,29.6,2025.16
139.1701,14.45,35.0,8.0029,11.71,2022-05-19,04:04:59,2022-05-19 04:04:56,11.65237,5/19/2022 4:00,30.1,2052.46
139.2118,14.13,35.0,7.9898,11.7,2022-05-19,05:04:59,2022-05-19 05:04:59,11.65237,5/19/2022 5:00,29.8,2036.08
139.2535,14.06,35.0,7.9846,11.7,2022-05-19,06:04:59,2022-05-19 06:05:02,11.65237,5/19/2022 6:00,29.9,2041.54
139.2951,13.95,35.0,7.9811,11.69,2022-05-19,07:04:59,2022-05-19 07:04:56,11.65237,5/19/2022 7:00,29.9,2041.54
139.3368,14.02,35.0,7.9858,11.69,2022-05-19,08:04:59,2022-05-19 08:04:59,11.65237,5/19/2022 8:00,30.0,2047.0
139.3785,14.02,35.0,7.9747,11.69,2022-05-19,09:04:59,2022-05-19 09:05:02,11.65237,5/19/2022 9:00,30.0,2047.0
139.4201,14.04,35.0,7.9466,11.69,2022-05-19,10:04:59,2022-05-19 10:04:56,11.65237,5/19/2022 10:00,30.0,2047.0
139.4618,14.06,35.0,7.8881,11.68,2022-05-19,11:04:59,2022-05-19 11:04:59,11.65237,5/19/2022 11:00,30.0,2047.0
139.5035,14.38,35.0,7.7617,11.68,2022-05-19,12:04:59,2022-05-19 12:05:02,11.65237,5/19/2022 12:00,29.6,2025.16
139.5451,15.05,35.0,7.5801,11.68,2022-05-19,13:04:59,2022-05-19 13:04:56,11.65237,5/19/2022 13:00,29.9,2041.54
139.6701,14.45,35.0,7.9683,11.68,2022-05-19,16:04:59,2022-05-19 16:04:56,11.65237,5/19/2022 16:00,29.8,2036.08
139.7118,14.59,35.0,7.9901,11.67,2022-05-19,17:04:59,2022-05-19 17:04:59,11.65237,5/19/2022 17:00,29.9,2041.54
139.7535,14.29,35.0,8.0042,11.67,2022-05-19,18:04:59,2022-05-19 18:05:02,11.65237,5/19/2022 18:00,29.9,2041.54
139.7951,14.18,35.0,7.9889,11.66,2022-05-19,19:04:59,2022-05-19 19:04:56,11.65237,5/19/2022 19:00,30.0,2047.0
139.8368,14.2,35.0,7.9471,11.66,2022-05-19,20:04:59,2022-05-19 20:04:59,11.65237,5/19/2022 20:00,30.3,2063.38
139.8785,14.15,35.0,7.9394,11.66,2022-05-19,21:04:59,2022-05-19 21:05:02,11.65237,5/19/2022 21:00,30.2,2057.92
139.9201,14.18,35.0,7.9379,11.65,2022-05-19,22:04:59,2022-05-19 22:04:56,11.65237,5/19/2022 22:00,30.1,2052.46
139.9618,14.24,35.0,7.9602,11.65,2022-05-19,23:04:59,2022-05-19 23:04:59,11.65237,5/19/2022 23:00,30.1,2052.46
140.0035,14.43,35.0,7.9065,11.65,2022-05-20,00:04:59,2022-05-20 00:05:02,11.65237,5/20/2022 0:00,30.5,2074.3
140.0451,14.8,35.0,7.7512,11.65,2022-05-20,01:04:59,2022-05-20 01:04:56,11.65237,5/20/2022 1:00,30.5,2074.3
140.0868,15.07,35.0,7.6011,11.65,2022-05-20,02:04:59,2022-05-20 02:04:59,11.65237,5/20/2022 2:00,30.7,2085.22
140.1285,14.02,35.0,7.9304,11.65,2022-05-20,03:04:59,2022-05-20 03:05:02,11.65237,5/20/2022 3:00,30.6,2079.76
140.1701,13.81,35.0,7.9536,11.63,2022-05-20,04:04:59,2022-05-20 04:04:56,11.65237,5/20/2022 4:00,30.7,2085.22
140.2118,13.77,35.0,7.9582,11.63,2022-05-20,05:04:59,2022-05-20 05:04:59,11.65237,5/20/2022 5:00,30.8,2090.68
140.2535,13.77,35.0,7.9547,11.62,2022-05-20,06:04:59,2022-05-20 06:05:02,11.65237,5/20/2022 6:00,30.7,2085.22
140.2951,13.74,35.0,7.9548,11.62,2022-05-20,07:04:59,2022-05-20 07:04:56,11.65237,5/20/2022 7:00,30.6,2079.76
140.3368,13.77,35.0,7.9496,11.62,2022-05-20,08:04:59,2022-05-20 08:04:59,11.65237,5/20/2022 8:00,30.5,2074.3
140.3785,13.79,35.0,7.9542,11.62,2022-05-20,09:04:59,2022-05-20 09:05:02,11.65237,5/20/2022 9:00,30.9,2096.14
140.4201,13.77,35.0,7.9521,11.61,2022-05-20,10:04:59,2022-05-20 10:04:56,11.65237,5/20/2022 10:00,31.0,2101.6
140.4618,13.7,35.0,7.9222,11.61,2022-05-20,11:04:59,2022-05-20 11:04:59,11.65237,5/20/2022 11:00,31.0,2101.6
140.5035,13.65,35.0,7.8664,11.61,2022-05-20,12:04:59,2022-05-20 12:05:02,11.65237,5/20/2022 12:00,31.1,2107.06
140.5451,13.81,35.0,7.7228,11.61,2022-05-20,13:04:59,2022-05-20 13:04:56,11.65237,5/20/2022 13:00,31.1,2107.06
140.5868,14.22,35.0,7.554,11.61,2022-05-20,14:04:59,2022-05-20 14:04:59,11.65237,5/20/2022 14:00,31.1,2107.06
140.7118,14.38,35.0,7.9939,11.61,2022-05-20,17:04:59,2022-05-20 17:04:59,11.65237,5/20/2022 17:00,31.0,2101.6
140.7535,14.63,35.0,8.0013,11.6,2022-05-20,18:04:59,2022-05-20 18:05:02,11.65237,5/20/2022 18:00,31.0,2101.6
140.7951,15.14,35.0,7.959,11.6,2022-05-20,19:04:59,2022-05-20 19:04:56,11.65237,5/20/2022 19:00,30.9,2096.14
140.8368,15.28,35.0,7.9719,11.6,2022-05-20,20:04:59,2022-05-20 20:04:59,11.65237,5/20/2022 20:00,30.4,2068.84
140.8785,15.42,35.0,7.9803,11.6,2022-05-20,21:04:59,2022-05-20 21:05:02,11.65237,5/20/2022 21:00,29.9,2041.54
140.9201,15.44,35.0,7.9591,11.6,2022-05-20,22:04:59,2022-05-20 22:04:56,11.65237,5/20/2022 22:00,30.1,2052.46
140.9618,15.4,35.0,7.966,11.6,2022-05-20,23:04:59,2022-05-20 23:04:59,11.65237,5/20/2022 23:00,30.3,2063.38
141.0035,15.4,35.0,7.9601,11.6,2022-05-21,00:04:59,2022-05-21 00:05:02,11.65237,5/21/2022 0:00,29.7,2030.62
141.0451,15.53,35.0,7.8924,11.59,2022-05-21,01:04:59,2022-05-21 01:04:56,11.65237,5/21/2022 1:00,29.9,2041.54
141.0868,15.65,35.0,7.7309,11.59,2022-05-21,02:04:59,2022-05-21 02:04:59,11.65237,5/21/2022 2:00,30.5,2074.3
141.1285,15.67,35.0,7.6128,11.59,2022-05-21,03:04:59,2022-05-21 03:05:02,11.65237,5/21/2022 3:00,30.3,2063.38
141.1701,15.21,35.0,7.938,11.59,2022-05-21,04:04:59,2022-05-21 04:04:56,11.65237,5/21/2022 4:00,30.1,2052.46
