Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated)
143.6598,15.86,529.9,11.69,2023-05-23 15:50:06,11.65237,2023-05-23 15:36:18,32.071,2160.0766
143.7015,16.72,555.0,11.65,2023-05-23 16:50:09,11.65237,2023-05-23 16:36:18,32.022,2157.4012
143.7432,17.54,564.9,11.63,2023-05-23 17:50:12,11.65237,2023-05-23 17:36:18,31.491,2128.4086
143.7848,17.99,538.6,11.63,2023-05-23 18:50:06,11.65237,2023-05-23 18:36:18,31.107,2107.4422
143.8265,18.73,472.1,11.63,2023-05-23 19:50:09,11.65237,2023-05-23 19:36:18,30.937,2098.1602000000003
143.8682,17.97,459.8,11.63,2023-05-23 20:50:12,11.65237,2023-05-23 20:36:18,30.834,2092.5364
143.9098,16.6,516.6,11.62,2023-05-23 21:50:06,11.65237,2023-05-23 21:36:18,30.691000000000003,2084.7286000000004
143.9515,16.79,482.6,11.61,2023-05-23 22:50:09,11.65237,2023-05-23 22:36:18,30.818,2091.6628
143.9932,16.49,491.3,11.61,2023-05-23 23:50:12,11.65237,2023-05-23 23:36:18,31.283,2117.0518
144.0348,16.39,504.0,11.6,2023-05-24 00:50:06,11.65237,2023-05-24 00:36:18,31.82,2146.3720000000003
144.0765,16.35,521.1,11.59,2023-05-24 01:50:09,11.65237,2023-05-24 01:36:18,32.062,2159.5852
144.1182,16.21,537.6,11.59,2023-05-24 02:50:12,11.65237,2023-05-24 02:36:18,32.053,2159.0938
144.1598,16.09,533.1,11.59,2023-05-24 03:50:06,11.65237,2023-05-24 03:36:18,32.256,2170.1776
144.2015,16.11,537.6,11.59,2023-05-24 04:50:09,11.65237,2023-05-24 04:36:18,32.268,2170.8328
144.2432,16.14,592.5,11.59,2023-05-24 05:50:12,11.65237,2023-05-24 05:36:18,32.154,2164.6084
144.2848,16.02,663.2,11.59,2023-05-24 06:50:06,11.65237,2023-05-24 06:36:18,31.822,2146.4812
144.3265,16.02,777.7,11.59,2023-05-24 07:50:09,11.65237,2023-05-24 07:36:18,31.527,2130.3742
144.3682,15.72,810.6,11.59,2023-05-24 08:50:12,11.65237,2023-05-24 08:36:18,31.46,2126.7160000000003
144.4098,15.95,809.0,11.59,2023-05-24 09:50:06,11.65237,2023-05-24 09:36:18,31.289,2117.3794
144.4515,15.95,726.3,11.59,2023-05-24 10:50:09,11.65237,2023-05-24 10:36:18,31.448,2126.0608
144.4932,16.0,686.8,11.59,2023-05-24 11:50:12,11.65237,2023-05-24 11:36:18,31.518,2129.8828000000003
144.5348,15.77,686.9,11.59,2023-05-24 12:50:06,11.65237,2023-05-24 12:36:18,31.873,2149.2658
144.5765,15.79,622.8,11.58,2023-05-24 13:50:09,11.65237,2023-05-24 13:36:18,31.858,2148.4468
144.6182,15.93,576.6,11.59,2023-05-24 14:50:12,11.65237,2023-05-24 14:36:18,32.046,2158.7116
144.6598,16.02,551.9,11.59,2023-05-24 15:50:06,11.65237,2023-05-24 15:36:18,31.917,2151.6682
144.7015,16.02,530.4,11.59,2023-05-24 16:50:09,11.65237,2023-05-24 16:36:18,32.087,2160.9502
144.7432,16.51,524.5,11.59,2023-05-24 17:50:12,11.65237,2023-05-24 17:36:18,32.111999999999995,2162.3152
144.7848,17.38,515.4,11.6,2023-05-24 18:50:06,11.65237,2023-05-24 18:36:18,31.629,2135.9434
144.8265,17.95,480.7,11.61,2023-05-24 19:50:09,11.65237,2023-05-24 19:36:18,31.567,2132.5582
144.8682,18.3,464.7,11.61,2023-05-24 20:50:12,11.65237,2023-05-24 20:36:18,31.114,2107.8244000000004
144.9098,17.12,478.3,11.61,2023-05-24 21:50:06,11.65237,2023-05-24 21:36:18,30.883,2095.2118
144.9515,16.98,498.4,11.6,2023-05-24 22:50:09,11.65237,2023-05-24 22:36:18,30.842,2092.9732
144.9932,17.07,501.8,11.6,2023-05-24 23:50:12,11.65237,2023-05-24 23:36:18,30.921,2097.2866
145.0348,17.1,495.7,11.6,2023-05-25 00:50:06,11.65237,2023-05-25 00:36:18,31.141,2109.2986
145.0765,17.05,514.2,11.6,2023-05-25 01:50:09,11.65237,2023-05-25 01:36:18,31.699,2139.7654
145.1182,16.93,531.6,11.59,2023-05-25 02:50:12,11.65237,2023-05-25 02:36:18,32.004000000000005,2156.4184000000005
145.1598,16.72,527.7,11.59,2023-05-25 03:50:06,11.65237,2023-05-25 03:36:18,32.126000000000005,2163.0796
145.2015,16.74,531.4,11.59,2023-05-25 04:50:09,11.65237,2023-05-25 04:36:18,32.205,2167.393
145.2432,16.81,572.2,11.59,2023-05-25 05:50:12,11.65237,2023-05-25 05:36:18,32.29,2172.034
145.2848,16.96,621.8,11.59,2023-05-25 06:50:06,11.65237,2023-05-25 06:36:18,32.324,2173.8904
145.3265,17.0,678.5,11.59,2023-05-25 07:50:09,11.65237,2023-05-25 07:36:18,31.972,2154.6712
