DateTime,Salinity
2021-05-07 13:00:00,30.9
2021-05-07 13:00:00,30.9
2021-05-07 13:00:00,30.7
2021-06-11 07:30:00,24.16
2021-06-11 07:30:00,24.03
2021-06-11 07:30:00,24.16
2021-06-18 12:30:00,22.9
2021-06-18 12:30:00,22.9
2021-06-18 12:30:00,22.9
2021-07-08 13:00:00,30.42
2021-07-08 13:00:00,29.83
2021-07-08 13:00:00,30.42
2021-08-02 09:00:00,30.79
2021-08-02 09:00:00,30.79
2021-08-02 09:00:00,31.01
2021-09-28 13:00:00,26.51
2021-09-28 13:00:00,28.36
2021-09-28 13:00:00,28.36
2021-12-10 10:00:00,28.58
2021-12-10 10:00:00,28.58
2021-12-10 10:00:00,28.18
