Date,Conductivity,Temperature (F),DateTime (UTC),Temperature (C),Salinity Value,Salinity Value (Offset +15)
05/17/22 12:36:18,25658.8,63.66,2022-05-17 16:36:18,17.588888888888885,18.569,33.569
05/17/22 13:06:18,24485.6,64.45,2022-05-17 17:06:18,18.02777777777778,17.453,32.453
05/17/22 13:36:18,23970.9,65.86,2022-05-17 17:36:18,18.81111111111111,16.732,31.732
05/17/22 14:06:18,23676.5,66.43,2022-05-17 18:06:18,19.12777777777778,16.383,31.383
05/17/22 14:36:18,23561.4,66.78,2022-05-17 18:36:18,19.322222222222223,16.22,31.22
05/17/22 15:06:18,23591.3,66.6,2022-05-17 19:06:18,19.222222222222218,16.282,31.282
05/17/22 15:36:18,23792.5,65.57,2022-05-17 19:36:18,18.649999999999995,16.66,31.66
05/17/22 16:06:18,23990.3,64.74,2022-05-17 20:06:18,18.188888888888886,17.0,32.0
05/17/22 16:36:18,24008.2,64.74,2022-05-17 20:36:18,18.188888888888886,17.014,32.013999999999996
05/17/22 17:06:18,24145.2,63.37,2022-05-17 21:06:18,17.427777777777777,17.441,32.441
05/17/22 17:36:18,24179.7,63.01,2022-05-17 21:36:18,17.227777777777778,17.554,32.554
05/17/22 18:06:18,24222.5,62.89,2022-05-17 22:06:18,17.16111111111111,17.617,32.617000000000004
05/17/22 18:36:18,24163.2,63.09,2022-05-17 22:36:18,17.272222222222222,17.522,32.522
05/17/22 19:06:18,24146.8,62.89,2022-05-17 23:06:18,17.16111111111111,17.556,32.556
05/17/22 19:36:18,24220.8,62.17,2022-05-17 23:36:18,16.761111111111113,17.79,32.79
05/17/22 20:06:18,24209.3,61.72,2022-05-18 00:06:18,16.51111111111111,17.892,32.891999999999996
05/17/22 20:36:18,24214.2,60.6,2022-05-18 00:36:18,15.88888888888889,18.176,33.176
05/17/22 21:06:18,24199.4,59.59,2022-05-18 01:06:18,15.32777777777778,18.422,33.422
05/17/22 21:36:18,24189.5,59.5,2022-05-18 01:36:18,15.277777777777777,18.438,33.438
05/17/22 22:06:18,24168.2,59.63,2022-05-18 02:06:18,15.350000000000001,18.386,33.385999999999996
05/17/22 22:36:18,24128.8,59.76,2022-05-18 02:36:18,15.42222222222222,18.32,33.32
05/17/22 23:06:18,24115.7,60.13,2022-05-18 03:06:18,15.627777777777778,18.214,33.214
05/17/22 23:36:18,24079.8,60.44,2022-05-18 03:36:18,15.799999999999999,18.106,33.106
05/18/22 00:06:18,24000.1,60.66,2022-05-18 04:06:18,15.92222222222222,17.985,32.985
05/18/22 00:36:18,23795.7,61.11,2022-05-18 04:36:18,16.17222222222222,17.706,32.706
05/18/22 01:06:18,23533.2,61.29,2022-05-18 05:06:18,16.272222222222222,17.449,32.449
05/18/22 01:36:18,23334.3,61.36,2022-05-18 05:36:18,16.31111111111111,17.271,32.271
05/18/22 02:06:18,23062.4,61.43,2022-05-18 06:06:18,16.349999999999998,17.034,32.034
05/18/22 02:36:18,22794.3,61.38,2022-05-18 06:36:18,16.322222222222223,16.829,31.829
05/18/22 03:06:18,22699.7,61.27,2022-05-18 07:06:18,16.261111111111113,16.778,31.778
05/18/22 03:36:18,22752.8,61.29,2022-05-18 07:36:18,16.272222222222222,16.817,31.817
05/18/22 04:06:18,22741.0,61.21,2022-05-18 08:06:18,16.227777777777778,16.826,31.826
05/18/22 04:36:18,22880.6,61.23,2022-05-18 08:36:18,16.238888888888887,16.934,31.934
05/18/22 05:06:18,23009.6,61.27,2022-05-18 09:06:18,16.261111111111113,17.029,32.028999999999996
