Date,Conductivity,Temperature (F),DateTime (UTC),Temperature (C),Salinity Value,Salinity Value (Offset +4)
09/28/21 10:03:42,35796.1,71.8,2021-09-28 14:03:42,22.11111111111111,24.078,28.078
09/28/21 10:33:42,35742.5,71.74,2021-09-28 14:33:42,22.077777777777776,24.056,28.056
09/28/21 11:03:42,35611.1,71.74,2021-09-28 15:03:42,22.077777777777776,23.958,27.958
09/28/21 11:33:42,35785.4,71.89,2021-09-28 15:33:42,22.16111111111111,24.042,28.042
09/28/21 12:03:42,35936.1,72.07,2021-09-28 16:03:42,22.261111111111106,24.099,28.099
09/28/21 12:33:42,35964.9,72.21,2021-09-28 16:33:42,22.338888888888885,24.078,28.078
09/28/21 13:03:42,36168.1,72.37,2021-09-28 17:03:42,22.42777777777778,24.179,28.179
09/28/21 13:33:42,36102.6,72.34,2021-09-28 17:33:42,22.41111111111111,24.14,28.14
09/28/21 14:03:42,36040.8,72.36,2021-09-28 18:03:42,22.42222222222222,24.088,28.088
09/28/21 14:33:42,36135.3,72.23,2021-09-28 18:33:42,22.35,24.198,28.198
09/28/21 15:03:42,35921.7,72.21,2021-09-28 19:03:42,22.338888888888885,24.046,28.046
09/28/21 15:33:42,36069.9,72.16,2021-09-28 19:33:42,22.31111111111111,24.171,28.171
09/28/21 16:03:42,36149.9,72.16,2021-09-28 20:03:42,22.31111111111111,24.23,28.23
09/28/21 16:33:42,35522.8,72.16,2021-09-28 20:33:42,22.31111111111111,23.765,27.765
09/28/21 17:03:42,36062.6,72.3,2021-09-28 21:03:42,22.388888888888886,24.123,28.123
09/28/21 17:33:42,36091.7,72.3,2021-09-28 21:33:42,22.388888888888886,24.144,28.144
09/28/21 18:03:42,35839.0,72.28,2021-09-28 22:03:42,22.377777777777776,23.963,27.963
09/28/21 18:33:42,35650.1,72.14,2021-09-28 22:33:42,22.3,23.866,27.866
09/28/21 19:03:42,35657.2,72.18,2021-09-28 23:03:42,22.322222222222226,23.859,27.859
09/28/21 19:33:42,35625.3,72.07,2021-09-28 23:33:42,22.261111111111106,23.869,27.869
09/28/21 20:03:42,35533.4,72.03,2021-09-29 00:03:42,22.23888888888889,23.812,27.812
09/28/21 20:33:42,35639.4,72.07,2021-09-29 00:33:42,22.261111111111106,23.879,27.879
09/28/21 21:03:42,35522.8,72.03,2021-09-29 01:03:42,22.23888888888889,23.805,27.805
09/28/21 21:33:42,35540.5,71.98,2021-09-29 01:33:42,22.211111111111112,23.833,27.833
09/28/21 22:03:42,35365.1,71.89,2021-09-29 02:03:42,22.16111111111111,23.73,27.73
09/28/21 22:33:42,35115.5,71.67,2021-09-29 02:33:42,22.038888888888888,23.611,27.611
09/28/21 23:03:42,35149.9,71.71,2021-09-29 03:03:42,22.061111111111106,23.624,27.624
09/28/21 23:33:42,34683.7,71.44,2021-09-29 03:33:42,21.911111111111108,23.358,27.358
09/29/21 00:03:42,34764.5,71.51,2021-09-29 04:03:42,21.950000000000003,23.397,27.397
09/29/21 00:33:42,34246.1,70.93,2021-09-29 04:33:42,21.62777777777778,23.183,27.183
09/29/21 01:03:42,33730.4,70.34,2021-09-29 05:03:42,21.3,22.971,26.971
