Datetime_UTC,Sal
1.652373e+18,30.00755196625722
1.6523739e+18,30.007683074000028
1.6523748e+18,30.007814185989343
1.6523757e+18,30.007945302137806
1.6523766e+18,30.00807642241008
1.6523775e+18,30.008207546996374
1.6523784e+18,30.008338675733633
1.6523793e+18,30.008469808618937
1.6523802e+18,30.008600945714587
1.6523811e+18,30.008732086899474
1.652382e+18,30.00886323244601
1.6523829e+18,30.00899438212869
1.6523838e+18,30.0091255360687
1.6523847e+18,30.009256693938628
1.6523856e+18,30.00938785638958
1.6523865e+18,30.00951902279553
1.6523874e+18,30.009650193340907
1.6523883e+18,30.009781368223262
1.6523892e+18,30.009912547147376
1.6523901e+18,30.010043730267803
1.652391e+18,30.010174917705687
1.6523919e+18,30.010306109197742
1.6523928e+18,30.01043730497476
1.6523937e+18,30.010568504810596
1.6523946e+18,30.01069970884681
1.6523955e+18,30.010830917196884
1.6523964e+18,30.010962129674812
1.6523973e+18,30.011093346292487
1.6523982e+18,30.0112245670339
1.6523991e+18,30.01135579213858
1.6524e+18,30.011487021147275
1.6524009e+18,30.01161825456749
1.6524018e+18,30.0117494922316
1.6524027e+18,30.011880733931196
1.6524036e+18,30.012011979735156
1.6524045e+18,30.012143229761186
1.6524054e+18,30.01227448408584
1.6524063e+18,30.012405742590193
1.6524072e+18,30.01253700508405
1.6524081e+18,30.01266827180994
1.652409e+18,30.01279954281075
1.6524099e+18,30.01293081801233
1.6524108e+18,30.01306209729985
1.6524117e+18,30.01319338085436
1.6524126e+18,30.013324668448842
1.6524135e+18,30.013455960290294
1.6524144e+18,30.013587256280925
1.6524153e+18,30.013718556367436
1.6524162e+18,30.01384986072852
1.6524171e+18,30.01398116916769
1.652418e+18,30.014112481817946
1.6524189e+18,30.0142437987898
1.6524198e+18,30.01437511984597
1.6524207e+18,30.014506444870488
1.6524216e+18,30.014637774149254
1.6524225e+18,30.014769107578424
1.6524234e+18,30.0149004452875
1.6524243e+18,30.015031787105954
1.6524252e+18,30.015163133175985
1.6524261e+18,30.01529448323453
1.652427e+18,30.015425837488873
1.6524279e+18,30.015557195903643
1.6524288e+18,30.015688558456713
1.6524297e+18,30.015819925186698
1.6524306e+18,30.015951296044584
1.6524315e+18,30.01608267102884
1.6524324e+18,30.016214050242294
1.6524333e+18,30.016345433643508
1.6524342e+18,30.016476821177807
1.6524351e+18,30.016608212786256
1.652436e+18,30.01673960847056
1.6524369e+18,30.016871008361555
1.6524378e+18,30.017002412368996
1.6524387e+18,30.01713382059682
1.6524396e+18,30.01726523286855
1.6524405e+18,30.017396649334543
1.6524414e+18,30.017528069857015
1.6524423e+18,30.017659494623913
1.6524432e+18,30.01779092342831
1.6524441e+18,30.017922356469757
1.652445e+18,30.0180537934389
1.6524459e+18,30.018185234679137
1.6524468e+18,30.018316680034392
1.6524477e+18,30.01844812949721
1.6524486e+18,30.018579582953787
1.6524495e+18,30.018711040765403
1.6524504e+18,30.01884250250808
1.6524513e+18,30.018973968393396
1.6524522e+18,30.01910543837394
1.6524531e+18,30.019236912537302
1.652454e+18,30.019368390801816
1.6524549e+18,30.019499873203458
1.6524558e+18,30.019631359542984
1.6524567e+18,30.019762850090974
1.6524576e+18,30.019894344831254
1.6524585e+18,30.02002584349347
1.6524594e+18,30.02015734633295
1.6524603e+18,30.02028885323337
1.6524612e+18,30.02042036426952
1.6524621e+18,30.0205518794738
1.652463e+18,30.020683398658882
1.6524639e+18,30.020814922068325
1.6524648e+18,30.020946449278313
1.6524657e+18,30.021077980726137
1.6524666e+18,30.02120951616553
1.6524675e+18,30.02134105580431
1.6524684e+18,30.021472599404028
1.6524693e+18,30.021604147072797
1.6524702e+18,30.021735698900798
1.6524711e+18,30.021867254756387
1.652472e+18,30.021998814695994
1.6524729e+18,30.02213037866509
1.6524738e+18,30.022261946674657
1.6524747e+18,30.022393518685536
1.6524756e+18,30.022525094907135
1.6524765e+18,30.022656674990355
1.6524774e+18,30.022788259407356
1.6524783e+18,30.02291984759394
1.6524792e+18,30.023051440000437
1.6524801e+18,30.023183036298676
1.652481e+18,30.02331463666617
1.6524819e+18,30.02344624119046
1.6524828e+18,30.02357784962082
1.6524837e+18,30.023709462088828
1.6524846e+18,30.02384107861343
1.6524855e+18,30.02397269911601
1.6524864e+18,30.02410432386665
1.6524873e+18,30.02423595241057
1.6524882e+18,30.02436758497261
1.6524891e+18,30.024499221741024
1.65249e+18,30.024630862364706
1.6524909e+18,30.024762507066647
1.6524918e+18,30.024894155758513
1.6524927e+18,30.02502580843528
1.6524936e+18,30.025157465182666
1.6524945e+18,30.025289125891245
1.6524954e+18,30.025420790630257
1.6524963e+18,30.02555245940059
1.6524972e+18,30.025684132198684
1.6524981e+18,30.025815808825033
1.652499e+18,30.025947489590177
1.6524999e+18,30.026079174234674
1.6525008e+18,30.026210863051837
1.6525017e+18,30.02634255571181
1.6525026e+18,30.02647425238938
1.6525035e+18,30.026605953176226
1.6525044e+18,30.02673765774676
1.6525053e+18,30.026869366460694
1.6525062e+18,30.027001078965476
1.6525071e+18,30.02713279564985
1.652508e+18,30.027264516134323
1.6525089e+18,30.02739624072859
1.6525098e+18,30.027527969223627
1.6525107e+18,30.027659701684957
1.6525116e+18,30.027791438146103
1.6525125e+18,30.027923178529182
1.6525134e+18,30.028054922986648
1.6525143e+18,30.028186671229186
1.6525152e+18,30.028318423488777
1.6525161e+18,30.028450179549594
1.652517e+18,30.028581939832616
1.6525179e+18,30.028713703930837
1.6525188e+18,30.028845471906646
1.6525197e+18,30.028977244045425
