Salinity_Time,Salinity,Datetime
2022-05-13 18:15:00,30.3,2022-05-13 18:15:00
2022-05-13 09:00:00,30.8,2022-05-13 09:00:00
2022-05-22 04:00:00,30.1,2022-05-22 04:00:00
2022-05-14 06:30:00,30.9,2022-05-14 06:30:00
2022-05-12 17:30:00,31.1,2022-05-12 17:30:00
2022-05-12 20:30:00,30.2,2022-05-12 20:30:00
2022-05-20 02:15:00,30.6,2022-05-20 02:15:00
2022-05-22 01:15:00,29.9,2022-05-22 01:15:00
2022-05-14 22:15:00,29.7,2022-05-14 22:15:00
2022-05-18 22:00:00,29.7,2022-05-18 22:00:00
2022-05-15 19:30:00,29.3,2022-05-15 19:30:00
2022-05-16 20:15:00,30.1,2022-05-16 20:15:00
2022-05-13 05:45:00,30.8,2022-05-13 05:45:00
2022-05-15 07:00:00,30.2,2022-05-15 07:00:00
2022-05-15 11:15:00,29.8,2022-05-15 11:15:00
2022-05-13 09:15:00,30.8,2022-05-13 09:15:00
2022-05-17 21:00:00,30.5,2022-05-17 21:00:00
2022-05-12 17:15:00,31.0,2022-05-12 17:15:00
2022-05-26 09:00:00,30.2,2022-05-26 09:00:00
2022-05-18 09:15:00,30.2,2022-05-18 09:15:00
2022-05-14 06:15:00,31.0,2022-05-14 06:15:00
2022-05-17 00:00:00,29.7,2022-05-17 00:00:00
2022-05-21 16:45:00,29.7,2022-05-21 16:45:00
2022-05-15 23:15:00,30.0,2022-05-15 23:15:00
2022-05-22 17:45:00,29.0,2022-05-22 17:45:00
2022-05-19 22:45:00,30.4,2022-05-19 22:45:00
2022-05-14 22:30:00,29.7,2022-05-14 22:30:00
2022-05-13 05:30:00,30.8,2022-05-13 05:30:00
2022-05-13 21:45:00,29.4,2022-05-13 21:45:00
2022-05-13 09:30:00,30.9,2022-05-13 09:30:00
2022-05-13 17:45:00,30.4,2022-05-13 17:45:00
2022-05-12 17:00:00,31.0,2022-05-12 17:00:00
2022-05-15 11:30:00,29.7,2022-05-15 11:30:00
2022-05-15 06:45:00,30.2,2022-05-15 06:45:00
2022-05-17 08:15:00,30.2,2022-05-17 08:15:00
2022-05-17 20:45:00,30.4,2022-05-17 20:45:00
2022-05-21 12:00:00,30.1,2022-05-21 12:00:00
2022-05-14 06:00:00,30.9,2022-05-14 06:00:00
2022-05-21 17:00:00,29.8,2022-05-21 17:00:00
2022-05-25 08:15:00,30.6,2022-05-25 08:15:00
2022-05-16 12:30:00,29.8,2022-05-16 12:30:00
2022-05-17 00:15:00,29.8,2022-05-17 00:15:00
2022-05-18 09:00:00,30.2,2022-05-18 09:00:00
2022-05-13 05:15:00,30.7,2022-05-13 05:15:00
2022-05-13 22:00:00,29.2,2022-05-13 22:00:00
2022-05-12 21:15:00,30.0,2022-05-12 21:15:00
2022-05-12 16:45:00,31.0,2022-05-12 16:45:00
2022-05-26 09:30:00,30.2,2022-05-26 09:30:00
2022-05-16 19:45:00,30.0,2022-05-16 19:45:00
2022-05-19 15:15:00,29.8,2022-05-19 15:15:00
2022-05-29 23:45:00,29.7,2022-05-29 23:45:00
2022-05-15 11:45:00,29.7,2022-05-15 11:45:00
2022-05-19 02:00:00,29.6,2022-05-19 02:00:00
2022-05-15 06:30:00,30.1,2022-05-15 06:30:00
2022-05-17 20:30:00,30.4,2022-05-17 20:30:00
2022-05-21 17:15:00,30.0,2022-05-21 17:15:00
2022-05-14 05:45:00,30.9,2022-05-14 05:45:00
2022-05-17 08:00:00,30.2,2022-05-17 08:00:00
2022-05-18 01:15:00,31.0,2022-05-18 01:15:00
2022-05-12 21:30:00,30.0,2022-05-12 21:30:00
2022-05-19 22:15:00,30.3,2022-05-19 22:15:00
2022-05-12 16:30:00,31.1,2022-05-12 16:30:00
2022-05-13 17:15:00,30.8,2022-05-13 17:15:00
2022-05-14 18:00:00,29.4,2022-05-14 18:00:00
2022-05-18 21:15:00,29.9,2022-05-18 21:15:00
2022-05-15 18:45:00,29.6,2022-05-15 18:45:00
2022-05-26 04:30:00,30.2,2022-05-26 04:30:00
2022-06-01 21:15:00,30.2,2022-06-01 21:15:00
2022-05-16 19:30:00,29.9,2022-05-16 19:30:00
2022-05-19 15:30:00,29.8,2022-05-19 15:30:00
2022-06-01 08:45:00,29.9,2022-06-01 08:45:00
2022-05-15 12:00:00,29.6,2022-05-15 12:00:00
2022-05-17 13:45:00,28.9,2022-05-17 13:45:00
2022-05-21 17:30:00,29.7,2022-05-21 17:30:00
2022-05-13 10:15:00,30.9,2022-05-13 10:15:00
2022-05-12 21:45:00,30.6,2022-05-12 21:45:00
2022-05-21 11:30:00,30.1,2022-05-21 11:30:00
2022-06-02 15:15:00,29.4,2022-06-02 15:15:00
2022-05-13 22:30:00,29.2,2022-05-13 22:30:00
2022-05-13 17:00:00,30.8,2022-05-13 17:00:00
2022-05-14 11:15:00,29.0,2022-05-14 11:15:00
2022-05-14 17:45:00,29.4,2022-05-14 17:45:00
2022-05-16 13:00:00,29.8,2022-05-16 13:00:00
2022-05-16 00:00:00,30.0,2022-05-16 00:00:00
2022-05-15 18:30:00,29.7,2022-05-15 18:30:00
2022-05-22 00:00:00,29.9,2022-05-22 00:00:00
2022-05-25 09:00:00,30.7,2022-05-25 09:00:00
2022-05-16 19:15:00,30.0,2022-05-16 19:15:00
2022-05-18 08:30:00,30.2,2022-05-18 08:30:00
2022-05-26 16:30:00,30.0,2022-05-26 16:30:00
2022-05-12 22:00:00,30.3,2022-05-12 22:00:00
2022-05-20 16:45:00,31.0,2022-05-20 16:45:00
2022-05-13 04:30:00,30.8,2022-05-13 04:30:00
2022-05-14 05:15:00,30.7,2022-05-14 05:15:00
2022-05-15 06:00:00,29.8,2022-05-15 06:00:00
2022-05-13 22:45:00,29.1,2022-05-13 22:45:00
2022-05-13 16:45:00,30.9,2022-05-13 16:45:00
2022-05-16 06:45:00,30.0,2022-05-16 06:45:00
2022-05-14 11:30:00,29.0,2022-05-14 11:30:00
2022-05-14 17:30:00,29.4,2022-05-14 17:30:00
2022-05-14 23:30:00,29.7,2022-05-14 23:30:00
2022-05-19 09:15:00,30.0,2022-05-19 09:15:00
2022-05-18 01:45:00,30.7,2022-05-18 01:45:00
2022-05-15 18:15:00,29.9,2022-05-15 18:15:00
2022-05-16 00:15:00,30.1,2022-05-16 00:15:00
2022-05-17 01:00:00,29.8,2022-05-17 01:00:00
2022-05-12 22:15:00,30.3,2022-05-12 22:15:00
2022-05-16 19:00:00,29.9,2022-05-16 19:00:00
2022-05-13 04:15:00,30.9,2022-05-13 04:15:00
2022-05-20 17:00:00,31.0,2022-05-20 17:00:00
2022-05-15 12:30:00,29.5,2022-05-15 12:30:00
2022-05-14 05:00:00,30.7,2022-05-14 05:00:00
2022-05-13 16:30:00,30.8,2022-05-13 16:30:00
2022-05-13 23:00:00,29.3,2022-05-13 23:00:00
2022-05-20 22:30:00,30.0,2022-05-20 22:30:00
2022-05-15 05:45:00,29.8,2022-05-15 05:45:00
2022-05-14 11:45:00,29.1,2022-05-14 11:45:00
2022-05-14 17:15:00,29.5,2022-05-14 17:15:00
2022-05-20 10:00:00,31.0,2022-05-20 10:00:00
2022-05-16 06:30:00,30.0,2022-05-16 06:30:00
2022-05-14 23:45:00,29.8,2022-05-14 23:45:00
2022-05-15 18:00:00,29.9,2022-05-15 18:00:00
