Date,Temp,CO2,Battery
135.7605,10.32,392.7,12.02
135.7814,10.16,394.8,12.02
135.8022,10.2,401.7,12.0
135.823,10.4,410.6,12.01
135.8439,10.4,409.4,12.01
135.8647,10.43,408.8,12.01
135.8855,10.45,408.9,12.01
135.9064,10.45,404.4,12.01
135.9272,10.43,399.0,12.01
135.948,10.36,399.0,12.02
135.9689,10.27,395.6,12.02
135.9897,10.27,395.8,12.02
136.0105,10.25,394.3,12.02
136.0314,10.25,399.0,12.02
136.0522,10.25,396.1,12.02
136.073,10.23,384.1,12.02
136.0939,10.2,356.7,12.02
136.1147,10.11,397.3,12.02
136.1355,10.14,401.0,12.02
136.1564,10.2,394.2,12.02
136.1772,10.18,387.3,12.02
136.198,10.23,393.3,12.02
136.2189,10.2,384.2,12.02
136.2397,10.16,384.7,12.02
136.2605,10.16,316.7,12.02
136.2814,10.16,325.9,12.02
136.3022,10.23,373.3,12.02
136.323,10.38,407.3,12.02
136.3439,10.4,415.5,12.02
136.3647,10.43,411.9,12.02
136.3855,10.38,325.7,12.02
136.4064,10.36,300.9,12.02
136.4272,10.34,350.2,12.02
136.448,10.32,380.8,12.02
136.4689,10.25,390.1,12.02
136.4897,10.25,393.2,12.02
136.5105,10.27,396.7,12.02
136.5314,10.29,401.4,12.02
136.5522,10.32,415.6,12.03
136.573,10.49,412.1,12.02
136.5939,10.32,388.8,12.02
136.6147,10.32,379.3,12.02
136.6355,10.4,381.6,12.02
136.6564,10.56,406.7,12.03
136.6772,10.45,394.1,12.03
136.698,10.54,392.3,12.03
136.7189,10.58,372.0,12.03
136.7397,10.7,362.1,12.03
136.7605,10.76,361.0,12.02
136.7814,10.92,373.8,12.03
136.8022,10.83,367.0,12.03
136.823,10.47,353.8,12.03
136.8439,11.57,391.4,12.02
136.8647,11.84,423.1,12.03
136.8855,11.37,406.6,12.03
136.9064,11.21,375.3,12.03
136.9272,11.32,382.8,12.03
136.948,11.28,389.7,12.03
136.9689,11.08,392.1,12.03
136.9897,10.87,396.0,12.03
137.0105,10.7,387.8,12.03
137.0314,10.67,392.5,12.02
137.0522,10.7,398.6,12.02
137.073,10.54,402.0,12.02
137.0939,10.47,400.9,12.02
137.1147,10.45,397.7,12.02
137.1355,10.47,398.8,12.02
137.1564,10.58,404.8,12.02
137.1772,10.83,411.2,12.02
137.198,10.81,412.5,12.02
137.2189,10.81,413.3,12.02
137.2397,10.61,400.7,12.02
137.2605,10.61,335.6,12.02
137.2814,10.56,274.1,12.02
137.3022,10.54,232.8,12.02
137.323,10.61,277.6,12.02
137.3439,10.49,335.1,12.02
137.3647,10.45,386.4,12.02
137.3855,10.96,401.0,12.02
137.4064,10.96,393.6,12.02
137.4272,10.99,385.6,12.02
137.448,10.92,368.3,12.02
137.4689,10.87,363.8,12.02
137.4897,10.83,389.3,12.02
137.5105,10.81,394.0,12.02
137.5314,10.74,400.6,12.02
137.5522,10.67,406.6,12.01
137.573,10.63,411.0,12.01
137.5939,10.58,417.6,12.01
137.6147,10.56,395.2,12.01
137.6355,10.54,385.1,12.01
137.6564,10.52,386.9,12.01
