Date,Time,Temp,pH,Battery
2021-05-07,12:58:31,12.58,7.8887,11.68
2021-05-07,14:58:31,12.99,8.8994,11.65
2021-05-07,15:58:31,13.33,9.2599,11.66
2021-05-07,19:58:31,15.84,8.7122,11.71
2021-05-07,20:58:31,16.18,7.1305,11.72
2021-05-07,21:58:31,15.0,9.947,11.72
2021-05-08,01:58:31,14.02,9.1343,11.71
2021-05-08,02:58:31,13.86,8.909,11.7
2021-05-08,03:58:31,13.79,9.457,11.7
2021-05-08,04:58:31,13.74,8.9464,11.7
2021-05-08,05:58:31,13.72,8.5874,11.7
2021-05-08,06:58:31,13.56,8.3966,11.69
2021-05-08,07:58:31,13.72,8.4077,11.69
2021-05-08,08:58:31,13.97,8.1964,11.69
2021-05-08,09:58:31,13.49,8.0396,11.69
2021-05-11,09:58:31,13.17,8.1429,11.47
2021-05-11,23:58:31,15.23,7.9609,11.47
2021-05-12,06:58:31,13.51,8.1061,11.43
2021-05-12,09:58:31,13.29,7.7857,11.41
2021-05-12,10:58:31,13.58,7.6096,11.41
2021-05-12,11:58:31,13.7,7.4603,11.41
2021-05-12,17:58:31,13.83,8.1729,11.4
2021-05-12,18:58:31,14.18,8.1328,11.4
2021-05-12,19:58:31,14.29,8.0423,11.4
2021-05-12,20:58:31,14.52,8.2456,11.4
2021-05-12,22:58:31,15.28,7.9601,11.41
2021-05-12,23:58:31,15.4,7.8774,11.41
2021-05-13,00:58:31,14.06,7.985,11.4
2021-05-13,01:58:31,13.74,8.0095,11.39
2021-05-13,02:58:31,13.63,8.0071,11.38
2021-05-13,03:58:31,13.49,7.9935,11.38
2021-05-13,04:58:31,13.51,7.9884,11.37
2021-05-13,21:58:31,15.16,1.9753,11.35
2021-05-16,03:58:31,15.56,8.4513,11.26
2021-05-16,05:58:31,15.35,7.9989,11.25
2021-05-16,06:58:31,15.07,7.9544,11.24
2021-05-16,07:58:31,14.91,7.9786,11.24
2021-05-16,08:58:31,14.82,7.9816,11.24
2021-05-16,09:58:31,14.96,7.9669,11.23
2021-05-16,10:58:31,15.14,7.9476,11.23
2021-05-16,11:58:31,15.44,7.8668,11.23
2021-05-16,12:58:31,16.42,7.6757,11.24
2021-05-16,13:58:31,17.21,7.4484,11.24
2021-05-16,14:58:31,17.73,7.3897,11.25
2021-05-16,15:58:31,16.51,7.9489,11.25
2021-05-16,16:58:31,16.74,7.9819,11.24
2021-05-16,17:58:31,17.21,7.9948,11.24
2021-05-16,18:58:31,17.4,7.9882,11.25
2021-05-16,19:58:31,17.64,8.0105,11.25
2021-05-16,20:58:31,17.83,8.0491,11.25
2021-05-17,01:58:31,17.92,8.6028,11.24
