,Date,Temperature (C),CO2,Battery
0,2022-05-02 17:05:08,12.36,654.4,12.06
1,2022-05-02 18:05:11,12.74,640.2,12.05
2,2022-05-02 19:05:05,12.77,626.5,12.06
3,2022-05-02 20:05:08,12.18,643.7,12.06
4,2022-05-02 21:05:11,11.86,626.7,12.06
5,2022-05-02 22:05:05,11.55,613.4,12.06
6,2022-05-02 23:05:08,11.57,635.4,12.05
7,2022-05-03 00:05:11,11.35,627.6,12.05
8,2022-05-03 01:05:05,11.23,627.4,12.05
9,2022-05-03 02:05:08,11.17,635.0,12.05
10,2022-05-03 03:05:11,11.21,650.7,12.05
11,2022-05-03 04:05:05,11.23,668.1,12.05
12,2022-05-03 05:05:08,11.37,745.9,12.05
13,2022-05-03 06:05:11,11.43,863.6,12.06
14,2022-05-03 07:05:05,11.46,994.7,12.06
15,2022-05-03 08:05:08,11.43,1018.6,12.06
16,2022-05-03 09:05:11,11.39,949.6,12.06
17,2022-05-03 10:05:05,11.26,796.9,12.06
18,2022-05-03 11:05:08,11.17,790.4,12.06
19,2022-05-03 12:05:11,11.1,766.6,12.06
20,2022-05-03 13:05:05,11.1,736.6,12.06
21,2022-05-03 14:05:08,11.12,714.5,12.06
22,2022-05-03 15:05:11,11.14,694.6,12.06
23,2022-05-03 16:05:05,11.52,738.4,12.06
24,2022-05-03 17:05:08,12.06,793.8,12.06
25,2022-05-03 18:05:11,12.49,773.8,12.07
26,2022-05-03 19:05:05,12.83,741.0,12.07
27,2022-05-03 20:05:08,12.38,749.8,12.07
28,2022-05-03 21:05:11,11.91,716.6,12.07
29,2022-05-03 22:05:05,12.09,642.3,12.07
30,2022-05-03 23:05:08,11.91,628.8,12.07
31,2022-05-04 00:05:11,11.95,637.5,12.07
32,2022-05-04 01:05:05,11.84,629.5,12.07
33,2022-05-04 02:05:08,11.66,645.0,12.07
34,2022-05-04 03:05:11,11.61,645.8,12.06
35,2022-05-04 04:05:05,11.61,665.1,12.06
36,2022-05-04 05:05:08,11.75,693.2,12.07
37,2022-05-04 06:05:11,11.97,783.6,12.07
38,2022-05-04 07:05:05,12.0,906.9,12.07
39,2022-05-04 08:05:08,12.0,1083.5,12.07
40,2022-05-04 09:05:11,11.91,1017.6,12.07
41,2022-05-04 10:05:05,11.7,877.5,12.06
42,2022-05-04 11:05:08,11.59,834.1,12.07
43,2022-05-04 12:05:11,11.3,802.7,12.06
44,2022-05-04 13:05:05,11.26,762.5,12.06
45,2022-05-04 14:05:08,11.26,739.6,12.06
46,2022-05-04 15:05:11,11.23,720.5,12.06
47,2022-05-04 16:05:05,11.23,703.2,12.06
48,2022-05-04 17:05:08,11.48,723.4,12.06
49,2022-05-04 18:05:11,11.91,846.4,12.06
50,2022-05-04 19:05:05,12.22,858.3,12.07
51,2022-05-04 20:05:08,12.2,871.1,12.07
52,2022-05-04 21:05:11,11.91,846.5,12.07
53,2022-05-04 22:05:05,11.61,757.0,12.06
54,2022-05-04 23:05:08,11.59,742.9,12.06
55,2022-05-05 00:05:11,11.59,694.5,12.06
56,2022-05-05 01:05:05,11.52,692.7,12.06
57,2022-05-05 02:05:08,11.52,695.2,12.06
58,2022-05-05 03:05:11,11.5,689.9,12.06
59,2022-05-05 04:05:05,11.46,701.6,12.06
60,2022-05-05 05:05:08,11.66,770.7,12.06
61,2022-05-05 06:05:11,11.86,837.7,12.06
62,2022-05-05 07:05:05,11.93,1095.4,12.06
63,2022-05-05 08:05:08,11.91,1224.1,12.06
64,2022-05-05 09:05:11,11.88,1159.7,12.07
65,2022-05-05 10:05:05,11.77,1016.1,12.06
66,2022-05-05 11:05:08,11.68,1007.9,12.06
67,2022-05-05 12:05:11,11.61,920.3,12.06
68,2022-05-05 13:05:05,11.66,877.4,12.06
69,2022-05-05 14:05:08,11.86,817.4,12.06
70,2022-05-05 15:05:11,11.86,762.3,12.06
71,2022-05-05 16:05:05,12.0,735.9,12.06
72,2022-05-05 17:05:08,12.31,734.4,12.06
73,2022-05-05 18:05:11,13.81,764.8,12.07
74,2022-05-05 19:05:05,14.2,728.4,12.08
75,2022-05-05 20:05:08,15.21,622.3,12.08
76,2022-05-05 21:05:11,14.59,632.2,12.09
77,2022-05-05 22:05:05,12.74,682.2,12.08
78,2022-05-05 23:05:08,12.7,680.8,12.07
79,2022-05-06 00:05:11,12.67,657.4,12.07
80,2022-05-06 01:05:05,12.61,641.4,12.07
81,2022-05-06 02:05:08,12.56,656.9,12.07
82,2022-05-06 03:05:11,12.56,663.5,12.07
83,2022-05-06 04:05:05,12.4,675.0,12.06
84,2022-05-06 06:05:11,12.56,695.3,12.07
85,2022-05-06 07:05:05,13.2,755.2,12.07
86,2022-05-06 08:05:08,13.31,902.8,12.07
87,2022-05-06 09:05:11,13.2,925.7,12.06
88,2022-05-06 10:05:05,12.72,892.3,12.06
89,2022-05-06 11:05:08,12.49,842.4,12.06
90,2022-05-06 12:05:11,12.45,839.7,12.06
91,2022-05-06 13:05:05,12.45,855.4,12.06
92,2022-05-06 14:05:08,12.25,796.1,12.06
93,2022-05-06 15:05:11,12.36,758.0,12.06
94,2022-05-06 16:05:05,12.29,721.8,12.06
95,2022-05-06 17:05:08,12.29,677.3,12.06
96,2022-05-06 18:05:11,13.11,689.7,12.06
97,2022-05-06 19:05:05,13.26,682.2,12.06
98,2022-05-06 20:05:08,13.67,645.3,12.06
99,2022-05-06 21:05:11,13.83,634.9,12.07
100,2022-05-06 22:05:05,13.13,707.3,12.07
101,2022-05-06 23:05:08,12.88,678.8,12.06
102,2022-05-07 00:05:11,12.7,727.2,12.06
103,2022-05-07 01:05:05,12.47,737.1,12.06
104,2022-05-07 02:05:08,12.43,714.6,12.06
105,2022-05-07 03:05:11,12.29,741.8,12.06
106,2022-05-07 04:05:05,12.27,725.3,12.06
107,2022-05-07 05:05:08,12.25,736.2,12.06
108,2022-05-07 06:05:11,12.2,735.1,12.06
109,2022-05-07 07:05:05,12.54,778.5,12.06
110,2022-05-07 08:05:08,12.77,924.8,12.06
111,2022-05-07 09:05:11,12.67,932.9,12.06
112,2022-05-07 10:05:05,12.61,915.8,12.06
113,2022-05-07 11:05:08,12.47,896.9,12.06
114,2022-05-07 12:05:11,12.4,909.9,12.06
115,2022-05-07 13:05:05,12.38,1029.7,12.06
116,2022-05-07 14:05:08,12.36,1147.3,12.06
117,2022-05-07 15:05:11,12.27,916.8,12.05
118,2022-05-07 16:05:05,12.16,825.0,12.05
119,2022-05-07 17:05:08,12.06,791.1,12.05
120,2022-05-07 18:05:11,12.11,792.6,12.05
121,2022-05-07 19:05:05,12.16,804.1,12.05
122,2022-05-07 20:05:08,12.22,795.1,12.05
123,2022-05-07 21:05:11,12.38,721.1,12.05
124,2022-05-07 22:05:05,12.36,715.3,12.05
125,2022-05-07 23:05:08,12.22,763.9,12.05
126,2022-05-08 00:05:11,12.22,837.7,12.05
127,2022-05-08 01:05:05,12.02,747.8,12.05
128,2022-05-08 02:05:08,12.04,748.2,12.05
129,2022-05-08 03:05:11,11.91,754.2,12.04
130,2022-05-08 04:05:05,11.77,731.0,12.04
131,2022-05-08 05:05:08,11.5,714.7,12.04
132,2022-05-08 06:05:11,11.39,713.3,12.04
133,2022-05-08 07:05:05,11.26,733.1,12.04
134,2022-05-08 08:05:08,11.03,768.4,12.04
135,2022-05-08 09:05:11,10.94,850.7,12.03
136,2022-05-08 10:05:05,11.01,854.7,12.04
137,2022-05-08 11:05:08,10.83,861.4,12.04
138,2022-05-08 12:05:11,10.63,920.6,12.03
139,2022-05-08 13:05:05,10.56,991.8,12.03
140,2022-05-08 14:05:08,10.87,1042.7,12.03
141,2022-05-08 15:05:11,11.17,954.6,12.03
142,2022-05-08 16:05:05,11.59,748.8,12.04
143,2022-05-08 17:05:08,11.79,716.4,12.04
144,2022-05-08 18:05:11,12.02,671.5,12.04
