Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
143.6598,15.86,529.9,11.69,2023-05-23 15:50:06,11.65237,2023-05-23 15:36:18,32.071,2160.0766,2.305546194294505,2.27495668662005,2.3903662887520647,2.310737725184912,2.4994112808863287
143.7015,16.72,555.0,11.65,2023-05-23 16:50:09,11.65237,2023-05-23 16:36:18,32.022,2157.4012,2.235351619863814,2.2041440378778216,2.318165449803755,2.2403810421226296,2.4269672662658506
143.7432,17.54,564.9,11.63,2023-05-23 17:50:12,11.65237,2023-05-23 17:36:18,31.491,2128.4086,2.154486788837637,2.131814969910411,2.234591071661699,2.159222532468273,2.342139856855484
143.7848,17.99,538.6,11.63,2023-05-23 18:50:06,11.65237,2023-05-23 18:36:18,31.107,2107.4422,2.190210960859649,2.1752673049068183,2.2705883829272935,2.1948713937731212,2.380169242731948
143.8265,18.73,472.1,11.63,2023-05-23 19:50:09,11.65237,2023-05-23 19:36:18,30.937,2098.1602000000003,2.395490201396523,2.3816821251852094,2.4799340114158457,2.4002775071643603,2.5982931882805578
143.8682,17.97,459.8,11.63,2023-05-23 20:50:12,11.65237,2023-05-23 20:36:18,30.834,2092.5364,2.4147214581738337,2.407502555673578,2.4998967993284706,2.4196517514667404,2.6167931692642514
143.9098,16.6,516.6,11.62,2023-05-23 21:50:06,11.65237,2023-05-23 21:36:18,30.691000000000003,2084.7286000000004,2.186018772935381,2.188302212992709,2.266508620930006,2.1907404459939417,2.372125831709718
143.9515,16.79,482.6,11.61,2023-05-23 22:50:09,11.65237,2023-05-23 22:36:18,30.818,2091.6628,2.314566053468287,2.3121203804840693,2.398070714902626,2.3194915331349044,2.508640810260454
143.9932,16.49,491.3,11.61,2023-05-23 23:50:12,11.65237,2023-05-23 23:36:18,31.283,2117.0518,2.3403587491193587,2.3245844992040707,2.425060945385426,2.345438261051696,2.5362160140917798
144.0348,16.39,504.0,11.6,2023-05-24 00:50:06,11.65237,2023-05-24 00:36:18,31.82,2146.3720000000003,2.3649348266304178,2.3367286203829085,2.45071950694915,2.3701560563818242,2.562910509694592
144.0765,16.35,521.1,11.59,2023-05-24 01:50:09,11.65237,2023-05-24 01:36:18,32.062,2159.5852,2.33908595093656,2.306942233557996,2.42448848676996,2.3443095567299226,2.535908515460537
144.1182,16.21,537.6,11.59,2023-05-24 02:50:12,11.65237,2023-05-24 02:36:18,32.053,2159.0938,2.284260997195016,2.253327213889126,2.368447424256054,2.289403732485043,2.477661233235729
144.1598,16.09,533.1,11.59,2023-05-24 03:50:06,11.65237,2023-05-24 03:36:18,32.256,2170.1776,2.3217339451241665,2.2875872947823956,2.406973672984703,2.326972596546159,2.5172729712289574
144.2015,16.11,537.6,11.59,2023-05-24 04:50:09,11.65237,2023-05-24 04:36:18,32.268,2170.8328,2.309504921352395,2.275308191321331,2.3944626750655535,2.3147250985240655,2.5044114481319597
144.2432,16.14,592.5,11.59,2023-05-24 05:50:12,11.65237,2023-05-24 05:36:18,32.154,2164.6084,2.1384356301361955,2.1080100749729773,2.219241801726494,2.1433604383534104,2.323257734742118
144.2848,16.02,663.2,11.59,2023-05-24 06:50:06,11.65237,2023-05-24 06:36:18,31.822,2146.4812,1.927260421207599,1.9045352716772983,2.002578083784667,1.9317877699023114,2.0982678549038094
144.3265,16.02,777.7,11.59,2023-05-24 07:50:09,11.65237,2023-05-24 07:36:18,31.527,2130.3742,1.6733949839704094,1.6577164679787275,1.7416898947869026,1.677440927148177,1.826966374412758
144.3682,15.72,810.6,11.59,2023-05-24 08:50:12,11.65237,2023-05-24 08:36:18,31.46,2126.7160000000003,1.6090707251498664,1.5954457416958718,1.6756048317774181,1.6129956534794745,1.7574869721385509
144.4098,15.95,809.0,11.59,2023-05-24 09:50:06,11.65237,2023-05-24 09:36:18,31.289,2117.3794,1.5980319806352192,1.5870913057551796,1.6640671791574313,1.6019129643337664,1.7458661650284826
144.4515,15.95,726.3,11.59,2023-05-24 10:50:09,11.65237,2023-05-24 10:36:18,31.448,2126.0608,1.757460283390586,1.7427507045556827,1.8280354797697904,1.761643739445017,1.9166264151364354
144.4932,16.0,686.8,11.59,2023-05-24 11:50:12,11.65237,2023-05-24 11:36:18,31.518,2129.8828000000003,1.8437604802269212,1.8270754425245508,1.9166841918783233,1.8481018612240132,2.008897792953886
144.5348,15.77,686.9,11.59,2023-05-24 12:50:06,11.65237,2023-05-24 12:36:18,31.873,2149.2658,1.8783893360685526,1.8558717022805573,1.9525451236842088,1.8828441789336778,2.045792544743612
144.5765,15.79,622.8,11.58,2023-05-24 13:50:09,11.65237,2023-05-24 13:36:18,31.858,2148.4468,2.0224897943986466,1.9987031320918818,2.1003438062050384,2.027187684121617,2.199125245066812
144.6182,15.93,576.6,11.59,2023-05-24 14:50:12,11.65237,2023-05-24 14:36:18,32.046,2158.7116,2.1661257101533646,2.137436133142544,2.2476079625991527,2.1710867347536333,2.352031239568575
144.6598,16.02,551.9,11.59,2023-05-24 15:50:06,11.65237,2023-05-24 15:36:18,31.917,2151.6682,2.222149158116285,2.194703638713413,2.3048481491651773,2.227178557190948,2.4113665166095526
144.7015,16.02,530.4,11.59,2023-05-24 16:50:09,11.65237,2023-05-24 16:36:18,32.087,2160.9502,2.3081660123319327,2.2768856747643933,2.3930013714438862,2.313359590826891,2.502556033666004
144.7432,16.51,524.5,11.59,2023-05-24 17:50:12,11.65237,2023-05-24 17:36:18,32.111999999999995,2162.3152,2.336736967717253,2.303375593365226,2.4220577738778073,2.3419551717456186,2.5338496347217765
144.7848,17.38,515.4,11.6,2023-05-24 18:50:06,11.65237,2023-05-24 18:36:18,31.629,2135.9434,2.317577160638357,2.2907782659206366,2.4016913638149724,2.3226048634019834,2.5146896820195987
