Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out
143.6597,16.65,35.0,8.07,11.53,2023-05-23,15:50:00,2023-05-23 15:49:58,11.65237,5/23/2023 15:45,30.6,2079.76,2.1827445621124286
143.7014,17.05,35.0,8.1393,11.56,2023-05-23,16:50:00,2023-05-23 16:50:00,11.65237,5/23/2023 16:45,30.6,2079.76,2.4999479895629757
143.7431,17.31,35.0,8.1252,11.58,2023-05-23,17:50:00,2023-05-23 17:50:03,11.65237,5/23/2023 17:45,30.7,2085.22,2.4489007590182026
143.7847,17.38,35.0,8.1175,11.59,2023-05-23,18:50:00,2023-05-23 18:49:58,11.65237,5/23/2023 18:45,30.7,2085.22,2.414299016925616
143.8264,17.4,35.0,8.1621,11.59,2023-05-23,19:50:00,2023-05-23 19:50:00,11.65237,5/23/2023 19:45,30.7,2085.22,2.626669068755091
143.8681,17.5,35.0,8.1968,11.6,2023-05-23,20:50:00,2023-05-23 20:50:03,11.65237,5/23/2023 20:45,30.6,2079.76,2.790170717510888
143.9097,17.57,35.0,8.0846,11.6,2023-05-23,21:50:00,2023-05-23 21:49:58,11.65237,5/23/2023 21:45,30.5,2074.3,2.24851368067864
143.9514,17.54,35.0,8.0717,11.61,2023-05-23,22:50:00,2023-05-23 22:50:00,11.65237,5/23/2023 22:45,30.4,2068.84,2.18237911030349
143.9931,17.54,35.0,8.0459,11.61,2023-05-23,23:50:00,2023-05-23 23:50:03,11.65237,5/23/2023 23:45,30.3,2063.38,2.0651467493489943
144.0347,17.64,35.0,7.9534,11.61,2023-05-24,00:50:00,2023-05-24 00:49:58,11.65237,5/24/2023 0:45,30.3,2063.38,1.716103164473236
144.0764,17.59,35.0,7.9712,11.6,2023-05-24,01:50:00,2023-05-24 01:50:00,11.65237,5/24/2023 1:45,30.4,2068.84,1.7872577043798923
144.1181,16.56,35.0,8.1148,11.6,2023-05-24,02:50:00,2023-05-24 02:50:03,11.65237,5/24/2023 2:45,30.3,2063.38,2.3465986380160855
144.1597,16.23,35.0,8.1244,11.59,2023-05-24,03:50:00,2023-05-24 03:49:58,11.65237,5/24/2023 3:45,30.3,2063.38,2.385311743436256
144.2014,16.18,35.0,8.1014,11.58,2023-05-24,04:50:00,2023-05-24 04:50:00,11.65237,5/24/2023 4:45,30.3,2063.38,2.2815264596783433
144.2431,15.79,35.0,8.08,11.58,2023-05-24,05:50:00,2023-05-24 05:50:03,11.65237,5/24/2023 5:45,30.3,2063.38,2.1834352303551996
144.2847,15.65,35.0,8.0614,11.57,2023-05-24,06:50:00,2023-05-24 06:49:58,11.65237,5/24/2023 6:45,30.8,2090.68,2.1526234451745587
144.3264,15.44,35.0,8.0693,11.57,2023-05-24,07:50:00,2023-05-24 07:50:00,11.65237,5/24/2023 7:45,31.2,2112.52,2.2234960848325707
144.3681,15.28,35.0,8.1274,11.56,2023-05-24,08:50:00,2023-05-24 08:50:03,11.65237,5/24/2023 8:45,31.4,2123.44,2.506922915526852
144.4097,15.28,35.0,8.0484,11.56,2023-05-24,09:50:00,2023-05-24 09:49:58,11.65237,5/24/2023 9:45,31.4,2123.44,2.151428255129667
144.4514,15.35,35.0,8.0178,11.55,2023-05-24,10:50:00,2023-05-24 10:50:00,11.65237,5/24/2023 10:45,31.4,2123.44,2.0255901944225387
144.4931,15.33,35.0,7.9579,11.55,2023-05-24,11:50:00,2023-05-24 11:50:03,11.65237,5/24/2023 11:45,31.4,2123.44,1.7943544272073484
144.5347,15.51,35.0,7.8217,11.55,2023-05-24,12:50:00,2023-05-24 12:49:58,11.65237,5/24/2023 12:45,31.4,2123.44,1.349797999624271
144.6597,16.53,35.0,7.8414,11.55,2023-05-24,15:50:00,2023-05-24 15:49:58,11.65237,5/24/2023 15:45,31.4,2123.44,1.41879896330259
144.7014,16.6,35.0,8.1434,11.55,2023-05-24,16:50:00,2023-05-24 16:50:00,11.65237,5/24/2023 16:45,31.3,2117.98,2.592210196638409
144.7431,16.72,35.0,8.2132,11.55,2023-05-24,17:50:00,2023-05-24 17:50:03,11.65237,5/24/2023 17:45,31.3,2117.98,2.951168592835448
144.7847,16.84,35.0,8.1856,11.54,2023-05-24,18:50:00,2023-05-24 18:49:58,11.65237,5/24/2023 18:45,31.2,2112.52,2.7956938854560978
144.8264,16.84,35.0,8.2094,11.55,2023-05-24,19:50:00,2023-05-24 19:50:00,11.65237,5/24/2023 19:45,31.1,2107.06,2.9074959010491463
144.8681,16.65,35.0,8.2183,11.54,2023-05-24,20:50:00,2023-05-24 20:50:03,11.65237,5/24/2023 20:45,31.0,2101.6,2.938853913137479
144.9097,16.65,35.0,8.2533,11.54,2023-05-24,21:50:00,2023-05-24 21:49:58,11.65237,5/24/2023 21:45,31.0,2101.6,3.1294836053549018
144.9514,16.7,35.0,8.1103,11.53,2023-05-24,22:50:00,2023-05-24 22:50:00,11.65237,5/24/2023 22:45,30.9,2096.14,2.3928246292984103
144.9931,16.79,35.0,8.0901,11.54,2023-05-24,23:50:00,2023-05-24 23:50:03,11.65237,5/24/2023 23:45,30.5,2074.3,2.261369120381708
145.0347,16.86,35.0,8.0513,11.52,2023-05-25,00:50:00,2023-05-25 00:49:58,11.65237,5/25/2023 0:45,30.4,2068.84,2.0876080864648445
145.0764,16.96,35.0,7.9963,11.52,2023-05-25,01:50:00,2023-05-25 01:50:00,11.65237,5/25/2023 1:45,30.3,2063.38,1.8633916750358106
145.1181,17.0,35.0,8.0023,11.52,2023-05-25,02:50:00,2023-05-25 02:50:03,11.65237,5/25/2023 2:45,30.5,2074.3,1.904279385543472
145.1597,16.11,35.0,8.1539,11.51,2023-05-25,03:50:00,2023-05-25 03:49:58,11.65237,5/25/2023 3:45,30.4,2068.84,2.5323233054898697
145.2014,15.86,35.0,8.1587,11.51,2023-05-25,04:50:00,2023-05-25 04:50:00,11.65237,5/25/2023 4:45,30.5,2074.3,2.563151193497214
145.2431,15.72,35.0,8.1325,11.5,2023-05-25,05:50:00,2023-05-25 05:50:03,11.65237,5/25/2023 5:45,30.6,2079.76,2.4483771911791994
145.2847,15.79,35.0,8.0554,11.5,2023-05-25,06:50:00,2023-05-25 06:49:58,11.65237,5/25/2023 6:45,30.8,2090.68,2.1292190471178234
145.3264,15.7,35.0,8.0472,11.49,2023-05-25,07:50:00,2023-05-25 07:50:00,11.65237,5/25/2023 7:45,30.7,2085.22,2.0842855521277346
145.3681,15.6,35.0,8.0386,11.48,2023-05-25,08:50:00,2023-05-25 08:50:03,11.65237,5/25/2023 8:45,30.5,2074.3,2.0289062506538076
145.4097,15.53,35.0,8.0894,11.48,2023-05-25,09:50:00,2023-05-25 09:49:58,11.65237,5/25/2023 9:45,30.4,2068.84,2.2305550647328465
145.4514,15.46,35.0,8.0199,11.48,2023-05-25,10:50:00,2023-05-25 10:50:00,11.65237,5/25/2023 10:45,29.7,2030.62,1.8802616636998308
145.4931,15.42,35.0,7.991,11.47,2023-05-25,11:50:00,2023-05-25 11:50:03,11.65237,5/25/2023 11:45,29.7,2030.62,1.7730573857609582
145.5347,15.26,35.0,7.9286,11.47,2023-05-25,12:50:00,2023-05-25 12:49:58,11.65237,5/25/2023 12:45,29.6,2025.16,1.5498873726841371
145.5764,15.44,35.0,7.8037,11.46,2023-05-25,13:50:00,2023-05-25 13:50:00,11.65237,5/25/2023 13:45,29.3,2008.78,1.171188700057097
145.7014,16.21,35.0,8.0052,11.47,2023-05-25,16:50:00,2023-05-25 16:50:00,11.65237,5/25/2023 16:45,28.9,1986.94,1.764420579934148
145.7431,16.07,35.0,8.0813,11.46,2023-05-25,17:50:00,2023-05-25 17:50:03,11.65237,5/25/2023 17:45,29.0,1992.4,2.0617323539594192
145.7847,16.86,35.0,8.1204,11.46,2023-05-25,18:50:00,2023-05-25 18:49:58,11.65237,5/25/2023 18:45,29.3,2008.78,2.268047846870719
145.8264,16.72,35.0,8.1096,11.46,2023-05-25,19:50:00,2023-05-25 19:50:00,11.65237,5/25/2023 19:45,29.0,1992.4,2.1877575976554127
145.8681,16.89,35.0,8.1244,11.46,2023-05-25,20:50:00,2023-05-25 20:50:03,11.65237,5/25/2023 20:45,29.3,2008.78,2.285968681847846
145.9097,16.79,35.0,8.1254,11.46,2023-05-25,21:50:00,2023-05-25 21:49:58,11.65237,5/25/2023 21:45,29.5,2019.7,2.3106273625061573
145.9514,16.77,35.0,8.1826,11.45,2023-05-25,22:50:00,2023-05-25 22:50:00,11.65237,5/25/2023 22:45,29.6,2025.16,2.5860573797099655
145.9931,16.81,35.0,8.093,11.45,2023-05-25,23:50:00,2023-05-25 23:50:03,11.65237,5/25/2023 23:45,29.6,2025.16,2.1811513378974974
146.0347,16.77,35.0,8.0774,11.45,2023-05-26,00:50:00,2023-05-26 00:49:58,11.65237,5/26/2023 0:45,29.7,2030.62,2.125299890193146
146.0764,16.84,35.0,8.0237,11.44,2023-05-26,01:50:00,2023-05-26 01:50:00,11.65237,5/26/2023 1:45,29.7,2030.62,1.9120471261791376
146.1181,16.91,35.0,7.9477,11.44,2023-05-26,02:50:00,2023-05-26 02:50:03,11.65237,5/26/2023 2:45,30.2,2057.92,1.6793378379370025
146.1597,16.91,35.0,8.0004,11.44,2023-05-26,03:50:00,2023-05-26 03:49:58,11.65237,5/26/2023 3:45,30.3,2063.38,1.878204646421563
146.2014,15.97,35.0,8.0677,11.43,2023-05-26,04:50:00,2023-05-26 04:50:00,11.65237,5/26/2023 4:45,30.4,2068.84,2.143828251953132
146.2431,15.6,35.0,8.085,11.42,2023-05-26,05:50:00,2023-05-26 05:50:03,11.65237,5/26/2023 5:45,30.5,2074.3,2.222719311894861
146.2847,15.53,35.0,8.0546,11.41,2023-05-26,06:50:00,2023-05-26 06:49:58,11.65237,5/26/2023 6:45,30.6,2079.76,2.1029963534598397
146.3264,15.53,35.0,7.9989,11.41,2023-05-26,07:50:00,2023-05-26 07:50:00,11.65237,5/26/2023 7:45,30.6,2079.76,1.8817755027170395
146.3681,15.49,35.0,7.9696,11.4,2023-05-26,08:50:00,2023-05-26 08:50:03,11.65237,5/26/2023 8:45,30.6,2079.76,1.77260249362181
146.4097,15.42,35.0,7.9728,11.4,2023-05-26,09:50:00,2023-05-26 09:49:58,11.65237,5/26/2023 9:45,30.6,2079.76,1.7833978314172134
146.4514,15.42,35.0,8.0562,11.4,2023-05-26,10:50:00,2023-05-26 10:50:00,11.65237,5/26/2023 10:45,30.6,2079.76,2.1082104696848862
146.4931,15.42,35.0,7.9365,11.39,2023-05-26,11:50:00,2023-05-26 11:50:03,11.65237,5/26/2023 11:45,30.7,2085.22,1.6630187847167341
146.5347,15.56,35.0,7.9264,11.39,2023-05-26,12:50:00,2023-05-26 12:49:58,11.65237,5/26/2023 12:45,30.9,2096.14,1.6455496603545388
146.5764,15.81,35.0,7.8752,11.39,2023-05-26,13:50:00,2023-05-26 13:50:00,11.65237,5/26/2023 13:45,31.1,2107.06,1.4949233177231154
146.7014,17.76,35.0,7.7814,11.4,2023-05-26,16:50:00,2023-05-26 16:50:00,11.65237,5/26/2023 16:45,31.3,2117.98,1.254019763422304
