Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
166.6876,12.4,548.4,12.0,2018-06-15 16:30:08,11.65237,6/15/2018 16:30,30.104,2052.6784,1.9719324573519954,2.001426609648048,2.0474095319991794,1.975952685966831,2.135222923346709
166.7084,12.04,545.8,11.98,2018-06-15 17:00:05,11.65237,6/15/2018 17:00,30.077,2051.2042,1.9717882157448416,2.0027016977596412,2.0472285534009673,1.9757332592598382,2.1341906103786807
166.7293,12.13,531.0,11.97,2018-06-15 17:30:11,11.65237,6/15/2018 17:30,30.196,2057.7016,2.0277633504972683,2.0548010241498824,2.1047400202162754,2.031835167842459,2.1938871157603863
166.7501,12.22,522.8,11.96,2018-06-15 18:00:08,11.65237,6/15/2018 18:00,30.112,2053.1152,2.0422709237352077,2.07282384849595,2.1195023617510995,2.0463648242219348,2.2092540288110007
166.7709,12.67,520.4,11.96,2018-06-15 18:30:05,11.65237,6/15/2018 18:30,30.075,2051.095,2.050000091250352,2.08174180881835,2.127364411942726,2.054179827327563,2.2183830926764796
166.7918,12.65,525.7,11.96,2018-06-15 19:00:11,11.65237,6/15/2018 19:00,30.103,2052.6238,2.0377945362178647,2.0681886994719467,2.114896022812816,2.0419584588871103,2.2054932480640432
166.8126,12.74,519.7,11.96,2018-06-15 19:30:08,11.65237,6/15/2018 19:30,30.082,2051.4772,2.0536948127750163,2.085129349557484,2.131154747490876,2.0578932773831546,2.2224660303552866
166.8334,12.86,510.0,11.96,2018-06-15 20:00:05,11.65237,6/15/2018 20:00,30.104,2052.6784,2.086468972686907,2.1173990947967836,2.1647438802479075,2.0907407275330905,2.25743515801826
166.8543,12.79,508.7,11.96,2018-06-15 20:30:11,11.65237,6/15/2018 20:30,30.061,2050.3306,2.084332526556611,2.117131830089288,2.162505596292932,2.0885805209012753,2.2549160135539914
166.8751,12.74,506.9,11.96,2018-06-15 21:00:08,11.65237,6/15/2018 21:00,30.136,2054.4256,2.098291353985591,2.1282177452167668,2.1768976653499683,2.1025681596439827,2.269723181115971
