Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
137.6701,16.23,35.0,7.9753,11.5,2022-05-17,16:05:00,2022-05-17 16:04:56,11.65237,5/17/2022 16:00,29.2,2003.32,1.6851370767784466,1.6871021034786537,1.7303119472204993,1.6876637810753963,1.8313279908117477
137.7118,16.44,35.0,7.9954,11.61,2022-05-17,17:04:59,2022-05-17 17:04:59,11.65237,5/17/2022 17:00,29.0,1992.4,1.7410064470462385,1.7532367770778148,1.7871646787391415,1.7434701555205712,1.8915566655653548
137.7535,16.56,35.0,7.999,11.66,2022-05-17,18:04:59,2022-05-17 18:05:02,11.65237,5/17/2022 18:00,29.3,2008.78,1.7811842109786018,1.7785482153698313,1.8282208625776633,1.7838625160045705,1.9350997624510944
137.7951,16.37,35.0,8.0095,11.69,2022-05-17,19:04:59,2022-05-17 19:04:56,11.65237,5/17/2022 19:00,30.2,2057.92,1.8970230749601744,1.8568275319587677,1.9467626778071407,1.9003895012786154,2.059392765920434
137.9201,18.14,35.0,7.9473,11.74,2022-05-17,22:04:59,2022-05-17 22:04:56,11.65237,5/17/2022 22:00,30.5,2074.3,1.7170769639162051,1.6663925217213087,1.7625047596076262,1.720218119883648,1.8688231911925832
137.9618,18.85,35.0,7.8194,11.76,2022-05-17,23:04:59,2022-05-17 23:04:59,11.65237,5/17/2022 23:00,30.8,2090.68,1.340996753998792,1.291505360411523,1.3783198888470964,1.3436645280976083,1.463730757300596
138.0035,19.07,35.0,7.6552,11.77,2022-05-18,00:04:59,2022-05-18 00:05:02,11.65237,5/18/2022 0:00,31.0,2101.6,0.9492722289928769,0.9090751838131592,0.9779601940565354,0.9514004933233785,1.0386741231685075
138.0451,17.99,35.0,7.8584,11.78,2022-05-18,01:04:59,2022-05-18 01:04:56,11.65237,5/18/2022 1:00,31.1,2107.06,1.4667534861026454,1.4096184268146528,1.507252968291932,1.4698484584223463,1.598490502857275
138.0868,16.7,35.0,7.9779,11.77,2022-05-18,02:04:59,2022-05-18 02:04:59,11.65237,5/18/2022 2:00,31.0,2101.6,1.851579620099505,1.7879889818675254,1.9005232594686283,1.8553311204213927,2.0110038278180684
138.1285,16.39,35.0,7.9926,11.76,2022-05-18,03:04:59,2022-05-18 03:05:02,11.65237,5/18/2022 3:00,30.9,2096.14,1.8947108774848647,1.8331456388660028,1.9446115106522364,1.8984872443946115,2.056811387178656
138.1701,16.23,35.0,7.9815,11.76,2022-05-18,04:04:59,2022-05-18 04:04:56,11.65237,5/18/2022 4:00,30.7,2085.22,1.8335901617875565,1.7791100033825218,1.8822678494488998,1.837165645651436,1.991024054144614
138.2118,15.72,35.0,7.9783,11.76,2022-05-18,05:04:59,2022-05-18 05:04:59,11.65237,5/18/2022 5:00,30.5,2074.3,1.7986006391773772,1.7514756859129594,1.8466812821561063,1.8020207625715206,1.9526410685722428
138.2535,14.96,35.0,7.9825,11.75,2022-05-18,06:04:59,2022-05-18 06:05:02,11.65237,5/18/2022 6:00,30.0,2047.0,1.7626040573460586,1.7335251325356524,1.8099970561712093,1.765677607766042,1.912705086077409
138.2951,14.41,35.0,7.9788,11.74,2022-05-18,07:04:59,2022-05-18 07:04:56,11.65237,5/18/2022 7:00,30.1,2052.46,1.7514662732578723,1.7197186300446123,1.79877654395098,1.7545537957589565,1.8997687298816721
138.3368,14.43,35.0,7.9727,11.74,2022-05-18,08:04:59,2022-05-18 08:04:59,11.65237,5/18/2022 8:00,30.1,2052.46,1.729937566202926,1.6983693440664314,1.7768015753552042,1.7329966718145733,1.8766907424584587
138.3785,14.93,35.0,7.9452,11.74,2022-05-18,09:04:59,2022-05-18 09:05:02,11.65237,5/18/2022 9:00,30.0,2047.0,1.6321414523066942,1.604166731557019,1.6768532495448532,1.6350368649106275,1.7724622830455994
138.4201,15.28,35.0,7.8813,11.74,2022-05-18,10:04:59,2022-05-18 10:04:56,11.65237,5/18/2022 10:00,30.2,2057.92,1.445095844449932,1.412697055006086,1.4858597324575193,1.4478398505005217,1.5715299294086627
138.4618,15.35,35.0,7.7523,11.74,2022-05-18,11:04:59,2022-05-18 11:04:59,11.65237,5/18/2022 11:00,30.6,2079.76,1.1152504801051693,1.0797422160181733,1.14893883081909,1.1176597690963035,1.2147700065207974
138.5035,15.77,35.0,7.5708,11.74,2022-05-18,12:04:59,2022-05-18 12:05:02,11.65237,5/18/2022 12:00,30.8,2090.68,0.7502049934575931,0.7208231996037471,0.7754417249312685,0.7520634081704064,0.8182934164553485
138.6285,14.24,35.0,7.9836,11.75,2022-05-18,15:04:59,2022-05-18 15:05:02,11.65237,5/18/2022 15:00,29.6,2025.16,1.7246071066652373,1.7120247855340351,1.7712253188338862,1.727364018839473,1.8705606009695648
138.6701,14.41,35.0,8.0097,11.74,2022-05-18,16:04:59,2022-05-18 16:04:56,11.65237,5/18/2022 16:00,29.2,2003.32,1.7855427736107286,1.7913558106447587,1.8332289730492453,1.7881507664492353,1.9360687727545174
138.7118,14.5,35.0,8.0219,11.73,2022-05-18,17:04:59,2022-05-18 17:04:59,11.65237,5/18/2022 17:00,30.7,2085.22,1.9673060761707495,1.9130727069248643,2.019157251596436,1.9710601643823578,2.131206810851512
138.7535,15.19,35.0,8.0666,11.73,2022-05-18,18:04:59,2022-05-18 18:05:02,11.65237,5/18/2022 18:00,30.0,2047.0,2.0894483677765465,2.0574655332917606,2.1432853082133443,2.0929565239848893,2.263214924652469
138.7951,15.05,35.0,8.0523,11.73,2022-05-18,19:04:59,2022-05-18 19:04:56,11.65237,5/18/2022 19:00,30.0,2047.0,2.0294889147747868,1.9982072381839617,2.0821974158951284,2.0329168877255475,2.198844101922763
138.8368,15.09,35.0,8.0536,11.73,2022-05-18,20:04:59,2022-05-18 20:04:59,11.65237,5/18/2022 20:00,29.9,2041.54,2.0256110926844646,1.998516168818275,2.0781953585077306,2.0289709485209584,2.1947465632639105
138.8785,15.49,35.0,8.0521,11.73,2022-05-18,21:04:59,2022-05-18 21:05:02,11.65237,5/18/2022 21:00,29.8,2036.08,2.0150799922860445,1.9916804671453587,2.067303871660591,2.018367960120236,2.184198123015359
