Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
220.625,23.19,35.0,7.8263,10.8,2019-08-08,15:00:00,2019-08-08 15:00:00,11.65237,2019-08-08 15:01:00,30.739,2087.3494,1.4099262225639448,1.3459518005397677,1.4451071077192388,1.4116247340641617,1.5424644580741491
220.6667,23.65,35.0,7.7761,10.81,2019-08-08,15:59:59,2019-08-08 16:00:02,11.65237,2019-08-08 16:01:00,30.161,2055.7906000000003,1.2409760503522789,1.1940367564997316,1.2719829710226658,1.2421371039743185,1.3595022794768994
220.7083,24.5,35.0,7.8447,10.82,2019-08-08,16:59:59,2019-08-08 16:59:57,11.65237,2019-08-08 17:01:00,29.506,2020.0276,1.3994714304575027,1.3628020356805919,1.4327567169854447,1.400128379352756,1.531890402118214
220.75,25.6,35.0,7.9054,10.83,2019-08-08,17:59:59,2019-08-08 18:00:00,11.65237,2019-08-08 18:01:00,29.057,1995.5122,1.5670451331197948,1.5387553418838145,1.602345739135603,1.567047448423926,1.7137863967499205
220.7917,26.43,35.0,7.8768,10.84,2019-08-08,18:59:59,2019-08-08 19:00:02,11.65237,2019-08-08 19:01:00,30.284,2062.5064,1.5788936589398972,1.500421082909978,1.61340682501433,1.5790945738363835,1.7274574588781288
220.8333,26.53,35.0,7.8856,10.85,2019-08-08,19:59:59,2019-08-08 19:59:57,11.65237,2019-08-08 20:01:00,30.456,2071.8976,1.6214547152953085,1.5356551681548551,1.6567053176355038,1.6216976515616606,1.773595992563419
220.875,22.91,35.0,7.8775,10.84,2019-08-08,20:59:59,2019-08-08 21:00:00,11.65237,2019-08-08 21:01:00,30.697,2085.0562,1.5603243550412147,1.4924567484700677,1.59891711280434,1.5622395443736683,1.7050885402742735
220.9167,23.63,35.0,7.8936,10.83,2019-08-08,21:59:59,2019-08-08 22:00:02,11.65237,2019-08-08 22:01:00,30.954,2099.0884,1.6418971913030713,1.561480314178951,1.6814070636117635,1.6437458446179036,1.7937882925754547
220.9583,22.16,35.0,7.9687,10.82,2019-08-08,22:59:59,2019-08-08 22:59:57,11.65237,2019-08-08 23:01:00,31.376,2122.1296,1.9235321120991091,1.8298682685721965,1.97025252955447,1.9264526890074132,2.095838310263746
221.0,22.23,35.0,7.9255,10.81,2019-08-08,23:59:59,2019-08-09 00:00:00,11.65237,2019-08-09 00:01:00,31.403,2123.6038,1.7667014189565802,1.6790752350517095,1.8102642389684018,1.7694276671587865,1.9269858123557062
