Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
135.7605,10.32,392.7,12.02,2019-05-15 18:15:07,11.65237,5/15/2019 18:15,29.04,1994.584,2.332068411754793,2.4314178224663663,2.4142669356084445,2.3357871552377243,2.5065862915551036
135.7814,10.16,394.8,12.02,2019-05-15 18:45:12,11.65237,5/15/2019 18:45,29.14,2000.044,2.3351486874742253,2.4277650981311307,2.4175634429021833,2.3388441421491315,2.5097119706507076
135.8022,10.2,401.7,12.0,2019-05-15 19:15:10,11.65237,5/15/2019 19:15,29.2,2003.32,2.315654488681494,2.4034336990237537,2.397753670277496,2.319357315698852,2.489577426799493
135.823,10.4,410.6,12.01,2019-05-15 19:45:07,11.65237,5/15/2019 19:45,28.24,1950.904,2.1561434277235305,2.308218067972155,2.233047213013144,2.1594613064865484,2.3194872047976838
135.8439,10.4,409.4,12.01,2019-05-15 20:15:12,11.65237,5/15/2019 20:15,28.09,1942.714,2.141106170959022,2.3054113466911548,2.217392609082152,2.1443637442640835,2.3031584734898107
135.8647,10.43,408.8,12.01,2019-05-15 20:45:10,11.65237,5/15/2019 20:45,28.11,1943.806,2.146284543740416,2.3091712753638616,2.2227286210408725,2.149563031688005,2.3087442617341782
135.8855,10.45,408.9,12.01,2019-05-15 21:15:07,11.65237,5/15/2019 21:15,28.04,1939.984,2.1370354925070245,2.305601521442171,2.213142695568141,2.14028933478942,2.298826291227145
135.9064,10.45,404.4,12.01,2019-05-15 21:45:12,11.65237,5/15/2019 21:45,28.14,1945.444,2.1670167562799674,2.3287918749884224,2.2439826751359653,2.1703334681376467,2.330674838263814
135.9272,10.43,399.0,12.01,2019-05-15 22:15:10,11.65237,5/15/2019 22:15,28.21,1949.266,2.1967647720853374,2.3544830077644527,2.274519277056048,2.200129076240673,2.36210475782954
135.948,10.36,399.0,12.02,2019-05-15 22:45:07,11.65237,5/15/2019 22:45,28.42,1960.732,2.2238014281113085,2.3651619227012586,2.3025351377165135,2.2272349366741357,2.391047361457462
135.9689,10.27,395.6,12.02,2019-05-15 23:15:12,11.65237,5/15/2019 23:15,28.63,1972.198,2.2642995371499337,2.3909921397490344,2.344292932741467,2.26780956129602,2.4340274920635707
135.9897,10.27,395.8,12.02,2019-05-15 23:45:10,11.65237,5/15/2019 23:45,28.59,1970.014,2.2581350628716867,2.3876682192144307,2.3379211115347127,2.2616267481235752,2.427424394904627
136.0105,10.25,394.3,12.02,2019-05-16 00:15:07,11.65237,5/16/2019 0:15,28.63,1972.198,2.2692945315183346,2.396284738235018,2.3493939593178514,2.272803564471025,2.439212916786648
136.0314,10.25,399.0,12.02,2019-05-16 00:45:12,11.65237,5/16/2019 0:45,28.64,1972.744,2.25185361157476,2.377039785839825,2.3315901600077376,2.2553458060785894,2.420956865438612
136.0522,10.25,396.1,12.02,2019-05-16 01:15:10,11.65237,5/16/2019 1:15,28.71,1976.566,2.272802436353725,2.3936946115882494,2.353123055088328,2.2763381120906607,2.443166461629669
136.073,10.23,384.1,12.02,2019-05-16 01:45:07,11.65237,5/16/2019 1:45,28.81,1982.026,2.335502737049877,2.452028831994408,2.417354023836496,2.339130587294728,2.5091667042720713
136.0939,10.2,356.7,12.02,2019-05-16 02:15:12,11.65237,5/16/2019 2:15,28.84,1983.664,2.4609514779915793,2.581562967736796,2.5454699468245203,2.464715013196708,2.640423698389914
136.1147,10.11,397.3,12.02,2019-05-16 02:45:10,11.65237,5/16/2019 2:45,28.94,1989.124,2.2973087820615006,2.402295463032665,2.378550196870898,2.3008890559124526,2.469263682628291
136.1355,10.14,401.0,12.02,2019-05-16 03:15:07,11.65237,5/16/2019 3:15,28.98,1991.308,2.28816875973825,2.389853787542455,2.369284676273903,2.291759869319492,2.4598912867156804
136.1564,10.2,394.2,12.02,2019-05-16 03:45:12,11.65237,5/16/2019 3:45,29.01,1992.946,2.320427593822038,2.4214368441502203,2.4023059320101274,2.324084302460756,2.493967533294939
136.1772,10.18,387.3,12.02,2019-05-16 04:15:10,11.65237,5/16/2019 4:15,28.94,1989.124,2.33925587943212,2.4462089204154136,2.421413546779854,2.3429076462250524,2.5134083311489874
136.198,10.23,393.3,12.02,2019-05-16 04:45:07,11.65237,5/16/2019 4:45,28.98,1991.308,2.3203987061485565,2.423537140198759,2.402228391654947,2.3240572714729084,2.4939181119564906
136.2189,10.2,384.2,12.02,2019-05-16 05:15:12,11.65237,5/16/2019 5:15,29.02,1993.492,2.363538030123708,2.465779289688939,2.446358653264841,2.3672464217798725,2.5391630014626467
136.2397,10.16,384.7,12.02,2019-05-16 05:45:10,11.65237,5/16/2019 5:45,28.96,1990.216,2.352707706195342,2.4588356220755148,2.4351854865538196,2.3563733138938763,2.5275112622619487
136.2605,10.16,316.7,12.02,2019-05-16 06:15:07,11.65237,5/16/2019 6:15,28.96,1990.216,2.6813717994177306,2.802885328218062,2.7704190665521247,2.685385963956423,2.870589624066789
136.2814,10.16,325.9,12.02,2019-05-16 06:45:12,11.65237,5/16/2019 6:45,28.98,1991.308,2.6344976109627947,2.752178463065109,2.7227006417361106,2.6384706652335015,2.8218700825546925
136.3022,10.23,373.3,12.02,2019-05-16 07:15:10,11.65237,5/16/2019 7:15,28.61,1971.106,2.354201423117864,2.4877930937952395,2.436078792187901,2.3577918949868666,2.5280361442442376
136.323,10.38,407.3,12.02,2019-05-16 07:45:07,11.65237,5/16/2019 7:45,27.03,1884.838,2.0125059867643036,2.276924159506511,2.083791600297183,2.015298905205083,2.163949921014579
136.3439,10.4,415.5,12.02,2019-05-16 08:15:12,11.65237,5/16/2019 8:15,26.74,1869.004,1.947720467997996,2.240371552273547,2.0169291606368995,1.950362089199041,2.0947027064713564
136.3647,10.43,411.9,12.02,2019-05-16 08:45:10,11.65237,5/16/2019 8:45,26.85,1875.01,1.9741751827104854,2.2562319734360137,2.0442224872910666,1.9768870556112363,2.123042032333171
136.3855,10.38,325.7,12.02,2019-05-16 09:15:07,11.65237,5/16/2019 9:15,27.18,1893.028,2.3745863823011546,2.6664380695902166,2.4538655813635066,2.377784711466526,2.5438228948193125
136.4064,10.36,300.9,12.02,2019-05-16 09:45:12,11.65237,5/16/2019 9:45,27.48,1909.408,2.5481618261324126,2.8190296884914385,2.631473135239826,2.5516195205749153,2.7260685990193507
136.4272,10.34,350.2,12.02,2019-05-16 10:15:10,11.65237,5/16/2019 10:15,27.74,1923.604,2.3373190329251643,2.554421295520155,2.4171030687065884,2.340658150287141,2.5072647026147483
136.448,10.32,380.8,12.02,2019-05-16 10:45:07,11.65237,5/16/2019 10:45,27.82,1927.972,2.2159999960852406,2.413058929508518,2.293396002917139,2.2192329831598854,2.380534836376422
136.4689,10.25,390.1,12.02,2019-05-16 11:15:12,11.65237,5/16/2019 11:15,28.04,1939.984,2.207157297717457,2.381494695574679,2.28478888966418,2.210425251349284,2.3719261525087214
136.4897,10.25,393.2,12.02,2019-05-16 11:45:10,11.65237,5/16/2019 11:45,28.17,1947.082,2.2121616055681925,2.374711927907378,2.2901539569573544,2.2154737075300304,2.3776561828463287
136.5105,10.27,396.7,12.02,2019-05-16 12:15:07,11.65237,5/16/2019 12:15,28.17,1947.082,2.1986160376559916,2.360131169332669,2.276313878111069,2.2019197696012065,2.363496784293988
136.5314,10.29,401.4,12.02,2019-05-16 12:45:12,11.65237,5/16/2019 12:45,28.24,1950.904,2.189836591511774,2.344406365685631,2.2674758856277544,2.1931575201848967,2.3545870870811383
136.5522,10.32,415.6,12.03,2019-05-16 13:15:10,11.65237,5/16/2019 13:15,28.54,1967.284,2.175676236437731,2.3041896839686458,2.253552235842003,2.1790760108769756,2.3408357739622088
136.573,10.49,412.1,12.02,2019-05-16 13:45:07,11.65237,5/16/2019 13:45,28.63,1972.198,2.202520113724525,2.3255359455210027,2.28117957867987,2.2060296550015215,2.36976390077642
136.5939,10.32,388.8,12.02,2019-05-16 14:15:12,11.65237,5/16/2019 14:15,28.75,1978.75,2.308759776252848,2.428478155604402,2.3899412368441686,2.3123706224935883,2.481180472596425
136.6147,10.32,379.3,12.02,2019-05-16 14:45:10,11.65237,5/16/2019 14:45,28.77,1979.842,2.3514566398215977,2.4718952037877755,2.4335865803425745,2.3551210989172127,2.5259748515019647
136.6355,10.4,381.6,12.02,2019-05-16 15:15:07,11.65237,5/16/2019 15:15,28.88,1985.848,2.3577093339584447,2.469937747906026,2.440182781059842,2.3614389144724237,2.5331194574617255
