Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
127.5406,12.58,35.0,7.8887,11.68,2021-05-07,12:58:31,2021-05-07 12:58:27,11.65237,5/7/2021 13:00,30.2,2057.92,1.4407788674171105,1.4107244137848458,1.4816840521295167,1.443273420208222,1.5622982735649869
128.2906,13.56,35.0,8.3966,11.69,2021-05-08,06:58:31,2021-05-08 06:58:27,11.65237,5/8/2021 7:00,29.9,2041.54,3.754407314574106,3.7282281847058316,3.8358663919267553,3.7594791697934204,4.016257500092041
128.3323,13.72,35.0,8.4077,11.69,2021-05-08,07:58:31,2021-05-08 07:58:30,11.65237,5/8/2021 8:00,30.2,2057.92,3.876245259211132,3.8264295957172956,3.959494943758953,3.881756825048352,4.14419983135257
128.374,13.97,35.0,8.1964,11.69,2021-05-08,08:58:31,2021-05-08 08:58:33,11.65237,5/8/2021 9:00,30.4,2068.84,2.708715505447993,2.6550592695151534,2.7744465157090303,2.7132234212533937,2.9193793451899035
128.4156,13.49,35.0,8.0396,11.69,2021-05-08,09:58:31,2021-05-08 09:58:27,11.65237,5/8/2021 10:00,30.5,2074.3,2.0070287049031084,1.9597451210800434,2.0597828302300347,2.0106277653078504,2.171726121420878
131.4156,13.17,35.0,8.1429,11.47,2021-05-11,09:58:31,2021-05-11 09:58:27,11.65237,5/11/2021 10:00,29.6,2025.16,2.3498691217991072,2.3405233407278327,2.408920599363988,2.3532477322034895,2.5363493181853776
131.999,15.23,35.0,7.9609,11.47,2021-05-11,23:58:31,2021-05-11 23:58:33,11.65237,5/11/2021 23:45,30.0,2047.0,1.6893223177458143,1.660458724449821,1.7351490077976144,1.692304813863351,1.8344514836336168
132.2906,13.51,35.0,8.1061,11.43,2021-05-12,06:58:31,2021-05-12 06:58:27,11.65237,5/12/2021 7:00,29.2,2003.32,2.151280305087285,2.163054369226298,2.2063448301462754,2.1542049356038664,2.3253601141065876
132.4156,13.29,35.0,7.7857,11.41,2021-05-12,09:58:31,2021-05-12 09:58:27,11.65237,5/12/2021 10:00,28.7,1976.02,1.072827902581168,1.0871987393052818,1.1051775856846373,1.0742959139292598,1.16591005349012
132.749,13.83,35.0,8.1729,11.4,2021-05-12,17:58:31,2021-05-12 17:58:33,11.65237,5/12/2021 18:00,28.4,1959.64,2.3573007540300517,2.4331054363990696,2.415747951400352,2.3598673070256058,2.544229465670079
132.7906,14.18,35.0,8.1328,11.4,2021-05-12,18:58:31,2021-05-12 18:58:27,11.65237,5/12/2021 19:00,28.3,1954.18,2.176838288271137,2.253132393661973,2.2318192279021742,2.1792156523142014,2.352845768386339
132.8323,14.29,35.0,8.0423,11.4,2021-05-12,19:58:31,2021-05-12 19:58:30,11.65237,5/12/2021 20:00,28.4,1959.64,1.831390458285664,1.885539991280421,1.8796889237371122,1.8335484591201794,1.9842703247694382
132.874,14.52,35.0,8.2456,11.4,2021-05-12,20:58:31,2021-05-12 20:58:33,11.65237,5/12/2021 21:00,28.6,1970.56,2.7353172395854854,2.805679048463833,2.8003272248210673,2.7384070481541127,2.9467062213103423
132.9573,15.28,35.0,7.9601,11.41,2021-05-12,22:58:31,2021-05-12 22:58:30,11.65237,5/12/2021 23:00,28.6,1970.56,1.5746584112434348,1.6064563006645949,1.617604938937495,1.5767380200464562,1.7106036402885862
132.999,15.4,35.0,7.8774,11.41,2021-05-12,23:58:31,2021-05-12 23:58:33,11.65237,5/12/2021 23:45,28.5,1965.1,1.3178188158681488,1.3465838083455912,1.3552931647783817,1.3196001735292506,1.433888667514318
133.0406,14.06,35.0,7.985,11.4,2021-05-13,00:58:31,2021-05-13 00:58:27,11.65237,5/13/2021 1:00,28.7,1976.02,1.6522453147579348,1.6821156736057663,1.6970614873845793,1.6543947983081162,1.7920546835781004
