Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out
166.6876,12.4,548.4,12.0,2018-06-15 16:30:08,11.65237,6/15/2018 16:30,30.104,2052.6784,1.9719324573519954
166.7084,12.04,545.8,11.98,2018-06-15 17:00:05,11.65237,6/15/2018 17:00,30.077,2051.2042,1.9717882157448416
166.7293,12.13,531.0,11.97,2018-06-15 17:30:11,11.65237,6/15/2018 17:30,30.196,2057.7016,2.0277633504972683
166.7501,12.22,522.8,11.96,2018-06-15 18:00:08,11.65237,6/15/2018 18:00,30.112,2053.1152,2.0422709237352077
166.7709,12.67,520.4,11.96,2018-06-15 18:30:05,11.65237,6/15/2018 18:30,30.075,2051.095,2.050000091250352
166.7918,12.65,525.7,11.96,2018-06-15 19:00:11,11.65237,6/15/2018 19:00,30.103,2052.6238,2.0377945362178647
166.8126,12.74,519.7,11.96,2018-06-15 19:30:08,11.65237,6/15/2018 19:30,30.082,2051.4772,2.0536948127750163
166.8334,12.86,510.0,11.96,2018-06-15 20:00:05,11.65237,6/15/2018 20:00,30.104,2052.6784,2.086468972686907
166.8543,12.79,508.7,11.96,2018-06-15 20:30:11,11.65237,6/15/2018 20:30,30.061,2050.3306,2.084332526556611
166.8751,12.74,506.9,11.96,2018-06-15 21:00:08,11.65237,6/15/2018 21:00,30.136,2054.4256,2.098291353985591
166.8959,12.77,507.1,11.96,2018-06-15 21:30:05,11.65237,6/15/2018 21:30,30.115,2053.279,2.0954846798031674
166.9168,12.65,506.0,11.96,2018-06-15 22:00:11,11.65237,6/15/2018 22:00,30.079,2051.3134,2.093020186830895
166.9376,13.26,516.8,11.96,2018-06-15 22:30:08,11.65237,6/15/2018 22:30,30.08,2051.368,2.068106572946643
166.9584,12.58,492.4,11.96,2018-06-15 23:00:05,11.65237,6/15/2018 23:00,30.098,2052.3508,2.1365981892516985
166.9793,12.11,499.5,11.96,2018-06-15 23:30:11,11.65237,6/15/2018 23:30,30.103,2052.6238,2.1095222519566863
167.0001,12.83,500.7,11.95,2018-06-16 00:00:08,11.65237,6/16/2018 0:00,30.104,2052.6784,2.1144166374530564
167.0209,12.61,507.0,11.96,2018-06-16 00:30:05,11.65237,6/16/2018 0:30,30.046,2049.5116,2.0855128066073325
167.0418,12.4,503.4,11.96,2018-06-16 01:00:11,11.65237,6/16/2018 1:00,30.113,2053.1698,2.102143112812969
167.0626,13.01,511.8,11.96,2018-06-16 01:30:08,11.65237,6/16/2018 1:30,30.035,2048.911,2.0745121624829204
167.0834,12.29,509.3,11.96,2018-06-16 02:00:05,11.65237,6/16/2018 2:00,30.068,2050.7128,2.0775285073958267
167.1043,12.13,510.4,11.96,2018-06-16 02:30:11,11.65237,6/16/2018 2:30,30.084,2051.5864,2.074325186877134
167.1251,12.04,511.3,11.96,2018-06-16 03:00:08,11.65237,6/16/2018 3:00,30.102,2052.5692,2.0727808244006867
167.1459,12.02,512.7,11.95,2018-06-16 03:30:05,11.65237,6/16/2018 3:30,30.086,2051.6956,2.0664538662558773
167.1668,12.25,515.8,11.96,2018-06-16 04:00:11,11.65237,6/16/2018 4:00,30.094,2052.1324,2.060885780767805
167.1876,12.22,514.8,11.96,2018-06-16 04:30:08,11.65237,6/16/2018 4:30,30.101,2052.5146,2.064333814149085
167.2084,12.02,514.0,11.96,2018-06-16 05:00:05,11.65237,6/16/2018 5:00,30.086,2051.6956,2.062601374634262
167.2293,12.06,513.6,11.95,2018-06-16 05:30:11,11.65237,6/16/2018 5:30,30.119,2053.4974,2.0682201244913276
167.2501,12.18,517.1,11.95,2018-06-16 06:00:08,11.65237,6/16/2018 6:00,30.106,2052.7876,2.0577006603443864
167.2709,12.29,517.6,11.96,2018-06-16 06:30:05,11.65237,6/16/2018 6:30,30.032,2048.7472,2.0486191681794264
167.2918,12.27,521.5,11.96,2018-06-16 07:00:11,11.65237,6/16/2018 7:00,30.058,2050.1668,2.040156001023888
167.3126,12.38,521.4,11.96,2018-06-16 07:30:08,11.65237,6/16/2018 7:30,30.091,2051.9686,2.0456509795111373
167.3334,12.4,523.6,11.96,2018-06-16 08:00:05,11.65237,6/16/2018 8:00,30.08,2051.368,2.0382072833516345
167.3543,12.25,525.0,11.96,2018-06-16 08:30:11,11.65237,6/16/2018 8:30,30.031,2048.6926,2.0266368663861556
167.3751,12.58,534.9,11.96,2018-06-16 09:00:08,11.65237,6/16/2018 9:00,30.025,2048.365,2.0017366593135124
167.3959,12.31,532.5,11.96,2018-06-16 09:30:05,11.65237,6/16/2018 9:30,30.127,2053.9342,2.0174034347990215
167.4168,12.56,543.3,11.96,2018-06-16 10:00:11,11.65237,6/16/2018 10:00,30.056,2050.0576,1.9819821895339682
167.4376,12.61,547.2,11.96,2018-06-16 10:30:08,11.65237,6/16/2018 10:30,30.067,2050.6582,1.9732479039205395
167.4584,13.01,553.8,11.96,2018-06-16 11:00:05,11.65237,6/16/2018 11:00,30.069,2050.7674,1.9603720773129152
167.4793,12.61,540.1,11.96,2018-06-16 11:30:11,11.65237,6/16/2018 11:30,30.091,2051.9686,1.9954165934536474
167.5001,12.54,529.0,11.96,2018-06-16 12:00:08,11.65237,6/16/2018 12:00,30.096,2052.2416,2.0262672723485635
167.5209,12.79,541.3,11.96,2018-06-16 12:30:05,11.65237,6/16/2018 12:30,30.038,2049.0748,1.9879786373385102
167.5418,12.56,523.6,11.96,2018-06-16 13:00:11,11.65237,6/16/2018 13:00,29.931,2043.2326,2.0223131517323227
167.5626,12.29,523.1,11.96,2018-06-16 13:30:08,11.65237,6/16/2018 13:30,29.995,2046.727,2.028260305945398
167.5834,12.56,524.6,11.96,2018-06-16 14:00:05,11.65237,6/16/2018 14:00,29.953,2044.4338,2.0220661135517175
167.6043,12.49,519.9,11.96,2018-06-16 14:30:11,11.65237,6/16/2018 14:30,30.023,2048.2558,2.0431437258697804
167.6251,12.88,523.8,11.96,2018-06-16 15:00:08,11.65237,6/16/2018 15:00,30.055,2050.003,2.040218323748145
167.6459,12.22,516.3,11.96,2018-06-16 15:30:05,11.65237,6/16/2018 15:30,30.089,2051.8594,2.0584680330652274
167.6668,12.22,513.8,11.96,2018-06-16 16:00:11,11.65237,6/16/2018 16:00,30.084,2051.5864,2.0652442864739835
