Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out
135.7605,10.32,392.7,12.02,2019-05-15 18:15:07,11.65237,5/15/2019 18:15,29.04,1994.584,2.332068411754793
135.7814,10.16,394.8,12.02,2019-05-15 18:45:12,11.65237,5/15/2019 18:45,29.14,2000.044,2.3351486874742253
135.8022,10.2,401.7,12.0,2019-05-15 19:15:10,11.65237,5/15/2019 19:15,29.2,2003.32,2.315654488681494
135.823,10.4,410.6,12.01,2019-05-15 19:45:07,11.65237,5/15/2019 19:45,28.24,1950.904,2.1561434277235305
135.8439,10.4,409.4,12.01,2019-05-15 20:15:12,11.65237,5/15/2019 20:15,28.09,1942.714,2.141106170959022
135.8647,10.43,408.8,12.01,2019-05-15 20:45:10,11.65237,5/15/2019 20:45,28.11,1943.806,2.146284543740416
135.8855,10.45,408.9,12.01,2019-05-15 21:15:07,11.65237,5/15/2019 21:15,28.04,1939.984,2.1370354925070245
135.9064,10.45,404.4,12.01,2019-05-15 21:45:12,11.65237,5/15/2019 21:45,28.14,1945.444,2.1670167562799674
135.9272,10.43,399.0,12.01,2019-05-15 22:15:10,11.65237,5/15/2019 22:15,28.21,1949.266,2.1967647720853374
135.948,10.36,399.0,12.02,2019-05-15 22:45:07,11.65237,5/15/2019 22:45,28.42,1960.732,2.2238014281113085
135.9689,10.27,395.6,12.02,2019-05-15 23:15:12,11.65237,5/15/2019 23:15,28.63,1972.198,2.2642995371499337
135.9897,10.27,395.8,12.02,2019-05-15 23:45:10,11.65237,5/15/2019 23:45,28.59,1970.014,2.2581350628716867
136.0105,10.25,394.3,12.02,2019-05-16 00:15:07,11.65237,5/16/2019 0:15,28.63,1972.198,2.2692945315183346
136.0314,10.25,399.0,12.02,2019-05-16 00:45:12,11.65237,5/16/2019 0:45,28.64,1972.744,2.25185361157476
136.0522,10.25,396.1,12.02,2019-05-16 01:15:10,11.65237,5/16/2019 1:15,28.71,1976.566,2.272802436353725
136.073,10.23,384.1,12.02,2019-05-16 01:45:07,11.65237,5/16/2019 1:45,28.81,1982.026,2.335502737049877
136.0939,10.2,356.7,12.02,2019-05-16 02:15:12,11.65237,5/16/2019 2:15,28.84,1983.664,2.4609514779915793
136.1147,10.11,397.3,12.02,2019-05-16 02:45:10,11.65237,5/16/2019 2:45,28.94,1989.124,2.2973087820615006
136.1355,10.14,401.0,12.02,2019-05-16 03:15:07,11.65237,5/16/2019 3:15,28.98,1991.308,2.28816875973825
136.1564,10.2,394.2,12.02,2019-05-16 03:45:12,11.65237,5/16/2019 3:45,29.01,1992.946,2.320427593822038
136.1772,10.18,387.3,12.02,2019-05-16 04:15:10,11.65237,5/16/2019 4:15,28.94,1989.124,2.33925587943212
136.198,10.23,393.3,12.02,2019-05-16 04:45:07,11.65237,5/16/2019 4:45,28.98,1991.308,2.3203987061485565
136.2189,10.2,384.2,12.02,2019-05-16 05:15:12,11.65237,5/16/2019 5:15,29.02,1993.492,2.363538030123708
136.2397,10.16,384.7,12.02,2019-05-16 05:45:10,11.65237,5/16/2019 5:45,28.96,1990.216,2.352707706195342
136.2605,10.16,316.7,12.02,2019-05-16 06:15:07,11.65237,5/16/2019 6:15,28.96,1990.216,2.6813717994177306
136.2814,10.16,325.9,12.02,2019-05-16 06:45:12,11.65237,5/16/2019 6:45,28.98,1991.308,2.6344976109627947
136.3022,10.23,373.3,12.02,2019-05-16 07:15:10,11.65237,5/16/2019 7:15,28.61,1971.106,2.354201423117864
136.323,10.38,407.3,12.02,2019-05-16 07:45:07,11.65237,5/16/2019 7:45,27.03,1884.838,2.0125059867643036
136.3439,10.4,415.5,12.02,2019-05-16 08:15:12,11.65237,5/16/2019 8:15,26.74,1869.004,1.947720467997996
136.3647,10.43,411.9,12.02,2019-05-16 08:45:10,11.65237,5/16/2019 8:45,26.85,1875.01,1.9741751827104854
136.3855,10.38,325.7,12.02,2019-05-16 09:15:07,11.65237,5/16/2019 9:15,27.18,1893.028,2.3745863823011546
136.4064,10.36,300.9,12.02,2019-05-16 09:45:12,11.65237,5/16/2019 9:45,27.48,1909.408,2.5481618261324126
136.4272,10.34,350.2,12.02,2019-05-16 10:15:10,11.65237,5/16/2019 10:15,27.74,1923.604,2.3373190329251643
136.448,10.32,380.8,12.02,2019-05-16 10:45:07,11.65237,5/16/2019 10:45,27.82,1927.972,2.2159999960852406
136.4689,10.25,390.1,12.02,2019-05-16 11:15:12,11.65237,5/16/2019 11:15,28.04,1939.984,2.207157297717457
136.4897,10.25,393.2,12.02,2019-05-16 11:45:10,11.65237,5/16/2019 11:45,28.17,1947.082,2.2121616055681925
136.5105,10.27,396.7,12.02,2019-05-16 12:15:07,11.65237,5/16/2019 12:15,28.17,1947.082,2.1986160376559916
136.5314,10.29,401.4,12.02,2019-05-16 12:45:12,11.65237,5/16/2019 12:45,28.24,1950.904,2.189836591511774
136.5522,10.32,415.6,12.03,2019-05-16 13:15:10,11.65237,5/16/2019 13:15,28.54,1967.284,2.175676236437731
136.573,10.49,412.1,12.02,2019-05-16 13:45:07,11.65237,5/16/2019 13:45,28.63,1972.198,2.202520113724525
136.5939,10.32,388.8,12.02,2019-05-16 14:15:12,11.65237,5/16/2019 14:15,28.75,1978.75,2.308759776252848
136.6147,10.32,379.3,12.02,2019-05-16 14:45:10,11.65237,5/16/2019 14:45,28.77,1979.842,2.3514566398215977
136.6355,10.4,381.6,12.02,2019-05-16 15:15:07,11.65237,5/16/2019 15:15,28.88,1985.848,2.3577093339584447
136.6564,10.56,406.7,12.03,2019-05-16 15:45:12,11.65237,5/16/2019 15:45,28.6,1970.56,2.2200016836419203
136.6772,10.45,394.1,12.03,2019-05-16 16:15:10,11.65237,5/16/2019 16:15,28.81,1982.026,2.2966742433824114
136.698,10.54,392.3,12.03,2019-05-16 16:45:07,11.65237,5/16/2019 16:45,28.78,1980.388,2.3010113453110503
136.7189,10.58,372.0,12.03,2019-05-16 17:15:12,11.65237,5/16/2019 17:15,28.83,1983.118,2.3946042411157347
136.7397,10.7,362.1,12.03,2019-05-16 17:45:10,11.65237,5/16/2019 17:45,28.87,1985.302,2.4462591881220193
136.7605,10.76,361.0,12.02,2019-05-16 18:15:07,11.65237,5/16/2019 18:15,28.91,1987.486,2.4577299559966885
136.7814,10.92,373.8,12.03,2019-05-16 18:45:12,11.65237,5/16/2019 18:45,28.87,1985.302,2.3963635868539974
136.8022,10.83,367.0,12.03,2019-05-16 19:15:10,11.65237,5/16/2019 19:15,28.9,1986.94,2.4297663582478806
136.823,10.47,353.8,12.03,2019-05-16 19:45:07,11.65237,5/16/2019 19:45,28.86,1984.756,2.480734358255868
136.8439,11.57,391.4,12.02,2019-05-16 20:15:12,11.65237,5/16/2019 20:15,28.32,1955.272,2.2549350800219647
136.8647,11.84,423.1,12.03,2019-05-16 20:45:10,11.65237,5/16/2019 20:45,27.65,1918.69,2.05168895767132
136.8855,11.37,406.6,12.03,2019-05-16 21:15:07,11.65237,5/16/2019 21:15,27.83,1928.518,2.1288858745648356
136.9064,11.21,375.3,12.03,2019-05-16 21:45:12,11.65237,5/16/2019 21:45,27.99,1937.254,2.272253904915827
136.9272,11.32,382.8,12.03,2019-05-16 22:15:10,11.65237,5/16/2019 22:15,28.03,1939.438,2.2478475658856105
136.948,11.28,389.7,12.03,2019-05-16 22:45:07,11.65237,5/16/2019 22:45,28.29,1953.634,2.254272002778197
136.9689,11.08,392.1,12.03,2019-05-16 23:15:12,11.65237,5/16/2019 23:15,28.39,1959.094,2.2556299408612204
136.9897,10.87,396.0,12.03,2019-05-16 23:45:10,11.65237,5/16/2019 23:45,28.6,1970.56,2.2656614586525965
