Date,Temp,CO2,Battery,Date (UTC)
135.7605,10.32,392.7,12.02,2019-05-15 18:15:07
135.7814,10.16,394.8,12.02,2019-05-15 18:45:12
135.8022,10.2,401.7,12.0,2019-05-15 19:15:10
135.823,10.4,410.6,12.01,2019-05-15 19:45:07
135.8439,10.4,409.4,12.01,2019-05-15 20:15:12
135.8647,10.43,408.8,12.01,2019-05-15 20:45:10
135.8855,10.45,408.9,12.01,2019-05-15 21:15:07
135.9064,10.45,404.4,12.01,2019-05-15 21:45:12
135.9272,10.43,399.0,12.01,2019-05-15 22:15:10
135.948,10.36,399.0,12.02,2019-05-15 22:45:07
135.9689,10.27,395.6,12.02,2019-05-15 23:15:12
135.9897,10.27,395.8,12.02,2019-05-15 23:45:10
136.0105,10.25,394.3,12.02,2019-05-16 00:15:07
136.0314,10.25,399.0,12.02,2019-05-16 00:45:12
136.0522,10.25,396.1,12.02,2019-05-16 01:15:10
136.073,10.23,384.1,12.02,2019-05-16 01:45:07
136.0939,10.2,356.7,12.02,2019-05-16 02:15:12
136.1147,10.11,397.3,12.02,2019-05-16 02:45:10
136.1355,10.14,401.0,12.02,2019-05-16 03:15:07
136.1564,10.2,394.2,12.02,2019-05-16 03:45:12
136.1772,10.18,387.3,12.02,2019-05-16 04:15:10
136.198,10.23,393.3,12.02,2019-05-16 04:45:07
136.2189,10.2,384.2,12.02,2019-05-16 05:15:12
136.2397,10.16,384.7,12.02,2019-05-16 05:45:10
136.2605,10.16,316.7,12.02,2019-05-16 06:15:07
136.2814,10.16,325.9,12.02,2019-05-16 06:45:12
136.3022,10.23,373.3,12.02,2019-05-16 07:15:10
136.323,10.38,407.3,12.02,2019-05-16 07:45:07
136.3439,10.4,415.5,12.02,2019-05-16 08:15:12
136.3647,10.43,411.9,12.02,2019-05-16 08:45:10
136.3855,10.38,325.7,12.02,2019-05-16 09:15:07
136.4064,10.36,300.9,12.02,2019-05-16 09:45:12
136.4272,10.34,350.2,12.02,2019-05-16 10:15:10
136.448,10.32,380.8,12.02,2019-05-16 10:45:07
136.4689,10.25,390.1,12.02,2019-05-16 11:15:12
136.4897,10.25,393.2,12.02,2019-05-16 11:45:10
136.5105,10.27,396.7,12.02,2019-05-16 12:15:07
136.5314,10.29,401.4,12.02,2019-05-16 12:45:12
136.5522,10.32,415.6,12.03,2019-05-16 13:15:10
