Date,Temp,CO2,Battery,Date (UTC)
143.6598,15.86,529.9,11.69,2023-05-23 15:50:06
143.7015,16.72,555.0,11.65,2023-05-23 16:50:09
143.7432,17.54,564.9,11.63,2023-05-23 17:50:12
143.7848,17.99,538.6,11.63,2023-05-23 18:50:06
143.8265,18.73,472.1,11.63,2023-05-23 19:50:09
143.8682,17.97,459.8,11.63,2023-05-23 20:50:12
143.9098,16.6,516.6,11.62,2023-05-23 21:50:06
143.9515,16.79,482.6,11.61,2023-05-23 22:50:09
143.9932,16.49,491.3,11.61,2023-05-23 23:50:12
144.0348,16.39,504.0,11.6,2023-05-24 00:50:06
144.0765,16.35,521.1,11.59,2023-05-24 01:50:09
144.1182,16.21,537.6,11.59,2023-05-24 02:50:12
144.1598,16.09,533.1,11.59,2023-05-24 03:50:06
144.2015,16.11,537.6,11.59,2023-05-24 04:50:09
144.2432,16.14,592.5,11.59,2023-05-24 05:50:12
144.2848,16.02,663.2,11.59,2023-05-24 06:50:06
144.3265,16.02,777.7,11.59,2023-05-24 07:50:09
144.3682,15.72,810.6,11.59,2023-05-24 08:50:12
144.4098,15.95,809.0,11.59,2023-05-24 09:50:06
144.4515,15.95,726.3,11.59,2023-05-24 10:50:09
144.4932,16.0,686.8,11.59,2023-05-24 11:50:12
144.5348,15.77,686.9,11.59,2023-05-24 12:50:06
144.5765,15.79,622.8,11.58,2023-05-24 13:50:09
144.6182,15.93,576.6,11.59,2023-05-24 14:50:12
144.6598,16.02,551.9,11.59,2023-05-24 15:50:06
144.7015,16.02,530.4,11.59,2023-05-24 16:50:09
144.7432,16.51,524.5,11.59,2023-05-24 17:50:12
144.7848,17.38,515.4,11.6,2023-05-24 18:50:06
144.8265,17.95,480.7,11.61,2023-05-24 19:50:09
144.8682,18.3,464.7,11.61,2023-05-24 20:50:12
144.9098,17.12,478.3,11.61,2023-05-24 21:50:06
144.9515,16.98,498.4,11.6,2023-05-24 22:50:09
144.9932,17.07,501.8,11.6,2023-05-24 23:50:12
145.0348,17.1,495.7,11.6,2023-05-25 00:50:06
145.0765,17.05,514.2,11.6,2023-05-25 01:50:09
145.1182,16.93,531.6,11.59,2023-05-25 02:50:12
145.1598,16.72,527.7,11.59,2023-05-25 03:50:06
145.2015,16.74,531.4,11.59,2023-05-25 04:50:09
145.2432,16.81,572.2,11.59,2023-05-25 05:50:12
145.2848,16.96,621.8,11.59,2023-05-25 06:50:06
145.3265,17.0,678.5,11.59,2023-05-25 07:50:09
145.3682,16.79,915.4,11.59,2023-05-25 08:50:12
145.4098,16.81,1008.7,11.59,2023-05-25 09:50:06
145.4515,16.77,986.8,11.59,2023-05-25 10:50:09
145.4932,16.77,1063.7,11.59,2023-05-25 11:50:12
145.5348,16.81,1051.6,11.59,2023-05-25 12:50:06
