Date,Temp,CO2,Battery,Date (UTC)
122.7119,12.36,654.4,12.06,2022-05-02 17:05:08
122.7536,12.74,640.2,12.05,2022-05-02 18:05:11
122.7952,12.77,626.5,12.06,2022-05-02 19:05:05
122.8369,12.18,643.7,12.06,2022-05-02 20:05:08
122.8786,11.86,626.7,12.06,2022-05-02 21:05:11
122.9202,11.55,613.4,12.06,2022-05-02 22:05:05
122.9619,11.57,635.4,12.05,2022-05-02 23:05:08
123.0036,11.35,627.6,12.05,2022-05-03 00:05:11
123.0452,11.23,627.4,12.05,2022-05-03 01:05:05
123.0869,11.17,635.0,12.05,2022-05-03 02:05:08
123.1286,11.21,650.7,12.05,2022-05-03 03:05:11
123.1702,11.23,668.1,12.05,2022-05-03 04:05:05
123.2119,11.37,745.9,12.05,2022-05-03 05:05:08
123.2536,11.43,863.6,12.06,2022-05-03 06:05:11
123.2952,11.46,994.7,12.06,2022-05-03 07:05:05
123.3369,11.43,1018.6,12.06,2022-05-03 08:05:08
123.3786,11.39,949.6,12.06,2022-05-03 09:05:11
123.4202,11.26,796.9,12.06,2022-05-03 10:05:05
123.4619,11.17,790.4,12.06,2022-05-03 11:05:08
123.5036,11.1,766.6,12.06,2022-05-03 12:05:11
123.5452,11.1,736.6,12.06,2022-05-03 13:05:05
123.5869,11.12,714.5,12.06,2022-05-03 14:05:08
123.6286,11.14,694.6,12.06,2022-05-03 15:05:11
123.6702,11.52,738.4,12.06,2022-05-03 16:05:05
123.7119,12.06,793.8,12.06,2022-05-03 17:05:08
123.7536,12.49,773.8,12.07,2022-05-03 18:05:11
123.7952,12.83,741.0,12.07,2022-05-03 19:05:05
123.8369,12.38,749.8,12.07,2022-05-03 20:05:08
123.8786,11.91,716.6,12.07,2022-05-03 21:05:11
123.9202,12.09,642.3,12.07,2022-05-03 22:05:05
123.9619,11.91,628.8,12.07,2022-05-03 23:05:08
124.0036,11.95,637.5,12.07,2022-05-04 00:05:11
124.0452,11.84,629.5,12.07,2022-05-04 01:05:05
124.0869,11.66,645.0,12.07,2022-05-04 02:05:08
124.1286,11.61,645.8,12.06,2022-05-04 03:05:11
124.1702,11.61,665.1,12.06,2022-05-04 04:05:05
124.2119,11.75,693.2,12.07,2022-05-04 05:05:08
124.2536,11.97,783.6,12.07,2022-05-04 06:05:11
124.2952,12.0,906.9,12.07,2022-05-04 07:05:05
124.3369,12.0,1083.5,12.07,2022-05-04 08:05:08
124.3786,11.91,1017.6,12.07,2022-05-04 09:05:11
124.4202,11.7,877.5,12.06,2022-05-04 10:05:05
124.4619,11.59,834.1,12.07,2022-05-04 11:05:08
124.5036,11.3,802.7,12.06,2022-05-04 12:05:11
124.5452,11.26,762.5,12.06,2022-05-04 13:05:05
124.5869,11.26,739.6,12.06,2022-05-04 14:05:08
124.6286,11.23,720.5,12.06,2022-05-04 15:05:11
124.6702,11.23,703.2,12.06,2022-05-04 16:05:05
124.7119,11.48,723.4,12.06,2022-05-04 17:05:08
124.7536,11.91,846.4,12.06,2022-05-04 18:05:11
124.7952,12.22,858.3,12.07,2022-05-04 19:05:05
124.8369,12.2,871.1,12.07,2022-05-04 20:05:08
124.8786,11.91,846.5,12.07,2022-05-04 21:05:11
124.9202,11.61,757.0,12.06,2022-05-04 22:05:05
124.9619,11.59,742.9,12.06,2022-05-04 23:05:08
125.0036,11.59,694.5,12.06,2022-05-05 00:05:11
125.0452,11.52,692.7,12.06,2022-05-05 01:05:05
125.0869,11.52,695.2,12.06,2022-05-05 02:05:08
125.1286,11.5,689.9,12.06,2022-05-05 03:05:11
