% Device,11B100023
% File name,11B100023_20211210_145850
% Cast time (UTC),2021-12-10 14:58:50
% Cast time (local),2021-12-10 09:58:50
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,41.6578417
% Start longitude,-70.1150773
% Start altitude,0
% Start GPS horizontal error(Meter),565.510009765625
% Start GPS vertical error(Meter),553.42999267578125
% Start GPS number of satellites,3
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),35
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-25
% Temperature calibration date,2011-02-25
% Pressure calibration date,2011-02-25
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14970539396314325,5.2906659019063245,27532.509765625,45447.184711598333,27.973553167502637,1462.9922011272033,1022.0816812051804
0.44999999999999996,0.44912914572632356,5.2983474812424554,27437.336963997153,45278.603034346117,27.860581470069519,1462.8855996219204,1021.9930133758312
0.74999999999999989,0.74855979959959784,5.2948533970170342,27480.222564259817,45354.605622494346,27.911311470620966,1462.9403491209318,1022.0348674161746
1.05,1.0479828410841587,5.2940912264985656,27489.975344724287,45371.843537393375,27.922722484548103,1462.9565427766247,1022.0453675993625
1.35,1.3473958914238142,5.2946093070133324,27554.667854265783,45477.839926931752,27.994519974920696,1463.0545013830647,1022.1034667446982
1.65,1.6467439030325999,5.2958425866381331,27990.870131468033,46195.893135207436,28.481850738745624,1463.6818680713957,1022.4899547155749
1.9500000000000002,1.9460122490478287,5.294598867639996,28166.641960934965,46487.893904781042,28.679922507470362,1463.9326318208409,1022.6480666697521
2.25,2.2452572324316806,5.2975211698633435,28169.931976045402,46488.839496324479,28.680976498823039,1463.9508513207884,1022.6499989633589
2.55,2.5444962763681258,5.3015562422491671,28216.052917194414,46558.752117577787,28.729133756380481,1464.0333297264535,1022.6890524470374
2.7388145228794638,2.7328279926110257,5.3030879146693026,28220.2539797359,46563.330541101168,28.732448944394619,1464.0468922214798,1022.6923963752681
