% Device,11B100023
% File name,11B100023_20221201_185903
% Cast time (UTC),2022-12-01 18:59:03
% Cast time (local),2022-12-01 13:59:03
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),26.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-25
% Temperature calibration date,2011-02-25
% Pressure calibration date,2011-02-25
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14973692025309365,7.829873739857665,30605.706466147527,46612.586311884217,29.18688337811243,1474.6268461133327,1022.7364050883364
0.44999999999999996,0.44918811154610844,7.8406553405310229,30801.460628660971,46895.31970247662,29.384042323466673,1474.9172950983161,1022.8909592385458
0.74999999999999989,0.748597162900822,7.845586142032178,30966.247796161369,47139.131057451523,29.553548931883196,1475.1509793765617,1023.0246176007345
1.05,1.0479650511193934,7.8350485364311684,31133.309359581581,47408.654391112788,29.738711292489143,1475.3445564860574,1023.1726637455818
1.35,1.3472986973342489,7.8545966794540067,31255.077958810671,47565.761138009017,29.850507788504974,1475.5630230614036,1023.2590724273966
1.65,1.6466133262477167,7.857977157072928,31309.938697828205,47644.349115217075,29.905431551243463,1475.6489102102121,1023.3030727733764
1.9500000000000002,1.9459187677216618,7.8636099763738674,31337.076820442959,47677.471895162533,29.929142845064675,1475.7048101555702,1023.3222821807607
2.25,2.2452204643154516,7.8695969086027144,31349.571777850626,47687.794689148948,29.937080237520153,1475.7425399193655,1023.3290697387304
2.55,2.5445258987814725,7.862113368350955,31302.144877784689,47626.493961175591,29.89327073534281,1475.6644702545962,1023.2971128276537
2.8935927627678204,2.8873191489694441,7.8689867132275282,31375.141479491507,47727.576382610467,29.964332232919684,1475.784456690016,1023.3534915611039
