% Device,11B100023
% File name,11B100023_20230822_163115
% Cast time (UTC),2023-08-22 16:31:15
% Cast time (local),2023-08-22 12:31:15
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,41.6957614
% Start longitude,-70.6203566
% Start altitude,-31.3700008392334
% Start GPS horizontal error(Meter),10.079999923706055
% Start GPS vertical error(Meter),10.340000152587891
% Start GPS number of satellites,5
% End latitude,41.6952952
% End longitude,-70.6209693
% End altitude,-140.89999389648438
% End GPS horizontal error(Meter),36.200000762939453
% End GPS vertical error(Meter),39.470001220703125
% End GPS number of satellites,4
% Cast duration (Seconds),56.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-25
% Temperature calibration date,2011-02-25
% Pressure calibration date,2011-02-25
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15035995784915132,23.371927432997587,40446.9296875,41808.267557174659,26.789473067841236,1521.4686858959344,1017.6186673649852
0.44999999999999996,0.45098320568869965,23.205455451322063,41503.86544702528,43048.92989646778,27.6729029333442,1522.0011795590933,1018.3335163206049
0.74999999999999989,0.751395332847696,23.115946065290622,42618.570280032785,44287.366003571653,28.559430649979639,1522.7376203922629,1019.0296372077389
1.05,1.0516620591814729,23.084006206146121,43087.118737746816,44804.002554428793,28.930396404323268,1523.0633500932722,1019.3202750698282
1.35,1.3518706108230674,23.031362554612095,43197.595315723804,44968.113559768106,29.047658075040641,1523.059430970337,1019.4249811241288
1.65,1.652056956732733,23.015241645557129,43255.259656445895,45043.259363090518,29.101445208310619,1523.0811609997213,1019.4714705553323
1.9500000000000002,1.952236935235566,23.009641834839659,43240.3390161586,45032.973964804638,29.09386426988457,1523.0633926259254,1019.4686167498753
2.25,2.2524165006655812,22.998453627797641,43233.439021749517,45036.2832071651,29.095987822427379,1523.0416729774552,1019.4746641163848
2.55,2.552589281350679,22.984042722018255,43282.691335650517,45101.130376192283,29.142389725868842,1523.0597867589097,1019.515091051506
2.9331215391767778,2.9359317459468373,22.98047473379286,43201.986162919784,45020.382147753568,29.084059098008026,1522.9934128258963,1019.47365850515
