% Device,11B100023
% File name,11B100023_20181013_185213
% Cast time (UTC),2018-10-13 18:52:13
% Cast time (local),2018-10-13 14:52:13
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,42.3193618
% Start longitude,-70.9587855
% Start altitude,-30.819999694824219
% Start GPS horizontal error(Meter),8.5600004196167
% Start GPS vertical error(Meter),8.4499998092651367
% Start GPS number of satellites,6
% End latitude,42.3191906
% End longitude,-70.9588225
% End altitude,-51.479999542236328
% End GPS horizontal error(Meter),34.529998779296875
% End GPS vertical error(Meter),30.059999465942383
% End GPS number of satellites,4
% Cast duration (Seconds),84
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-25
% Temperature calibration date,2011-02-25
% Pressure calibration date,2011-02-25
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14982646268549391,16.228833589485031,37425.125,45387.077127431607,29.123073929601041,1503.7333110212915,1021.1838772372427
0.44999999999999996,0.44948898681666605,16.235905075054109,37422.269729967164,45375.831647024977,29.115340707855651,1503.7514275054875,1021.1777244177152
0.74999999999999989,0.74914841971801238,16.229817078761485,37424.840872092951,45385.649905504215,29.121908742046127,1503.7449740897935,1021.1854402232181
1.05,1.0488072512272788,16.230076781456727,37418.37642000342,45377.524541540966,29.116029833361321,1503.7439995491436,1021.1822116750376
1.35,1.348461631121789,16.238290661015668,37477.379685841042,45440.025623164373,29.160936285446191,1503.8261310804526,1021.2161701988888
1.65,1.6481119943087403,16.237392167429029,37465.078632253411,45426.100758433575,29.150858069376849,1503.8167264977096,1021.2099771236005
1.9500000000000002,1.9477677741770092,16.236858081676544,37416.779441716113,45368.125970710331,29.109396605123937,1503.7724128596058,1021.1796395587903
2.25,2.2474239365031465,16.232115143347013,37451.714560264612,45415.708641262383,29.14296036993494,1503.8011559171769,1021.2077587487989
2.55,2.5470649276609345,16.240336140751779,37573.652067748924,45554.492984139855,29.242279468386776,1503.9458017658121,1021.283438596996
2.85,2.8466927558723203,16.231338302851153,37582.889629642006,45575.636368615211,29.256768842430379,1503.9393957039972,1021.2978729565132
3.15,3.1463151297911689,16.215447917497574,37597.092106575721,45610.4373557157,29.280622916371158,1503.9222737953517,1021.3210100693448
3.5027533690134689,3.4986288922572468,16.208541467714824,37513.840074357067,45517.068474441883,29.213528006021281,1503.8295160631469,1021.2726530129205
