% Device,11B100023
% File name,11B100023_20221201_190121
% Cast time (UTC),2022-12-01 19:01:21
% Cast time (local),2022-12-01 14:01:21
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,41.6957629
% Start longitude,-70.6203882
% Start altitude,-39.459999084472656
% Start GPS horizontal error(Meter),26.270000457763672
% Start GPS vertical error(Meter),25.639999389648438
% Start GPS number of satellites,4
% End latitude,41.6958226
% End longitude,-70.6199257
% End altitude,23.25
% End GPS horizontal error(Meter),67.25
% End GPS vertical error(Meter),59.930000305175781
% End GPS number of satellites,4
% Cast duration (Seconds),26.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-25
% Temperature calibration date,2011-02-25
% Pressure calibration date,2011-02-25
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14949179009285804,7.874091025266897,31602.15625,48065.444951330683,30.201028128286978,1476.0521683331072,1023.5258247252367
0.44999999999999996,0.44846887024878235,7.8656629341161954,31737.6874732136,48283.960583476168,30.351557935719086,1476.2110982353606,1023.6464504044249
0.74999999999999989,0.74741887898756021,7.8459326741518973,31764.3782110227,48353.594531994633,30.396842126181305,1476.1963724620871,1023.6860755374113
1.05,1.0463813354210214,7.856611607281776,31623.463167041864,48123.439423731361,30.238293656632123,1476.0459421206904,1023.5616034662744
1.35,1.3453457951743504,7.8577057118992384,31756.88337822639,48324.864274875115,30.37839903037629,1476.2285294551489,1023.6727451035737
1.65,1.6442919596465904,7.8524414521337844,31767.640769225556,48348.980113869482,30.394236575508359,1476.2328502787698,1023.6872758096708
1.9500000000000002,1.9432412031946234,7.8564139345868726,31727.605644144078,48282.210145194,30.348270628424778,1476.1960834347951,1023.6520479548858
2.25,2.242190256495566,7.8647145435994048,31778.731356467477,48347.797627009313,30.395032084037556,1476.2907415671111,1023.6889681705642
2.55,2.5411395338955547,7.8585004404749492,31725.208152189811,48275.496031326569,30.343657941202768,1476.2081960440817,1023.6509026730337
2.9521954522204048,2.9419286666115219,7.8724861883052579,31769.001723841171,48321.568289445859,30.377667539591858,1476.3105428984136,1023.6775042618775
