,Bottle Number,Bottle Label,Sampling Date,Date Processed,Bottle Cleaned,Observations,PROF_DATE_TIME_LOCAL,SAMPLE_DEPTH_CODE,DEPTH (m),SAL (PSU),TEMP (C)
75,76,Poc-1,9/22/2022,,,,,,1.5,31.751,20.188
76,77,Poc-2,9/22/2022,,,,,,1.5,31.751,20.188
77,78,F06-d,7/26/2022,,,,7/26/2022 11:33,E,32.22,32.04,8.042
78,79,F06-m,7/26/2022,,,,7/26/2022 11:33,C,13.03,31.89,10.64
79,80,F06-s,7/26/2022,,,,7/26/2022 11:33,A,1.93,31.82,16.3
80,81,N07-d,7/26/2022,,,,7/26/2022 9:50,E,46.32,32.11,7.227
81,82,N07-m,7/26/2022,,,,7/26/2022 9:50,C,17.37,32.05,8.191
82,83,N07-s,7/26/2022,,,,7/26/2022 9:50,A,1.85,31.76,18
83,84,F22-d,7/26/2022,,,,7/26/2022 8:12,E,76.46,32.22,6.92
84,85,F22-m1,7/26/2022,,,,7/26/2022 8:12,C,26.15,32.11,8.564
85,86,F22-m2,7/26/2022,,,,7/26/2022 8:12,C,26.15,32.11,8.564
86,87,F22-s,7/26/2022,,,,7/26/2022 8:12,A,1.8,31.65,16
87,88,N01-d,7/26/2022,,,,7/26/2022 6:53,E,28.12,32.01,7.98
88,89,N01-m1,7/26/2022,,,,7/26/2022 6:53,C,16.98,31.97,8.509
89,90,N01-m2,7/26/2022,,,,7/26/2022 6:53,C,16.98,31.97,8.509
90,91,N01-s,7/26/2022,,,,7/26/2022 6:53,A,1.74,31.8,14.32
91,92,F06-d,8/23/2022,,,,8/23/2022 11:47,E,30.29,32.05,11.14
92,93,F06-m,8/23/2022,,,,8/23/2022 11:47,C,8.72,31.86,19.57
93,94,F06-s,8/23/2022,,,,8/23/2022 11:47,A,2.14,31.66,20.56
94,95,N07-d,8/23/2022,,,,8/23/2022 10:07,E,47.9,32.16,8.941
95,96,N07-m,8/23/2022,,,,8/23/2022 10:07,C,7.52,31.79,19.78
96,97,N07-s,8/23/2022,,,,8/23/2022 10:07,A,1.88,31.77,20.2
97,98,F22-d,8/23/2022,,,,8/23/2022 8:12,E,76.61,32.32,7.187
98,99,F22-m1,8/23/2022,,,,8/23/2022 8:12,C,8.35,32.07,18.89
99,100,F22-m2,8/23/2022,,,,8/23/2022 8:12,C,8.35,32.07,18.89
100,101,F22-s,8/23/2022,,,,8/23/2022 8:12,A,1.85,31.83,20.28
101,102,N01-d,8/23/2022,,,,8/23/2022 6:57,E,30.32,31.98,9.617
102,103,N01-m1,8/23/2022,,,,8/23/2022 6:57,C,7.15,31.84,19.13
103,104,N01-m2,8/23/2022,,,,8/23/2022 6:57,C,7.15,31.84,19.13
104,105,N01-s,8/23/2022,,,,8/23/2022 6:57,A,2.09,31.74,20.03
105,106,HAR-s,12/10/2022,,,,,,2.387,29.964,7.869
106,107,HAR-d1,12/10/2022,,,,,,2.387,29.964,7.869
107,108,HAR-d2,12/10/2022,,,,,,0.5,29.384,7.841
108,109,Poc-1,12/10/2022,,,,,,1.5,29.905,7.858
109,110,Poc-2,12/10/2022,,,,,,1.5,29.905,7.858
