"Time (America/New_York)",Battery,"Air Temperature","Relative Humidity","Rel. Barometric Pressure","Wind Speed","Max Wind Sp","Wind Direction","Wet Bulb Temperature","Precip Type","Rain Intensity","Total Rain","Interval Rain","Solar Rad",Heading,Temperature,pH,"Sp Cond",Depth,Chlorophyll,DO,DOSat,"pH mV","Internal Bat"
"08-01-2018 00:00:00",12.9,22.50,74,1020.2,2.4,4.1,225,19.30,0,0.0,157.7,0.0,0,272.0,18.39,7.89,47410,0.760,10.1,8.72,111.3,-54.1,0.1
"08-01-2018 00:15:00",13.0,22.10,76,1020.5,2.6,4.1,215,19.20,0,0.0,157.7,0.0,0,263.0,18.41,7.89,47310,0.760,10.1,8.71,111.0,-54.2,0.1
"08-01-2018 00:30:00",13.0,21.90,78,1020.4,2.6,4.1,210,19.20,0,0.0,157.7,0.0,0,252.0,18.42,7.89,47490,0.720,9.6,8.69,111.0,-54.1,0.1
"08-01-2018 00:45:00",13.0,21.80,77,1020.3,3.0,4.0,218,19.10,0,0.0,157.7,0.0,0,242.0,18.43,7.88,47430,0.720,9.3,8.64,110.3,-54.0,0.1
"08-01-2018 01:00:00",13.0,21.70,78,1020.4,2.6,4.3,205,19.00,0,0.0,157.7,0.0,0,245.0,18.22,7.88,47440,0.740,9.9,8.68,110.4,-53.8,0.1
"08-01-2018 01:15:00",13.0,19.90,85,1020.2,1.7,2.7,186,18.20,0,0.0,157.7,0.0,0,245.0,18.31,7.88,47320,0.760,9.4,8.62,109.7,-53.9,0.1
"08-01-2018 01:30:00",12.9,20.80,82,1020.3,2.1,2.9,202,18.70,0,0.0,157.7,0.0,0,237.0,18.30,7.88,47310,0.740,8.9,8.63,109.8,-53.6,0.1
"08-01-2018 01:45:00",12.9,20.90,80,1020.3,2.7,4.0,201,18.60,0,0.0,157.7,0.0,0,230.0,18.10,7.87,47380,0.760,8.6,8.53,108.1,-53.1,0.1
"08-01-2018 02:00:00",12.9,20.80,80,1020.5,2.8,3.8,202,18.40,0,0.0,157.7,0.0,0,211.0,17.90,7.87,47490,0.770,9.3,8.60,108.8,-53.3,0.1
"08-01-2018 02:15:00",12.9,20.30,81,1020.5,2.3,3.1,205,18.10,0,0.0,157.7,0.0,0,214.0,18.02,7.87,47510,0.750,9.1,8.52,108.0,-53.2,0.1
"08-01-2018 02:30:00",12.9,20.50,81,1020.7,2.7,3.6,207,18.30,0,0.0,157.7,0.0,0,202.0,17.99,7.87,47520,0.740,8.8,8.49,107.6,-53.0,0.1
"08-01-2018 02:45:00",12.9,19.50,84,1020.8,2.5,3.6,205,17.70,0,0.0,157.7,0.0,0,201.0,17.95,7.87,47370,0.750,9.1,8.48,107.3,-53.1,0.1
"08-01-2018 03:00:00",12.8,18.80,88,1020.8,1.6,2.5,195,17.40,0,0.0,157.7,0.0,0,204.0,17.87,7.87,47470,0.760,8.6,8.46,106.9,-53.1,0.1
"08-01-2018 03:15:00",12.9,20.60,82,1020.8,2.6,3.7,212,18.50,0,0.0,157.7,0.0,0,204.0,17.80,7.87,47420,0.770,8.9,8.52,107.5,-53.1,0.1
"08-01-2018 03:30:00",12.9,20.10,83,1020.8,2.4,3.3,206,18.20,0,0.0,157.7,0.0,0,193.0,17.67,7.87,47470,0.780,8.7,8.59,108.0,-53.1,0.0
"08-01-2018 03:45:00",12.9,19.80,84,1020.9,2.4,3.4,212,18.00,0,0.0,157.7,0.0,0,199.0,17.80,7.87,47440,0.780,8.1,8.56,107.9,-53.4,0.1
"08-01-2018 04:00:00",12.9,19.80,86,1021.1,1.5,2.5,209,18.10,0,0.0,157.7,0.0,0,176.0,18.08,7.87,47480,0.760,7.1,8.43,107.0,-53.0,0.1
"08-01-2018 04:15:00",12.9,19.30,87,1021.1,0.9,1.5,238,17.80,0,0.0,157.7,0.0,0,182.0,17.76,7.86,47480,0.750,8.0,8.45,106.5,-52.8,0.1
