"Time (America/New_York)",Battery,"Air Temperature","Relative Humidity","Rel. Barometric Pressure","Wind Speed","Max Wind Sp","Wind Direction","Wet Bulb Temperature","Precip Type","Rain Intensity","Total Rain","Interval Rain","Solar Rad",Heading,Temperature,pH,"Sp Cond",Depth,Chlorophyll,DO,DOSat,"pH mV","Internal Bat"
"09-01-2018 00:00:00",13.0,18.90,69,1028.1,1.7,2.7,94,15.30,0,0.0,19.9,0.0,0,159.0,19.94,8.12,47840,0.810,16.7,8.12,106.7,-51.9,0.1
"09-01-2018 00:15:00",13.0,18.90,70,1028.1,1.9,2.8,98,15.50,0,0.0,19.9,0.0,0,205.0,20.13,8.12,47850,0.860,16.2,8.11,107.1,-51.9,0.1
"09-01-2018 00:30:00",13.0,18.90,67,1028.2,1.5,2.5,105,15.10,0,0.0,19.9,0.0,0,223.0,20.20,8.12,47790,0.820,15.5,8.10,107.0,-52.0,0.1
"09-01-2018 00:45:00",12.9,19.00,68,1028.2,1.4,2.8,94,15.30,0,0.0,19.9,0.0,0,238.0,20.22,8.12,47750,0.830,17.4,8.05,106.4,-51.7,0.1
"09-01-2018 01:00:00",12.9,18.90,68,1028.2,1.8,2.6,106,15.30,0,0.0,19.9,0.0,0,260.0,20.18,8.12,47730,0.820,17.5,8.04,106.1,-51.6,0.1
"09-01-2018 01:15:00",12.8,18.80,66,1028.1,1.3,2.3,99,15.00,0,0.0,19.9,0.0,0,270.0,20.20,8.12,47690,0.840,19.4,8.08,106.7,-51.5,0.1
"09-01-2018 01:30:00",12.9,18.90,68,1028.3,1.4,2.5,76,15.20,0,0.0,19.9,0.0,0,257.0,20.06,8.11,47750,0.830,15.8,8.03,105.9,-51.3,0.1
"09-01-2018 01:45:00",12.9,19.00,67,1028.1,1.4,2.2,62,15.20,0,0.0,19.9,0.0,0,256.0,19.97,8.11,47870,0.840,14.8,7.92,104.2,-50.8,0.1
"09-01-2018 02:00:00",12.9,19.00,69,1027.8,1.4,2.8,87,15.40,0,0.0,19.9,0.0,0,225.0,19.80,8.11,47840,0.830,12.8,7.98,104.7,-51.0,0.1
"09-01-2018 02:15:00",12.9,18.90,68,1027.7,1.5,3.6,84,15.20,0,0.0,19.9,0.0,0,222.0,19.70,8.11,47940,0.830,15.1,7.99,104.7,-51.3,0.1
"09-01-2018 02:30:00",12.9,19.00,71,1027.7,1.3,3.0,85,15.60,0,0.0,19.9,0.0,0,218.0,19.65,8.11,48000,0.820,14.2,8.00,104.8,-51.2,0.1
"09-01-2018 02:45:00",12.9,18.90,69,1027.7,1.5,3.8,96,15.40,0,0.0,19.9,0.0,0,217.0,19.63,8.11,47970,0.830,14.3,7.98,104.4,-51.1,0.1
"09-01-2018 03:00:00",12.9,19.00,70,1027.7,1.8,3.1,97,15.60,0,0.0,19.9,0.0,0,212.0,19.62,8.11,48000,0.830,16.6,7.98,104.4,-51.0,0.1
"09-01-2018 03:15:00",12.8,19.00,72,1027.7,1.4,2.7,93,15.80,0,0.0,19.9,0.0,0,213.0,19.57,8.11,47970,0.830,16.0,7.94,103.8,-51.0,0.1
"09-01-2018 03:30:00",12.9,19.00,71,1027.9,1.1,2.3,61,15.60,0,0.0,19.9,0.0,0,213.0,19.53,8.11,47940,0.830,14.7,7.89,103.0,-50.8,0.1
"09-01-2018 03:45:00",12.8,18.90,70,1028.0,0.8,1.6,50,15.50,0,0.0,19.9,0.0,0,215.0,19.51,8.10,47970,0.840,14.0,7.85,102.5,-50.5,0.1
"09-01-2018 04:00:00",12.9,19.00,73,1027.9,0.7,2.3,30,15.90,0,0.0,19.9,0.0,0,203.0,19.47,8.11,48040,0.850,14.1,7.87,102.6,-50.7,0.1
"09-01-2018 04:15:00",12.9,17.90,77,1027.9,2.7,3.7,333,15.40,0,0.0,19.9,0.0,0,206.0,19.44,8.11,48090,0.830,12.8,7.85,102.4,-50.8,0.1
"09-01-2018 04:30:00",12.9,17.50,77,1028.0,2.6,3.3,331,15.10,0,0.0,19.9,0.0,0,204.0,19.42,8.11,48090,0.850,13.8,7.86,102.6,-50.8,0.1
"09-01-2018 04:45:00",12.9,17.90,78,1027.9,2.7,3.5,345,15.50,0,0.0,19.9,0.0,0,204.0,19.39,8.11,48070,0.850,13.5,7.84,102.2,-50.7,0.1
"09-01-2018 05:00:00",12.8,17.80,78,1027.9,2.8,4.2,349,15.40,0,0.0,19.9,0.0,0,202.0,19.37,8.10,48160,0.840,13.2,7.83,102.0,-50.7,0.1
"09-01-2018 05:15:00",12.8,17.70,81,1028.0,2.5,3.7,339,15.60,0,0.0,19.9,0.0,0,203.0,19.35,8.10,48160,0.830,12.4,7.81,101.8,-50.7,0.1
"09-01-2018 05:30:00",12.8,17.70,80,1027.9,2.2,3.1,342,15.60,0,0.0,19.9,0.0,0,203.0,19.34,8.11,48040,0.850,13.0,7.84,102.0,-51.0,0.1
"09-01-2018 05:45:00",12.8,18.00,78,1028.0,2.2,3.2,354,15.60,0,0.0,19.9,0.0,0,199.0,19.33,8.11,48030,0.840,12.3,7.85,102.2,-51.1,0.1
"09-01-2018 06:00:00",12.8,17.90,78,1028.3,2.1,3.1,349,15.60,0,0.0,19.9,0.0,1,197.0,19.33,8.12,48080,0.800,13.0,7.87,102.4,-51.4,0.1
"09-01-2018 06:15:00",12.8,18.00,79,1028.3,2.2,3.1,356,15.60,0,0.0,19.9,0.0,9,224.0,19.33,8.12,48200,0.810,12.3,7.85,102.2,-51.5,0.1
"09-01-2018 06:30:00",12.8,18.00,79,1028.4,2.5,3.7,344,15.80,0,0.0,19.9,0.0,23,212.0,19.31,8.12,48110,0.810,12.2,7.85,102.2,-51.4,0.1
"09-01-2018 06:45:00",12.9,18.10,79,1028.6,2.2,3.4,347,15.80,0,0.0,19.9,0.0,44,199.0,19.34,8.12,48060,0.840,11.4,7.85,102.2,-51.3,0.1
"09-01-2018 07:00:00",12.8,18.00,80,1028.4,2.2,3.4,342,15.90,0,0.0,19.9,0.0,61,196.0,19.34,8.11,48150,0.810,12.0,7.82,101.8,-50.9,0.1
"09-01-2018 07:15:00",13.2,18.30,81,1028.5,2.2,3.4,337,16.20,0,0.0,19.9,0.0,226,198.0,19.39,8.11,48080,0.880,11.8,7.85,102.3,-51.0,0.1
"09-01-2018 07:30:00",13.4,18.40,80,1028.4,2.2,3.5,349,16.20,0,0.0,19.9,0.0,269,200.0,19.38,8.11,48070,0.880,10.7,7.82,101.9,-51.0,0.1
"09-01-2018 07:45:00",13.6,18.40,80,1028.7,3.0,4.6,351,16.20,0,0.0,19.9,0.0,321,202.0,19.41,8.10,48050,0.860,10.7,7.71,100.6,-50.6,0.1
"09-01-2018 08:00:00",13.4,18.30,80,1028.9,3.3,5.3,350,16.10,0,0.0,19.9,0.0,166,214.0,19.42,8.10,48070,0.830,11.2,7.75,101.0,-50.6,0.1
"09-01-2018 08:15:00",13.3,19.10,79,1028.8,2.0,3.3,38,16.70,0,0.0,19.9,0.0,183,213.0,19.43,8.10,48110,0.840,10.8,7.75,101.0,-50.6,0.1
"09-01-2018 08:30:00",13.3,19.10,79,1028.9,2.4,4.1,22,16.80,0,0.0,19.9,0.0,186,206.0,19.43,8.10,48120,0.840,11.1,7.72,100.7,-50.5,0.1
"09-01-2018 08:45:00",13.7,19.50,76,1028.9,2.1,3.8,38,16.80,0,0.0,19.9,0.0,520,200.0,19.45,8.10,48080,0.810,9.8,7.76,101.3,-50.6,0.1
"09-01-2018 09:00:00",13.5,19.40,77,1029.1,2.2,3.7,94,16.80,0,0.0,19.9,0.0,313,318.0,19.46,8.10,48080,0.830,10.5,7.73,100.9,-50.6,0.1
"09-01-2018 09:15:00",13.5,19.50,77,1029.2,2.1,3.4,109,16.90,0,0.0,19.9,0.0,424,332.0,19.47,8.10,48040,0.800,10.5,7.78,101.6,-50.6,0.1
"09-01-2018 09:30:00",13.7,19.60,76,1029.2,2.2,4.2,32,16.90,0,0.0,19.9,0.0,719,322.0,19.49,8.10,48090,0.800,8.8,7.71,100.7,-50.2,0.1
"09-01-2018 09:45:00",13.6,19.80,74,1029.1,2.4,3.9,77,16.90,0,0.0,19.9,0.0,317,12.0,19.58,8.11,48120,0.840,9.0,7.85,102.7,-51.0,0.1
"09-01-2018 10:00:00",13.7,20.10,73,1029.2,2.2,4.0,90,16.90,0,0.0,19.9,0.0,476,36.0,19.52,8.11,48080,0.840,7.8,7.85,102.5,-51.1,0.1
"09-01-2018 10:15:00",13.6,19.90,74,1029.2,2.5,4.8,44,16.90,0,0.0,19.9,0.0,395,13.0,19.72,8.12,48100,0.830,7.6,8.01,105.0,-51.7,0.1
"09-01-2018 10:30:00",13.7,19.80,75,1029.4,2.6,4.4,51,16.90,0,0.0,19.9,0.0,523,24.0,19.67,8.13,48130,0.850,7.7,8.11,106.3,-52.0,0.1
"09-01-2018 10:45:00",13.9,20.20,74,1029.2,2.1,3.8,108,17.20,0,0.0,19.9,0.0,708,38.0,19.68,8.12,48190,0.830,4.8,7.96,104.3,-51.4,0.1
"09-01-2018 11:00:00",13.9,20.10,72,1029.0,2.8,4.5,110,16.80,0,0.0,19.9,0.0,724,33.0,19.59,8.13,48290,0.870,5.4,8.00,104.8,-52.4,0.1
"09-01-2018 11:15:00",13.8,20.00,71,1028.8,2.9,4.6,117,16.70,0,0.0,19.9,0.0,741,70.0,19.53,8.13,48080,0.900,5.7,7.93,103.6,-52.3,0.1
"09-01-2018 11:30:00",13.8,20.10,73,1028.6,2.3,4.4,84,16.90,0,0.0,19.9,0.0,761,98.0,19.80,8.13,48100,0.830,6.7,7.96,104.6,-52.0,0.1
"09-01-2018 11:45:00",13.8,20.00,74,1028.5,2.8,4.3,91,17.00,0,0.0,19.9,0.0,783,125.0,19.64,8.12,48230,0.790,5.7,7.76,101.7,-51.5,0.1
"09-01-2018 12:00:00",14.0,19.90,73,1028.2,3.1,5.3,109,16.80,0,0.0,19.9,0.0,809,138.0,19.67,8.13,48120,0.790,5.5,7.85,102.9,-51.9,0.1
"09-01-2018 12:15:00",14.5,20.00,73,1028.1,2.3,5.0,93,16.80,0,0.0,19.9,0.0,810,158.0,19.72,8.13,48210,0.830,5.6,7.88,103.4,-52.1,0.1
"09-01-2018 12:30:00",14.5,20.00,73,1028.1,2.8,5.4,80,16.90,0,0.0,19.9,0.0,838,159.0,19.84,8.13,48100,0.890,5.2,7.93,104.2,-52.2,0.1
"09-01-2018 12:45:00",14.5,20.00,72,1028.1,2.5,5.5,132,16.80,0,0.0,19.9,0.0,855,250.0,19.93,8.13,48150,0.800,5.0,7.90,104.0,-52.3,0.1
"09-01-2018 13:00:00",14.5,20.00,73,1028.2,2.7,4.8,107,16.80,0,0.0,19.9,0.0,862,254.0,20.06,8.13,48160,0.830,5.2,7.99,105.4,-52.4,0.1
"09-01-2018 13:15:00",14.5,20.20,73,1028.1,2.8,4.8,87,17.00,0,0.0,19.9,0.0,622,254.0,20.08,8.14,48170,0.880,5.6,8.03,106.1,-52.8,0.1
