StationCode,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_Pct,F_DO_Pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,Level,F_Level,cLevel,F_cLevel,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor,Unnamed: 30,Datetime_Adjusted_UTC+1,Datetime_UTC
wqbmpwq   ,P,06/10/2020 8:00,1,1,,20.1,<0> ,45.48,<0> ,29.5,<0> ,85.4,<0> ,6.5,<0> ,1.51,<0> ,1.46,<3> ,,<-1> ,,,7.7,<0> ,2.0,<0> ,4.6,<0> ,,2020-06-10 14:00:00,2020-06-10 13:00:00
wqbmpwq   ,P,06/10/2020 8:15,1,1,,20.1,<0> ,45.67,<0> ,29.7,<0> ,86.6,<0> ,6.6,<0> ,1.48,<0> ,1.43,<3> ,,<-1> ,,,7.8,<0> ,3.0,<0> ,5.1,<0> ,,2020-06-10 14:15:00,2020-06-10 13:15:00
wqbmpwq   ,P,06/10/2020 8:30,1,1,,20.2,<0> ,45.84,<0> ,29.8,<0> ,87.9,<0> ,6.7,<0> ,1.45,<0> ,1.4,<3> ,,<-1> ,,,7.8,<0> ,3.0,<0> ,4.6,<0> ,,2020-06-10 14:30:00,2020-06-10 13:30:00
wqbmpwq   ,P,06/10/2020 8:45,1,1,,20.2,<0> ,45.79,<0> ,29.7,<0> ,89.2,<0> ,6.8,<0> ,1.42,<0> ,1.37,<3> ,,<-1> ,,,7.8,<0> ,3.0,<0> ,5.1,<0> ,,2020-06-10 14:45:00,2020-06-10 13:45:00
wqbmpwq   ,P,06/10/2020 9:45,1,1,,20.4,<0> ,45.86,<0> ,29.8,<0> ,106.5,<0> ,8.1,<0> ,1.34,<0> ,1.29,<3> ,,<-1> ,,,7.9,<0> ,2.0,<0> ,3.5,<0> ,,2020-06-10 15:45:00,2020-06-10 14:45:00
wqbmpwq   ,P,06/10/2020 10:00,1,1,,20.4,<0> ,45.84,<0> ,29.8,<0> ,113.5,<0> ,8.6,<0> ,1.34,<0> ,1.29,<3> ,,<-1> ,,,7.9,<0> ,2.0,<0> ,4.5,<0> ,,2020-06-10 16:00:00,2020-06-10 15:00:00
wqbmpwq   ,P,06/10/2020 10:15,1,1,,20.5,<0> ,45.84,<0> ,29.8,<0> ,121.5,<0> ,9.2,<0> ,1.37,<0> ,1.32,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,3.1,<0> ,,2020-06-10 16:15:00,2020-06-10 15:15:00
wqbmpwq   ,P,06/10/2020 10:30,1,1,,20.5,<0> ,45.84,<0> ,29.8,<0> ,125.1,<0> ,9.5,<0> ,1.4,<0> ,1.35,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,3.4,<0> ,,2020-06-10 16:30:00,2020-06-10 15:30:00
wqbmpwq   ,P,06/10/2020 10:45,1,1,,20.6,<0> ,45.8,<0> ,29.7,<0> ,128.9,<0> ,9.7,<0> ,1.43,<0> ,1.38,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,4.4,<0> ,,2020-06-10 16:45:00,2020-06-10 15:45:00
wqbmpwq   ,P,06/10/2020 11:00,1,1,,20.7,<0> ,45.58,<0> ,29.6,<0> ,111.7,<0> ,8.4,<0> ,1.46,<0> ,1.41,<3> ,,<-1> ,,,7.9,<0> ,2.0,<0> ,4.3,<0> ,,2020-06-10 17:00:00,2020-06-10 16:00:00
