"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"wqbslwq   ","P",05/20/2022 22:45,0,1,"",17.7,<0> ,45.41,<0> ,29.5,<0> ,97.6,<0> ,7.8,<0> ,0.82,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,7.6,<0> ,
"wqbslwq   ","P",05/20/2022 23:00,0,1,"",17.7,<0> ,45.26,<0> ,29.4,<0> ,94.3,<0> ,7.5,<0> ,0.82,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,7.5,<0> ,
"wqbslwq   ","P",05/20/2022 23:15,0,1,"",17.6,<0> ,45.01,<0> ,29.2,<0> ,93.9,<0> ,7.5,<0> ,0.83,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,8.2,<0> ,
"wqbslwq   ","P",05/20/2022 23:30,0,1,"",17.6,<0> ,45.01,<0> ,29.2,<0> ,93.9,<0> ,7.5,<0> ,0.85,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,8.0,<0> ,
"wqbslwq   ","P",05/20/2022 23:45,0,1,"",17.7,<0> ,45.28,<0> ,29.4,<0> ,90.0,<0> ,7.2,<0> ,0.88,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,6.4,<0> ,
"wqbslwq   ","P",05/21/2022 0:00,0,1,"",17.6,<0> ,45.08,<0> ,29.2,<0> ,91.5,<0> ,7.3,<0> ,0.91,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,7.1,<0> ,
"wqbslwq   ","P",05/21/2022 0:15,0,1,"",17.5,<0> ,45.34,<0> ,29.4,<0> ,87.9,<0> ,7.1,<0> ,0.94,<0> ,"","","",<-1> ,"","",7.7,<0> ,4,<0> ,8.3,<0> ,
"wqbslwq   ","P",05/21/2022 0:30,0,1,"",17.4,<0> ,45.26,<0> ,29.4,<0> ,88.8,<0> ,7.1,<0> ,0.98,<0> ,"","","",<-1> ,"","",7.7,<0> ,4,<0> ,9.2,<0> ,
"wqbslwq   ","P",05/21/2022 0:45,0,1,"",17.4,<0> ,45.29,<0> ,29.4,<0> ,90.6,<0> ,7.3,<0> ,1.03,<0> ,"","","",<-1> ,"","",7.7,<0> ,4,<0> ,9.0,<0> ,
"wqbslwq   ","P",05/21/2022 1:00,0,1,"",17.3,<0> ,45.31,<0> ,29.4,<0> ,90.2,<0> ,7.3,<0> ,1.08,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,8.2,<0> ,
"wqbslwq   ","P",05/21/2022 1:15,0,1,"",16.5,<0> ,46.88,<0> ,30.5,<0> ,93.2,<0> ,7.6,<0> ,1.14,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,6.8,<0> ,
"wqbslwq   ","P",05/21/2022 1:30,0,1,"",16.3,<0> ,47.03,<0> ,30.6,<0> ,95.3,<0> ,7.8,<0> ,1.17,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,7.0,<0> ,
"wqbslwq   ","P",05/21/2022 1:45,0,1,"",16.1,<0> ,47.26,<0> ,30.8,<0> ,97.3,<0> ,8.0,<0> ,1.19,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.8,<0> ,
"wqbslwq   ","P",05/21/2022 2:00,0,1,"",16.0,<0> ,47.25,<0> ,30.8,<0> ,99.4,<0> ,8.1,<0> ,1.22,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.8,<0> ,
"wqbslwq   ","P",05/21/2022 2:15,0,1,"",16.0,<0> ,47.16,<0> ,30.7,<0> ,99.4,<0> ,8.2,<0> ,1.25,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.2,<0> ,
