STN_ID,STN_EQUIV,SAMP_DATE,UNIQUE_ID,SOURCE,LAB,GEN_QC,TIME,TIME_QC,DUP,SAMPDEP_M,SAMPDEP_QC,SECCHI_M,SECC_QC,TOTDEP_M,TOTDEP_QC,TEMP_C,TEMP_QC,SAL_FIELD,SAL_METH,SAL_QC,SAL_LAB,SAL_LAB_QC,COND,DO_MGL,DO_SAT,DO_METH,DO_QC,PO4_UM,PO4_QC,TP_UM,TP_QC,NH4_UM,NH4_QC,NO2NO3_UM,NO2NO3_QC,TDN_UM,TDN_QC,PON_UM,PON_QC,TN_UM,TN_QC,POC_UM,POC_QC,CHLA_UGL_LAB,CHLA_LAB_QC,CHLA_LAB_METH,CHLA_UGL_ SONDE,CHLA_SONDE_QC,CHLA_SONDE_METH,PHEO_UGL,PHEO_QC,DOC_UM,DOC_QC,PH,PH_QC,BEAU,BEAU_QC,TIDE,WHTR,PREC,WIND,OBS_COMM,QA_COM
FC1X,FC1,7/18/1992,FC1X-X-1992-07-18-0852-D-2-0,BBC,,,8:52 AM,,0,2,,,,2.31,,22,,30,S1,11,,,,7,95.50%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,1,,,
FC1X,FC1,7/18/1992,FC1X-X-1992-07-18-0838-S-0.15-0,BBC,,,8:38 AM,,0,0.15,,,,2.31,,22,,30,S1,11,,,,7,95.50%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,1,,,
FC1X,FC1,7/23/1992,FC1X-X-1992-07-23-0755-S-0.15-0,BBC,,,7:55 AM,,0,0.15,,1.48,,1.55,,21,,28,S1,11,,,,7,92.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,1,,,
FC1X,FC1,7/23/1992,FC1X-X-1992-07-23-0809-D-1.25-0,BBC,,,8:09 AM,,0,1.25,,1.48,,1.55,,22.5,,30,S1,11,,,,7,96.40%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,1,,,
FC1X,FC1,8/3/1992,FC1X-X-1992-08-03-0755-D-1.22-0,BBC,,,7:55 AM,,0,1.22,,,,1.52,,21.5,,32,S1,11,,,,6,82.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,1,0,,
FC1X,FC1,8/3/1992,FC1X-X-1992-08-03-0740-S-0.15-0,BBC,,,7:40 AM,,0,0.15,,,,1.52,,21.5,,29,S1,11,,,,6.5,87.40%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,1,0,,
FC1X,FC1,8/7/1992,FC1X-X-1992-08-07-0809-S-0.15-0,BBC,,,8:09 AM,,0,0.15,,,,1.56,,21,,30,S1,11,,,,6.5,87.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
FC1X,FC1,8/7/1992,FC1X-X-1992-08-07-0824-D-1.26-0,BBC,,,8:24 AM,,0,1.26,,,,1.56,,22,,30,S1,11,,,,7.5,102.40%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
FC1X,FC1,8/19/1992,FC1X-X-1992-08-19-0838-S-0.15-0,BBC,,,8:38 AM,,0,0.15,,,,1.97,,20,,27,S1,11,,,,5.5,71.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,3,,,
FC1X,FC1,8/19/1992,FC1X-X-1992-08-19-0838-D-1.67-0,BBC,,,8:38 AM,,0,1.67,,,,1.97,,21,,31,S1,11,,,,5.5,74.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,3,,,
FC1X,FC1,8/27/1992,FC1X-X-1992-08-27-0809-D-1.7-0,BBC,,,8:09 AM,,0,1.7,,,,2.98,,22,,30,S1,11,,,,7,95.50%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,1,,,
FC1X,FC1,8/27/1992,FC1X-X-1992-08-27-0755-S-0.15-0,BBC,,,7:55 AM,,0,0.15,,,,2.98,,23,,29,S1,11,,,,7,96.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,1,,,
FC1X,FC1,9/14/1992,FC1X-X-1992-09-14-0726-S-0.15-0,BBC,,,7:26 AM,,0,0.15,,,,2.1,,17.5,,28,S1,11,,,,7,86.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,,
FC1X,FC1,9/14/1992,FC1X-X-1992-09-14-0740-D-1.8-0,BBC,,,7:40 AM,,0,1.8,,,,2.1,,20,,31,S1,11,,,,6.5,86.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,,
FC1X,FC1,9/22/1992,FC1X-X-1992-09-22-0809-S-0.15-0,BBC,,,8:09 AM,,0,0.15,,,,1.78,,20,,31,S1,11,,,,7,92.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,1,0,,
FC1X,FC1,9/22/1992,FC1X-X-1992-09-22-0824-D-1.48-0,BBC,,,8:24 AM,,0,1.48,,,,1.78,,20.5,,31,S1,11,,,,6.5,86.80%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,1,0,,
FC1X,FC1,10/8/1992,FC1X-X-1992-10-08-0809-S-0.15-0,BBC,,,8:09 AM,,0,0.15,,,,2.28,,13,,29,S1,11,,,,8,91.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
FC1X,FC1,10/8/1992,FC1X-X-1992-10-08-0824-D-1.98-0,BBC,,,8:24 AM,,0,1.98,,,,2.28,,14,,31,S1,11,,,,8.5,100.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
FC1X,FC1,10/22/1992,FC1X-X-1992-10-22-0824-S-0.15-0,BBC,,,8:24 AM,,0,0.15,,,,1.82,,10,,29,S1,11,,,,8,85.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,3,0,,
FC1X,FC1,10/22/1992,FC1X-X-1992-10-22-0838-D-1.52-0,BBC,,,8:38 AM,,0,1.52,,,,1.82,,12,,30,S1,11,,,,7.5,84.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,3,0,,
FC1X,FC1,11/6/1992,FC1X-X-1992-11-06-0801-S-0.15-0,BBC,,,8:01 AM,,0,0.15,,,,1.8,,8.5,,27,S1,11,,,,8.5,86.50%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,2,0,,
FC1X,FC1,11/6/1992,FC1X-X-1992-11-06-0814-D-1.5-0,BBC,,,8:14 AM,,0,1.5,,,,1.8,,10.5,,30,S1,11,,,,8,86.80%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,2,0,,
FC1X,FC1,11/21/1992,FC1X-X-1992-11-21-0823-S-0.15-0,BBC,,,8:23 AM,,0,0.15,,,,1.76,,6,,27,S1,11,,,,9.5,91.20%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,1,0,,
FC1X,FC1,11/21/1992,FC1X-X-1992-11-21-0836-D-1.46-0,BBC,,,8:36 AM,,0,1.46,,,,1.76,,6.5,,31,S1,11,,,,9,89.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,1,0,,
FC1X,FC1,12/4/1992,FC1X-X-1992-12-04-0833-S-0.15-0,BBC,,,8:33 AM,,0,0.15,,,,1.49,,5,,28,S1,11,,,,9.5,89.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,3,0,,
FC1X,FC1,12/4/1992,FC1X-X-1992-12-04-0846-D-1.19-0,BBC,,,8:46 AM,,0,1.19,,,,1.49,,6,,30,S1,11,,,,9.5,93.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,3,0,,
FC1X,FC1,5/17/1993,FC1X-X-1993-05-17-0710-S-0.15-0,BBC,,,7:10 AM,,0,0.15,,,,3,,15.5,,31,S1,11,,,,8,97.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,3,3,SW,,
FC1X,FC1,5/17/1993,FC1X-X-1993-05-17-0745-D-2.7-0,BBC,,,7:45 AM,,0,2.7,,,,3,,16,,32.5,S1,11,,,,9,111.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,3,3,SW,,
