Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
142.7194	21.96			0.00	2023-05-22	17:15:57
142.7611	21.98			0.00	2023-05-22	18:15:57
142.8027	21.98			0.00	2023-05-22	19:15:57
142.8444	21.98			0.00	2023-05-22	20:15:57
142.8861	22.01			0.00	2023-05-22	21:15:57
142.9277	21.34			0.00	2023-05-22	22:15:57
142.9694	20.55			0.00	2023-05-22	23:15:57
143.0111	19.12			0.00	2023-05-23	00:15:57
143.0527	17.78			0.00	2023-05-23	01:15:57
143.0944	16.65			0.00	2023-05-23	02:15:57
143.1361	15.58			0.00	2023-05-23	03:15:57
143.1777	14.59			0.00	2023-05-23	04:15:57
143.2194	13.70			0.00	2023-05-23	05:15:57
143.2611	12.88			0.00	2023-05-23	06:15:57
143.3027	12.11			0.00	2023-05-23	07:15:57
143.3444	11.46			0.00	2023-05-23	08:15:57
143.3861	11.17			0.00	2023-05-23	09:15:57
143.4277	11.70			0.00	2023-05-23	10:15:57
143.4694	15.42			0.00	2023-05-23	11:15:57
143.5111	15.63			0.00	2023-05-23	12:15:57
143.5527	16.16			0.00	2023-05-23	13:15:57
143.5944	16.65			0.00	2023-05-23	14:15:57
143.6181	16.86	35.00	7.3925	11.46	2023-05-23	14:50:01
143.6597	16.65	35.00	8.0700	11.53	2023-05-23	15:50:00
143.7014	17.05	35.00	8.1393	11.56	2023-05-23	16:50:00
143.7431	17.31	35.00	8.1252	11.58	2023-05-23	17:50:00
143.7847	17.38	35.00	8.1175	11.59	2023-05-23	18:50:00
143.8264	17.40	35.00	8.1621	11.59	2023-05-23	19:50:00
143.8681	17.50	35.00	8.1968	11.60	2023-05-23	20:50:00
143.9097	17.57	35.00	8.0846	11.60	2023-05-23	21:50:00
143.9514	17.54	35.00	8.0717	11.61	2023-05-23	22:50:00
143.9931	17.54	35.00	8.0459	11.61	2023-05-23	23:50:00
144.0347	17.64	35.00	7.9534	11.61	2023-05-24	00:50:00
144.0764	17.59	35.00	7.9712	11.60	2023-05-24	01:50:00
144.1181	16.56	35.00	8.1148	11.60	2023-05-24	02:50:00
144.1597	16.23	35.00	8.1244	11.59	2023-05-24	03:50:00
144.2014	16.18	35.00	8.1014	11.58	2023-05-24	04:50:00
144.2431	15.79	35.00	8.0800	11.58	2023-05-24	05:50:00
144.2847	15.65	35.00	8.0614	11.57	2023-05-24	06:50:00
144.3264	15.44	35.00	8.0693	11.57	2023-05-24	07:50:00
144.3681	15.28	35.00	8.1274	11.56	2023-05-24	08:50:00
144.4097	15.28	35.00	8.0484	11.56	2023-05-24	09:50:00
144.4514	15.35	35.00	8.0178	11.55	2023-05-24	10:50:00
144.4931	15.33	35.00	7.9579	11.55	2023-05-24	11:50:00
144.5347	15.51	35.00	7.8217	11.55	2023-05-24	12:50:00
144.5764	16.07	35.00	7.6135	11.55	2023-05-24	13:50:00
144.6181	16.51	35.00	7.5376	11.55	2023-05-24	14:50:00
144.6597	16.53	35.00	7.8414	11.55	2023-05-24	15:50:00
144.7014	16.60	35.00	8.1434	11.55	2023-05-24	16:50:00
144.7431	16.72	35.00	8.2132	11.55	2023-05-24	17:50:00
144.7847	16.84	35.00	8.1856	11.54	2023-05-24	18:50:00
144.8264	16.84	35.00	8.2094	11.55	2023-05-24	19:50:00
144.8681	16.65	35.00	8.2183	11.54	2023-05-24	20:50:00
144.9097	16.65	35.00	8.2533	11.54	2023-05-24	21:50:00
144.9514	16.70	35.00	8.1103	11.53	2023-05-24	22:50:00
144.9931	16.79	35.00	8.0901	11.54	2023-05-24	23:50:00
145.0347	16.86	35.00	8.0513	11.52	2023-05-25	00:50:00
145.0764	16.96	35.00	7.9963	11.52	2023-05-25	01:50:00
145.1181	17.00	35.00	8.0023	11.52	2023-05-25	02:50:00
145.1597	16.11	35.00	8.1539	11.51	2023-05-25	03:50:00
145.2014	15.86	35.00	8.1587	11.51	2023-05-25	04:50:00
145.2431	15.72	35.00	8.1325	11.50	2023-05-25	05:50:00
145.2847	15.79	35.00	8.0554	11.50	2023-05-25	06:50:00
145.3264	15.70	35.00	8.0472	11.49	2023-05-25	07:50:00
145.3681	15.60	35.00	8.0386	11.48	2023-05-25	08:50:00
145.4097	15.53	35.00	8.0894	11.48	2023-05-25	09:50:00
145.4514	15.46	35.00	8.0199	11.48	2023-05-25	10:50:00
145.4931	15.42	35.00	7.9910	11.47	2023-05-25	11:50:00
145.5347	15.26	35.00	7.9286	11.47	2023-05-25	12:50:00
145.5764	15.44	35.00	7.8037	11.46	2023-05-25	13:50:00
145.6181	15.95	35.00	7.6283	11.47	2023-05-25	14:50:00
145.6597	16.37	35.00	7.6766	11.47	2023-05-25	15:50:00
145.7014	16.21	35.00	8.0052	11.47	2023-05-25	16:50:00
145.7431	16.07	35.00	8.0813	11.46	2023-05-25	17:50:00
145.7847	16.86	35.00	8.1204	11.46	2023-05-25	18:50:00
145.8264	16.72	35.00	8.1096	11.46	2023-05-25	19:50:00
145.8681	16.89	35.00	8.1244	11.46	2023-05-25	20:50:00
145.9097	16.79	35.00	8.1254	11.46	2023-05-25	21:50:00
145.9514	16.77	35.00	8.1826	11.45	2023-05-25	22:50:00
145.9931	16.81	35.00	8.0930	11.45	2023-05-25	23:50:00
146.0347	16.77	35.00	8.0774	11.45	2023-05-26	00:50:00
146.0764	16.84	35.00	8.0237	11.44	2023-05-26	01:50:00
146.1181	16.91	35.00	7.9477	11.44	2023-05-26	02:50:00
146.1597	16.91	35.00	8.0004	11.44	2023-05-26	03:50:00
