Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
136.6879	22.28			0.00	2022-05-16	16:30:38
136.7296	22.46			0.00	2022-05-16	17:30:38
136.7713	22.41			0.00	2022-05-16	18:30:38
136.8129	22.28			0.00	2022-05-16	19:30:38
136.8546	22.31			0.00	2022-05-16	20:30:38
136.8963	22.33			0.00	2022-05-16	21:30:38
136.9379	24.06			0.00	2022-05-16	22:30:38
136.9796	25.66			0.00	2022-05-16	23:30:38
137.0213	25.84			0.00	2022-05-17	00:30:38
137.0629	25.08			0.00	2022-05-17	01:30:38
137.1046	23.91			0.00	2022-05-17	02:30:38
137.1463	22.84			0.00	2022-05-17	03:30:38
137.1879	21.91			0.00	2022-05-17	04:30:38
137.2296	21.19			0.00	2022-05-17	05:30:38
137.2713	19.96			0.00	2022-05-17	06:30:38
137.3129	18.76			0.00	2022-05-17	07:30:38
137.3546	17.88			0.00	2022-05-17	08:30:38
137.3963	16.91			0.00	2022-05-17	09:30:38
137.4379	17.10			0.00	2022-05-17	10:30:38
137.4796	18.45			0.00	2022-05-17	11:30:38
137.5213	16.35			0.00	2022-05-17	12:30:38
137.5629	16.74			0.00	2022-05-17	13:30:38
137.6046	15.56			0.00	2022-05-17	14:30:38
137.6463	16.00			0.00	2022-05-17	15:30:38
137.6701	16.23	35.00	7.9753	11.50	2022-05-17	16:05:00
137.7118	16.44	35.00	7.9954	11.61	2022-05-17	17:04:59
137.7535	16.56	35.00	7.9990	11.66	2022-05-17	18:04:59
137.7951	16.37	35.00	8.0095	11.69	2022-05-17	19:04:59
137.8368	16.81	35.00	0.0000	11.70	2022-05-17	20:04:59
137.8785	17.26	35.00	0.0000	11.73	2022-05-17	21:04:59
137.9201	18.14	35.00	7.9473	11.74	2022-05-17	22:04:59
137.9618	18.85	35.00	7.8194	11.76	2022-05-17	23:04:59
138.0035	19.07	35.00	7.6552	11.77	2022-05-18	00:04:59
138.0451	17.99	35.00	7.8584	11.78	2022-05-18	01:04:59
138.0868	16.70	35.00	7.9779	11.77	2022-05-18	02:04:59
138.1285	16.39	35.00	7.9926	11.76	2022-05-18	03:04:59
138.1701	16.23	35.00	7.9815	11.76	2022-05-18	04:04:59
138.2118	15.72	35.00	7.9783	11.76	2022-05-18	05:04:59
138.2535	14.96	35.00	7.9825	11.75	2022-05-18	06:04:59
138.2951	14.41	35.00	7.9788	11.74	2022-05-18	07:04:59
138.3368	14.43	35.00	7.9727	11.74	2022-05-18	08:04:59
138.3785	14.93	35.00	7.9452	11.74	2022-05-18	09:04:59
138.4201	15.28	35.00	7.8813	11.74	2022-05-18	10:04:59
138.4618	15.35	35.00	7.7523	11.74	2022-05-18	11:04:59
138.5035	15.77	35.00	7.5708	11.74	2022-05-18	12:04:59
138.5451	16.42	35.00	7.3483	11.75	2022-05-18	13:04:59
138.5868	16.81	35.00	7.2863	11.76	2022-05-18	14:04:59
138.6285	14.24	35.00	7.9836	11.75	2022-05-18	15:04:59
138.6701	14.41	35.00	8.0097	11.74	2022-05-18	16:04:59
138.7118	14.50	35.00	8.0219	11.73	2022-05-18	17:04:59
138.7535	15.19	35.00	8.0666	11.73	2022-05-18	18:04:59
138.7951	15.05	35.00	8.0523	11.73	2022-05-18	19:04:59
138.8368	15.09	35.00	8.0536	11.73	2022-05-18	20:04:59
138.8785	15.49	35.00	8.0521	11.73	2022-05-18	21:04:59
138.9201	15.81	35.00	8.0404	11.73	2022-05-18	22:04:59
138.9618	16.49	35.00	7.9516	11.74	2022-05-18	23:04:59
139.0035	17.59	35.00	7.7340	11.74	2022-05-19	00:04:59
139.0451	17.97	35.00	7.5989	11.75	2022-05-19	01:04:59
139.0868	15.05	35.00	7.9856	11.74	2022-05-19	02:04:59
139.1285	14.61	35.00	8.0045	11.72	2022-05-19	03:04:59
139.1701	14.45	35.00	8.0029	11.71	2022-05-19	04:04:59
139.2118	14.13	35.00	7.9898	11.70	2022-05-19	05:04:59
139.2535	14.06	35.00	7.9846	11.70	2022-05-19	06:04:59
139.2951	13.95	35.00	7.9811	11.69	2022-05-19	07:04:59
139.3368	14.02	35.00	7.9858	11.69	2022-05-19	08:04:59
139.3785	14.02	35.00	7.9747	11.69	2022-05-19	09:04:59
139.4201	14.04	35.00	7.9466	11.69	2022-05-19	10:04:59
139.4618	14.06	35.00	7.8881	11.68	2022-05-19	11:04:59
139.5035	14.38	35.00	7.7617	11.68	2022-05-19	12:04:59
139.5451	15.05	35.00	7.5801	11.68	2022-05-19	13:04:59
139.5868	15.70	35.00	7.4049	11.69	2022-05-19	14:04:59
139.6285	15.90	35.00	7.3301	11.69	2022-05-19	15:04:59
139.6701	14.45	35.00	7.9683	11.68	2022-05-19	16:04:59
139.7118	14.59	35.00	7.9901	11.67	2022-05-19	17:04:59
139.7535	14.29	35.00	8.0042	11.67	2022-05-19	18:04:59
139.7951	14.18	35.00	7.9889	11.66	2022-05-19	19:04:59
139.8368	14.20	35.00	7.9471	11.66	2022-05-19	20:04:59
139.8785	14.15	35.00	7.9394	11.66	2022-05-19	21:04:59
139.9201	14.18	35.00	7.9379	11.65	2022-05-19	22:04:59
139.9618	14.24	35.00	7.9602	11.65	2022-05-19	23:04:59
140.0035	14.43	35.00	7.9065	11.65	2022-05-20	00:04:59
140.0451	14.80	35.00	7.7512	11.65	2022-05-20	01:04:59
140.0868	15.07	35.00	7.6011	11.65	2022-05-20	02:04:59
140.1285	14.02	35.00	7.9304	11.65	2022-05-20	03:04:59
140.1701	13.81	35.00	7.9536	11.63	2022-05-20	04:04:59
140.2118	13.77	35.00	7.9582	11.63	2022-05-20	05:04:59
140.2535	13.77	35.00	7.9547	11.62	2022-05-20	06:04:59
