Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC)
143.6597,16.65,35.0,8.07,11.53,2023-05-23,15:50:00,2023-05-23 15:49:58
143.7014,17.05,35.0,8.1393,11.56,2023-05-23,16:50:00,2023-05-23 16:50:00
143.7431,17.31,35.0,8.1252,11.58,2023-05-23,17:50:00,2023-05-23 17:50:03
143.7847,17.38,35.0,8.1175,11.59,2023-05-23,18:50:00,2023-05-23 18:49:58
143.8264,17.4,35.0,8.1621,11.59,2023-05-23,19:50:00,2023-05-23 19:50:00
143.8681,17.5,35.0,8.1968,11.6,2023-05-23,20:50:00,2023-05-23 20:50:03
143.9097,17.57,35.0,8.0846,11.6,2023-05-23,21:50:00,2023-05-23 21:49:58
143.9514,17.54,35.0,8.0717,11.61,2023-05-23,22:50:00,2023-05-23 22:50:00
143.9931,17.54,35.0,8.0459,11.61,2023-05-23,23:50:00,2023-05-23 23:50:03
144.0347,17.64,35.0,7.9534,11.61,2023-05-24,00:50:00,2023-05-24 00:49:58
144.0764,17.59,35.0,7.9712,11.6,2023-05-24,01:50:00,2023-05-24 01:50:00
144.1181,16.56,35.0,8.1148,11.6,2023-05-24,02:50:00,2023-05-24 02:50:03
144.1597,16.23,35.0,8.1244,11.59,2023-05-24,03:50:00,2023-05-24 03:49:58
144.2014,16.18,35.0,8.1014,11.58,2023-05-24,04:50:00,2023-05-24 04:50:00
144.2431,15.79,35.0,8.08,11.58,2023-05-24,05:50:00,2023-05-24 05:50:03
144.2847,15.65,35.0,8.0614,11.57,2023-05-24,06:50:00,2023-05-24 06:49:58
144.3264,15.44,35.0,8.0693,11.57,2023-05-24,07:50:00,2023-05-24 07:50:00
144.3681,15.28,35.0,8.1274,11.56,2023-05-24,08:50:00,2023-05-24 08:50:03
144.4097,15.28,35.0,8.0484,11.56,2023-05-24,09:50:00,2023-05-24 09:49:58
144.4514,15.35,35.0,8.0178,11.55,2023-05-24,10:50:00,2023-05-24 10:50:00
