id,internal_station_id,collected_at,temperature_C,salinity,dissolved_oxygen_mg/L,chlorophyll_ug/L,pheophytin_ug/L,turbidty_NTU,nitrate_nitrite_uM,ammonium_uM,ortho_phosphate_uM,silicate_uM,particulate_organic_nitrogen_uM,particulate_organic_carbon_uM,total_dissolved_nitrogen_uM,total_dissolved_phosphorus_uM,total_nitrogen_uM,total_phosphorus_uM,total_nitrogen_TDN_PON
15860,124,2017-09-26T08:15:00.000Z,20.3,28,6.8,2.63,1.64,0.78,0.84,1.98,0.71,7.38,21.68,64,19.59,1.09,,,41.27
15861,124,2017-10-12T10:35:00.000Z,17.8,23.9,5.87,3.04,2.23,1.94,2.16,2.97,0.56,20.05,20.85,137.19,21.1,0.84,,,41.95
15862,124,2018-02-23T10:45:00.000Z,6.2,10.1,9.49,2.92,3.65,2.71,9.82,5.52,0.36,35.39,14.16,164.28,31.413,0.19,44.234,1.612,45.57
15863,124,2018-05-22T11:00:00.000Z,17.2,24.5,7.9,4.83,3.8,1.59,1.11,0.78,0.39,7.05,10.94,118.76,19.335,0.41,24.6,1.34,30.27
15864,124,2018-06-06T09:40:00.000Z,15.7,29,7.4,1.36,1.47,1.01,0.49,2.37,0.35,7,7.07,72.28,15.725,0.98,14.9,0.784,22.79
15865,124,2018-06-20T09:05:00.000Z,26.7,31,5,2.39,1.29,0.84,0.11,1.56,0.23,1.11,10.49,95.31,21.103,0.2,21.7,0.921,31.59
15866,124,2018-07-05T07:20:00.000Z,24.7,30,6.9,2.72,1.25,0.82,0.28,0.99,0.35,2.16,9.09,76.49,15.203,1.22,20.5,1.33,24.29
15867,124,2018-07-19T07:40:00.000Z,25.4,29,4.4,4.29,3.43,2.71,1.21,3.41,0.68,19.42,12.96,152.5,30.378,0.97,33.8,1.78,43.34
15868,124,2018-08-02T07:30:00.000Z,25.9,30,5.1,6.86,3.88,1.42,1.34,3.51,0.57,20.69,19.84,216.33,27.108,0.01,34.8,2.38,46.94
15869,124,2018-08-16T08:15:00.000Z,24.3,29.5,5.3,3.73,2.54,1.46,0.15,1.48,0.48,3.26,10.93,117.16,18.89,0.79,28.3,1.57,29.82
