Date,Day,Time,Pred,High/Low
4/1/2020,Wed,3:14:00 AM,0.54,L
4/1/2020,Wed,9:23:00 AM,2.82,H
4/1/2020,Wed,3:57:00 PM,0.31,L
4/1/2020,Wed,10:09:00 PM,2.48,H
4/2/2020,Thu,4:11:00 AM,0.54,L
4/2/2020,Thu,10:22:00 AM,2.85,H
4/2/2020,Thu,4:55:00 PM,0.27,L
4/2/2020,Thu,11:08:00 PM,2.53,H
4/3/2020,Fri,5:11:00 AM,0.47,L
4/3/2020,Fri,11:23:00 AM,2.92,H
4/3/2020,Fri,5:55:00 PM,0.17,L
4/4/2020,Sat,12:09:00 AM,2.66,H
4/4/2020,Sat,6:13:00 AM,0.33,L
4/4/2020,Sat,12:26:00 PM,3.05,H
4/4/2020,Sat,6:54:00 PM,0.03,L
4/5/2020,Sun,1:07:00 AM,2.85,H
4/5/2020,Sun,7:13:00 AM,0.12,L
4/5/2020,Sun,1:26:00 PM,3.2,H
4/5/2020,Sun,7:49:00 PM,-0.14,L
4/6/2020,Mon,2:01:00 AM,3.08,H
4/6/2020,Mon,8:10:00 AM,-0.12,L
4/6/2020,Mon,2:22:00 PM,3.35,H
4/6/2020,Mon,8:40:00 PM,-0.29,L
4/7/2020,Tue,2:51:00 AM,3.31,H
4/7/2020,Tue,9:03:00 AM,-0.34,L
4/7/2020,Tue,3:15:00 PM,3.46,H
4/7/2020,Tue,9:30:00 PM,-0.39,L
4/8/2020,Wed,3:40:00 AM,3.49,H
4/8/2020,Wed,9:55:00 AM,-0.5,L
4/8/2020,Wed,4:08:00 PM,3.5,H
4/8/2020,Wed,10:19:00 PM,-0.43,L
4/9/2020,Thu,4:29:00 AM,3.6,H
4/9/2020,Thu,10:47:00 AM,-0.58,L
4/9/2020,Thu,5:00:00 PM,3.47,H
4/9/2020,Thu,11:08:00 PM,-0.39,L
4/10/2020,Fri,5:19:00 AM,3.62,H
4/10/2020,Fri,11:38:00 AM,-0.58,L
4/10/2020,Fri,5:53:00 PM,3.37,H
4/10/2020,Fri,11:57:00 PM,-0.27,L
4/11/2020,Sat,6:09:00 AM,3.57,H
4/11/2020,Sat,12:30:00 PM,-0.48,L
4/11/2020,Sat,6:46:00 PM,3.22,H
4/12/2020,Sun,12:47:00 AM,-0.11,L
4/12/2020,Sun,7:00:00 AM,3.44,H
4/12/2020,Sun,1:24:00 PM,-0.32,L
4/12/2020,Sun,7:41:00 PM,3.04,H
4/13/2020,Mon,1:40:00 AM,0.1,L
4/13/2020,Mon,7:54:00 AM,3.27,H
4/13/2020,Mon,2:20:00 PM,-0.12,L
