,"Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island"
"Time (America/New_York)",Battery,"Air Temperature","Relative Humidity","Rel. Barometric Pressure","Wind Speed","Max Wind Sp","Wind Direction","Wet Bulb Temperature","Precip Type","Rain Intensity","Total Rain","Interval Rain","Solar Rad",Heading,Temperature,pH,"Sp Cond",Depth,Chlorophyll,DO,DOSat,"pH mV","Internal Bat"
,V,C,%,hPa,m/s,m/s,Degree,C,,mm/h,mm,mm,W/m2,Degree,C,,uS/cm,m,ug/L,mg/L,%,,V
"10-01-2018 00:00:00",12.4,15.60,78,1026.7,3.2,4.1,234,13.30,0,0.0,97.8,0.0,0,82.0,17.60,7.99,44630,0.810,10.5,7.51,93.3,-46.2,0.1
"10-01-2018 00:15:00",12.5,15.50,78,1026.7,3.0,4.1,217,13.20,0,0.0,97.8,0.0,0,69.0,17.68,7.99,44910,0.850,10.3,7.51,93.4,-46.1,0.1
"10-01-2018 00:30:00",12.5,15.60,80,1026.8,3.0,4.2,211,13.50,0,0.0,97.8,0.0,0,109.0,17.66,7.99,45050,0.820,10.0,7.44,92.6,-46.4,0.1
"10-01-2018 00:45:00",12.4,15.60,77,1026.7,3.1,4.3,275,13.20,0,0.0,97.8,0.0,0,180.0,17.58,7.99,44870,0.770,8.5,7.46,92.6,-46.1,0.1
"10-01-2018 01:00:00",12.5,15.70,77,1026.4,3.1,4.3,255,13.40,0,0.0,97.8,0.0,0,204.0,17.50,7.99,44710,0.860,9.7,7.51,93.1,-46.0,0.1
"10-01-2018 01:15:00",12.5,15.70,79,1026.6,3.4,4.3,230,13.60,60,0.0,97.8,0.0,0,171.0,17.53,7.98,44760,0.840,9.3,7.42,92.1,-45.7,0.1
"10-01-2018 01:30:00",12.5,15.50,80,1026.4,2.8,3.7,229,13.50,60,0.0,97.8,0.0,0,202.0,17.53,7.98,44850,0.860,8.5,7.46,92.5,-45.8,0.1
"10-01-2018 01:45:00",12.5,15.60,80,1026.5,3.5,4.5,233,13.50,60,0.0,97.8,0.0,0,205.0,17.60,7.99,45350,0.780,9.0,7.41,92.2,-46.0,0.1
